"Leading.razor.protein","Gene.names.syn","Protein.names.syn","pVal.syn","phase.syn","peak.shape.syn","period.syn","t1.1H","t1.2H","t2.1H","t2.2H","t3.1H","t3.2H","t4.1H","t4.2H","t5.1H","t5.2H","t6.1H","t6.2H","t7.1H","t7.2H","t8.1H","t8.2H","Av_expr.syn","Amplitude.syn","CV.syn","Gene.names.tot","Protein.names.tot","pVal.tot","phase.tot","peak.shape.tot","period.tot","t1.1T","t1.2T","t2.1T","t2.2T","t3.1T","t3.2T","t4.1T","t4.2T","t5.1T","t5.2T","t6.1T","t6.2T","t7.1T","t7.2T","t8.1T","t8.2T","Av_expr.tot","Amplitude.tot","CV.tot"
"A2AKB9","Dcaf10","DDB1- and CUL4-associated factor 10",0.062547125244646,12,6,24,49480.775675985,41544.941870674,44157.3142485732,40009.3225525951,38915.8635211817,32488.0800210885,39935.7665195795,30222.7762799019,38390.238630181,36031.1534837222,40903.6956409494,37939.1049442782,37863.3395171463,35190.5757958047,35880.2206266617,38174.6451779495,38570.488406642,0.499293635928312,0.116230656932759,"Dcaf10","DDB1- and CUL4-associated factor 10",0.0700731211262206,12,6,24,84673.877929916,69828.6719570003,75270.0645619781,73495.507820959,59161.7663231257,59227.233651908,76012.602091346,53616.3544820036,64696.3501571243,65529.9115784963,68993.0051178633,67445.2296856735,69035.6092120987,63102.9118292656,63814.1739045109,65367.8691609951,67454.4462165165,0.460422184005831,0.11183548672673
"A2AL36","Cntrl","Centriolin",0.0181643155438042,6,12,24,3696.23937866283,3583.97682165774,3687.21812515146,3192.35837969266,3304.43535901847,1748.50289921284,3302.92632108525,1842.05536278223,2799.83660128011,3315.60673603062,1840.31439091459,2482.03479329201,1622.58988596569,1759.6720622265,801.978040588453,1822.40220245239,2550.13421000087,1.1349447126053,0.359328152002594,"Cntrl","Centriolin",0.0120320043860253,6,18,24,10364.6420191873,12730.9402175832,12224.1060183897,10134.5866861796,10352.9488912138,8803.03831032268,9520.14815545117,8899.58721675915,9429.05960892279,10924.8071738067,8262.72532928391,9794.4877370572,7060.09312197362,7415.39924132968,4974.47428540839,5773.84938108285,9166.55583712198,0.846170150490252,0.230769337501299
"A2ALU4","Shroom2","Protein Shroom2",0.700405804624966,6,6,24,26178.1192918265,25069.7050291377,21958.4121804816,23608.2649804814,28813.3543403683,24088.1436891558,27991.8712480189,26711.7032792879,24648.0544679278,21814.9760090063,21179.6418004881,20493.5156312413,20962.6614282737,21695.6495088952,19805.5671621339,20021.2342966638,23440.0546464618,0.38429036596099,0.123184860350006,"Shroom2","Protein Shroom2",0.0181643155438042,6,12,24,387445.264092336,355362.773025633,309196.666175523,347966.222776025,314120.107916842,355180.158540102,316248.164299103,350528.456291125,414638.61903331,411170.705758682,369631.458726356,361485.479391406,301178.207946716,366262.038131791,321379.522373871,320510.326227478,350144.010669144,0.324039274211103,0.0998293180901858
"A2AN08","Ubr4","E3 ubiquitin-protein ligase UBR4",0.00526515992935006,6,18,24,512559.611120782,457302.727424725,493578.326006033,444804.549469765,413641.300708909,389179.244006939,398862.263580083,297141.250093418,489697.100409318,435064.294141213,435378.304861227,428757.440802811,477089.53149171,435563.679673611,422483.572631808,410312.427791619,433838.476513373,0.496540469989235,0.11670772272805,"Ubr4","E3 ubiquitin-protein ligase UBR4",0.0132352048246278,6,18,24,3224318.23145617,2883264.85045784,2859332.94484605,3038919.69490691,2808231.35313491,2849725.42359923,2714112.94148649,2672445.21413766,3384567.83274106,3182216.88649285,3025028.88301724,3171542.02041825,3229039.28402169,2948166.01574619,2866704.88780744,2910965.90052792,2985536.39779987,0.238524179148573,0.0682215669498993
"A2APB8","Tpx2","Targeting protein for Xklp2",0.0508332689058421,6,18,24,160748.931780086,149283.165974575,88968.6804927387,100286.697663583,75601.9941299173,64355.0385781709,54716.1813662595,54949.4327709779,53389.4373003003,66753.1754284012,54174.6174955317,69940.1155785916,40130.6020905781,42898.6328669483,31157.3344428847,46196.9437718099,72096.9363582096,1.7974633026476,0.512637768587439,"Tpx2","Targeting protein for Xklp2",0.00526515992935006,6,18,24,474529.815741976,415375.339901541,266845.667447854,302913.984584108,212551.361117091,194660.135590938,151305.18565757,150844.188711041,169770.534843925,203258.395060098,172306.080772582,185722.319230112,113443.303701246,124647.974701526,79120.3184418141,110821.015777908,208007.226330083,1.9009411561149,0.524278193595531
"A2AR02","Ppig","Peptidyl-prolyl cis-trans isomerase G",0.152264314925099,6,18,24,34953.424319261,38164.6264806218,43792.9318194903,36870.9500456155,35041.0271820569,31646.5147750388,36278.8041279838,20299.0808541793,28629.4639808889,37160.0720690129,31837.9430543141,34515.0402342606,25733.2393155223,34040.8622522439,29257.5916689725,32466.3491194516,33167.9950811821,0.708328945051015,0.16473244885583,"Ppig","Peptidyl-prolyl cis-trans isomerase G",0.00337964539945785,6,18,24,417732.196000532,364796.874715738,345071.921250679,377701.137100137,323690.579050534,373004.171049935,337091.244635835,330988.678006158,411112.138925917,410921.268113098,401745.98631986,418949.038426849,286088.285629745,358524.275908862,324479.57504947,290970.570980162,360804.246322719,0.368235003194135,0.121129872858191
"A2AVA0","Svep1","Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1",0.700891593316205,12,6,24,86144.2163397991,76795.5071724708,87596.554873524,81618.3268386813,71613.8700685042,81347.6846062353,75865.2633540931,75585.4484839386,105615.125802304,85145.4050954754,91175.3134287148,96874.2478293126,97080.6164236393,100906.108257871,107052.254900539,101303.387383842,88857.458178684,0.39882285132185,0.128922699780897,"Svep1","Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1",0.313110600467639,24,12,24,163719.526322413,160793.796083238,154037.043274236,152090.719188868,147446.672173163,182978.036281911,184217.349415926,180223.134579103,223217.175112761,171649.090748099,233766.912777639,221813.790561258,230347.987050321,250323.594830913,282406.207097588,254894.326335609,199620.335114565,0.676081095881186,0.213192918220929
"A2BE28","Las1l","Ribosomal biogenesis protein LAS1L",0.752344151799718,6,12,24,4224.57291291369,4659.64529929291,2896.1422364826,3470.83394975187,2807.6804037828,3700.47950547694,2384.6600406271,4770.93605973227,1947.38801581375,4190.26119251962,3066.73094544704,3208.52074939323,3630.0308224642,2358.50308834218,2969.11069396901,3498.4152075256,3361.49444522093,0.839968082628484,0.243728774942231,"Las1l","Ribosomal biogenesis protein LAS1L",0.840985962589775,6,6,24,103004.7130558,85851.6742776066,86105.9326418002,68061.5682091228,82664.4479955071,92140.4015120909,76988.2110154917,89447.9241739341,92514.6097218899,110936.155047129,107938.971094986,94816.5652084999,107306.816012782,108369.12170552,108738.265267779,108702.473217557,95224.2406348435,0.45024866097297,0.138302028320268
"A2BH40","Arid1a","AT-rich interactive domain-containing protein 1A",0.153143826368685,24,6,24,5515.95403927108,7495.33773614068,7231.55104511199,8193.52369876704,8191.7469459071,6012.17154372196,8508.18986884635,8879.94852098811,10046.7894919723,6539.78074042293,6710.97953943578,7958.73031254524,8604.47144839394,7859.54379375617,11011.8324173898,8129.20703825766,7930.60988630801,0.692995678378685,0.176695323783234,"Arid1a","AT-rich interactive domain-containing protein 1A",0.0363286310876085,24,6,24,28117.8409968628,31126.4765944751,27020.397288676,32992.4667161812,32763.835899463,27647.7632125533,38100.3788204729,33367.6826303334,32141.4360890162,33007.4241594971,33307.9879778748,36986.2623782121,44658.1460103691,39414.8203066894,40179.0705896042,45420.2211961892,34765.7631791544,0.529251258276585,0.160606722424823
"A2CG49","Kalrn","Kalirin",0.832430111218511,18,6,24,1473.69995174382,685.538531153,1398.6650367281,548.918640026149,1070.19975490749,1392.38211365888,1431.94835267606,776.832593962552,625.854362638652,1355.36802417189,1204.68355343037,1163.51197165997,1520.92576672401,1201.76919540432,535.727663925136,1123.92708752683,1094.37203752108,0.900240566298186,0.317971977791095,"Kalrn","Kalirin",0.688143914051891,24,12,24,8848.02638302154,8383.65317585207,10077.1803428581,6418.71478303165,7100.3845401747,8548.90516757995,9405.53753297662,8089.21498845214,8103.06992740159,10251.283923115,7495.07958794991,8481.37124009542,8803.87274664909,9514.43594759303,9848.38996929094,9958.55134748909,8707.97947522068,0.440121517395541,0.127579885588634
"A2RSJ4","Uhrf1bp1l","UHRF1-binding protein 1-like",0.153143826368685,6,18,24,11821.3101588368,11129.1795445813,12522.8316894535,8965.01731228006,12324.6775712626,10779.4250737187,8730.06906523302,7885.16260432788,11548.0565303446,10473.4685815671,8667.7105314398,8537.02979571718,9407.63980673783,10704.552318181,8680.38950997172,8409.17228736101,10036.6057738134,0.462075445587971,0.153836470618445,"Uhrf1bp1l","UHRF1-binding protein 1-like",0.121239483765108,6,18,24,52303.2382736489,59042.6873547119,59574.3260185225,59602.4583009097,61868.6944982153,66223.9203344724,51073.7786302876,50638.6937987836,58490.7607280601,64773.4851570244,50955.2799843592,50961.6116508509,49248.6300554847,56596.6239535264,47808.6973359386,48124.9651702577,55455.4907028159,0.332072131454401,0.108692441279265
"A2RSY6","Trmt1l","TRMT1-like protein",3.73862647270561e-05,6,18,24,93945.2344845988,87246.6998014141,79195.8858862908,77491.9568203531,68427.2251234389,78243.9164076326,70937.3799121906,67007.5919743963,83854.5777026517,93157.0551791088,80061.7129351705,79001.5588673246,78508.4798592942,79591.1813696147,75930.819838063,72626.635182115,79076.7444589786,0.340651890698112,0.0974373776738832,"Trmt1l","TRMT1-like protein",0.153143826368685,6,18,24,609828.402043084,578811.538022749,541377.452077756,524801.618906103,518795.2707199,602113.642471792,572343.422492218,523743.563009739,613576.657373774,730964.434081744,631050.072499199,590094.311037003,576982.709772138,648618.293233278,512351.822708628,589123.247288012,585286.02860857,0.373514146395797,0.097096906780204
"A3KFM7","Chd6","Chromodomain-helicase-DNA-binding protein 6",0.453643571619695,18,12,24,2216.04044598826,1861.81044886302,1668.58726413984,2305.79453229973,1790.99063662068,2410.41942034343,1339.61275889092,2172.56465750959,2271.33091371891,1693.11783034887,2041.09498315299,3077.97130284729,2742.96774941132,2518.06082486442,2252.78696157956,2409.01022528141,2173.26005974126,0.799885193750502,0.20056662010989,"Chd6","Chromodomain-helicase-DNA-binding protein 6",0.227818798997826,18,6,24,7037.16378264655,5037.69044964343,5398.06721054495,8127.39567475164,6467.30609209327,8649.2208818205,5271.96419232826,5159.90893726189,6598.54895205089,6666.47592487737,6580.39130961895,7619.54991069098,7583.68515240288,7217.87430919678,6493.85505661767,7223.75796836267,6695.80348780679,0.539372226014958,0.159511182001595
"A6H8H2","Dennd4c","DENN domain-containing protein 4C",0.0281144502370696,6,18,24,58285.3261176078,48798.9153803245,48101.3735612245,48355.8373577706,46183.5680836232,45074.3583011366,40390.8490889491,30099.6045520476,44688.5756259839,43078.6511332766,39307.437621273,45240.0362125166,37190.8510030638,48573.4630375537,32906.2191463168,34797.8060947157,43192.0545198365,0.652567280693155,0.165290860049098,"Dennd4c","DENN domain-containing protein 4C",0.000934496862655972,6,18,24,547509.561846787,499214.635794584,457642.193783595,524158.178288247,487065.522988193,517205.251588589,422944.556189358,419342.174770142,564113.29193209,511030.123429694,527623.718926263,487347.110678588,429448.547132989,515931.01558796,389756.14450084,388067.735866582,480524.985206531,0.366360879215974,0.115921790620325
"B1AXD8","Akirin2;Akirin1","Akirin-2;Akirin-1",0.000256068998048088,6,18,24,95222.3962888853,105084.654962461,59403.0147073693,74563.0831239195,78592.6819337273,64008.949364041,67422.4052733023,58402.0421887897,79176.3697106394,84808.7994986818,80734.5324091139,79914.3414538668,49854.6878307066,57418.8167077817,46146.8383777098,42893.294328618,70227.9317599758,0.885564462390832,0.250309485078013,"Akirin2;Akirin1","Akirin-2;Akirin-1",0.000140037868969505,6,18,24,256854.293064389,234548.976411904,193759.130317314,192611.880119436,205206.570473347,159407.521678237,173310.922938687,157859.818647313,213476.918919574,195701.41217782,182087.357942548,193142.278269369,138191.208264504,149293.699188108,134171.917457048,121379.761842922,181312.729232032,0.747187093786975,0.204236368872048
"B1AY10","Nfx1","Transcriptional repressor NF-X1",0.000860922939640088,12,12,24,21915.0119040494,15966.7466548078,22049.099005255,20201.7377320496,19311.1440123159,15508.8094215895,14066.8672796126,15758.0170859606,15563.9743558465,18891.9371105217,18912.9420969232,20172.6812819566,15881.2007729577,22278.8638394578,15316.7328377045,13090.8299261926,17805.4122073251,0.516024779784951,0.168426460131229,"Nfx1","Transcriptional repressor NF-X1",0.000140037868969505,6,18,24,298132.906600195,275154.112544984,278148.189048608,273365.592384232,218186.029466515,240826.263248726,190972.90518387,199149.045244647,266645.627373893,261630.756850162,231981.953339203,281847.658150182,211780.977324607,260158.865520786,184144.661713107,197076.494161591,241825.127384707,0.471366421346902,0.154127122955566
"B1AZI6","Thoc2","THO complex subunit 2",0.00337964539945785,12,6,24,99343.6466101397,101920.273761293,114659.088204224,104194.602359634,73797.3153106354,87268.819639284,60691.8622470715,33809.6890365351,94916.5126290062,113565.901874934,119649.444448119,96701.4226964107,89486.2412672818,76186.5507091324,96419.1811146488,100705.27529835,91457.2392004187,0.93857803014888,0.238581478556297,"Thoc2","THO complex subunit 2",0.103202756653666,6,18,24,1003225.16394845,986946.946218014,883871.779569652,903278.732875618,715349.468890023,954252.144959692,731380.780818035,706327.866126476,1004033.96500127,1111395.01858368,1240335.8521792,1153463.82980478,1018058.38151252,914712.171668929,993574.143078284,874384.332134228,949661.911085553,0.562313787484961,0.15880403182387
"B2RQC6","Cad","CAD protein;Glutamine-dependent carbamoyl-phosphate synthase;Aspartate carbamoyltransferase;Dihydroorotase",0.0255585911246088,6,18,24,119377.091483343,102901.32038596,95888.0474891853,94726.5263787851,87565.1956143237,68795.346476172,66750.0478430852,55530.1770602072,63321.0954552371,76595.5605254978,66016.3924154982,60929.1904056299,52805.7834122135,50081.6442166536,44309.6169966436,57015.3246303603,72663.0225492997,1.03309044756249,0.295718469754942,"Cad","CAD protein;Glutamine-dependent carbamoyl-phosphate synthase;Aspartate carbamoyltransferase;Dihydroorotase",0.0120320043860253,6,18,24,982909.685713127,855545.6298607,936805.465365234,884217.516755506,819549.768806394,827723.850991654,849793.215591413,683982.921877826,873804.256757916,813090.998747633,749073.964554165,783330.801160872,700050.616727731,686421.394146926,625352.786456551,683347.272524495,797187.509127384,0.448522957475794,0.127433249146836
"B2RR83","Ythdc2","Probable ATP-dependent RNA helicase YTHDC2",0.548151533730356,6,18,24,7172.52186823859,7838.53267843361,5981.55705815121,4957.64037671396,6490.44992725073,6291.71800073897,5634.33784340958,1632.90777786576,2972.79267824867,6242.07826266545,5087.13915512212,5507.98129972214,3982.89912647162,5746.17984386617,5543.12652153387,2922.92447283845,5250.29918070443,1.1819564346684,0.312920569004436,"Ythdc2","Probable ATP-dependent RNA helicase YTHDC2",0.019457651088918,6,18,24,77244.6463149131,80849.8291244488,74027.8688872725,72798.2681327175,70548.9834897613,72101.8360139691,71543.2855808427,57276.2109657863,42134.0278408719,82529.1183307807,63963.0280356617,76422.7419996075,68128.922346072,58651.7237793346,62834.8065378654,49908.3924017935,67560.2306113562,0.597912264720997,0.165111409028401
"B2RRE7","Otud4","OTU domain-containing protein 4",0.546765117594782,6,18,24,20632.0234272043,20516.5120785689,15917.3615465774,14564.0434812451,12820.9642465651,14773.1608504921,12187.0539646283,14931.7438491422,11742.1528348156,11640.7701907196,8040.16418014235,15307.8753614496,14276.609363038,13055.9395421886,11105.6145066588,10279.2766806808,13861.9541315073,0.908375480657629,0.240968891550522,"Otud4","OTU domain-containing protein 4",0.00803665773787854,6,18,24,344135.606964278,331846.511598047,290656.93346431,319518.843495772,260883.253447859,261566.53716796,273887.530689905,236378.401370604,199413.486202137,328836.415080187,266001.851659524,298661.327874711,251725.59516271,270249.065632255,206858.078688316,239130.785299485,273734.388987379,0.528695430988811,0.157361039207103
"B2RUR8","Otud7b","OTU domain-containing protein 7B",0.264522510032964,18,6,24,8671.99364091467,8827.65057590547,3824.19170653607,9558.67510979685,9285.45075130524,5837.45500808633,7401.28271693416,6677.69956756654,6126.41720449622,6818.96782997607,8819.03309053563,6924.34973505868,10353.7051567197,8397.197489586,5075.1236437948,3107.58451316096,7231.67360877334,1.00199774430747,0.28766671033381,"Otud7b","OTU domain-containing protein 7B",0.093820687866969,6,18,24,63441.5951777808,61818.3206766584,44403.08686384,51024.1218070248,48249.0428041346,49911.1640596734,39961.4014687975,41929.6109810937,46649.3317268359,32206.8936672464,48267.5212178671,52296.7079595869,34897.0815830915,43771.162003812,42354.0083329949,45798.5660156469,46686.2260216303,0.669034620533752,0.177072560138722
"B2RVL6","Zcchc24","Zinc finger CCHC domain-containing protein 24",0.79988296709962,6,18,24,4963.4286087625,6129.08132444162,3058.44775477342,5559.23727315916,5736.06896571757,3912.56364466718,5718.83362262806,7161.69839237539,7051.82030055926,6047.97874362441,6403.57884113426,6253.69959112579,8181.12547545728,4889.69721986437,5009.27449939411,3665.23403342597,5608.8605181944,0.913318793374621,0.239662986489927,"Zcchc24","Zinc finger CCHC domain-containing protein 24",0.0770804332388426,6,18,24,27452.143657043,22792.3898788775,19200.9541229105,20928.3987869082,24644.6723431937,22379.0147077824,17373.1535212264,20494.2913001614,24838.6274011484,24129.607572619,24206.5685404156,24946.2887092553,26581.0220781257,23987.9129742035,20443.9912558564,18557.04480401,22684.7551033586,0.444306764163584,0.128774429270844
"B2RWS6","Ep300","Histone acetyltransferase p300",0.736166136975533,6,6,24,15169.4058521234,12410.5549133685,8044.46220809524,11554.6019408628,11922.4971517559,10501.6508609866,8782.14783342585,13165.9807468898,10080.1164388585,9178.22355954188,10783.9722138093,12992.9048632962,12864.5034733049,12236.4880672138,13805.9336318681,9697.7760649821,11449.4512387739,0.622295645043608,0.172707035754981,"Ep300","Histone acetyltransferase p300",0.718028074820449,12,12,24,196535.256531319,160388.386001117,161543.925053647,201907.481511095,160326.711734371,186197.267867605,161734.938965005,197369.888008873,171127.830715291,191836.1376559,194020.991647916,183656.216923337,190274.391042056,195104.057777303,182124.424080628,152351.058846439,180406.185272619,0.274693589855411,0.0912855687543053
"B2RX14","Zcchc11","Terminal uridylyltransferase 4",0.0468103177944734,6,12,24,5576.95481890379,5968.3192606227,4905.13840848223,6863.39772418607,5182.13883172132,5173.11419052826,5921.67326935283,5363.12871308618,6155.78554015403,5593.83163744372,4589.32502922172,5202.7455265353,5048.08166337616,4405.67517267701,6136.78731479774,4883.96054766831,5435.62860304734,0.452150566381817,0.119410687797079,"Zcchc11","Terminal uridylyltransferase 4",0.434973443761697,6,6,24,27535.4426643519,24354.0153186151,22862.6390643879,25456.9542168329,22443.0272213531,26902.8354378886,25049.5763970001,23035.1493790547,32386.2482137798,31278.8358382624,24541.8369381609,25697.7678384224,26367.6583257258,25990.3363009444,26677.7875705216,23333.8985613731,25869.6255804172,0.384358906220643,0.107803565492747
"B2RXC1","Trappc11","Trafficking protein particle complex subunit 11",0.0120320043860253,6,18,24,42510.2824735763,48191.1374815538,40573.3608711874,37801.5992423521,34325.2793150083,35289.3127448274,33355.673268128,19978.164655082,33960.0137970576,38799.1000012367,40054.7294797368,34025.8121657381,33185.9173786449,36279.4463114309,30793.7019548159,37114.3871268819,36014.8698917036,0.783370116602057,0.168262640629683,"Trappc11","Trafficking protein particle complex subunit 11",0.334134238530145,6,18,24,258173.474141935,250963.844555472,261775.255131254,251208.314484371,226376.425604923,275765.139765139,277368.532799004,207419.108185907,338690.382788008,295465.236355799,291606.370529035,269762.572690125,242872.744744881,272437.981913537,253359.978072818,244824.899625563,263629.391336736,0.497938693165009,0.114497062455894
