"Leading.razor.protein","Gene.names","Protein.names","Label","t1.1","t1.2","t2.1","t2.2","t3.1","t3.2","t4.1","t4.2","t5.1","t5.2","t6.1","t6.2","t7.1","t7.2","t8.1","t8.2"
"A2AH22","Ambra1","Activating molecule in BECN1-regulated autophagy protein 1","H",5224.50835994583,4929.22581098706,3108.3821090523,5617.14599475457,4471.98330772056,5266.07341905784,2074.06649813608,3555.87094718858,4942.04632152818,6518.76889538205,4262.33134086757,4896.88935543547,7141.79529505518,6973.0694730959,5843.43088910701,5324.19920770893
"A2AH22","Ambra1","Activating molecule in BECN1-regulated autophagy protein 1","L",34149.9037631513,24354.2364493769,21890.6171755538,22098.7153701186,26532.5609044425,18948.8024557552,20776.7530166677,22696.7212553874,34656.5013904104,29679.7512154232,42080.2261601294,22196.9510437416,34864.6843262087,31379.5289911129,30821.029853947,26125.1312686131
"A2AI05","Ndor1","NADPH-dependent diflavin oxidoreductase 1","H",2895.52010743706,2674.13430228641,3363.33660810336,2741.8845663787,2535.64578415771,2193.6538811553,3950.27100958972,2872.77013760421,2552.16432808966,1964.81554939239,1914.88188703724,2524.13322310146,3356.11583337859,2467.05583755351,2439.34273055548,2262.33342633566
"A2AI05","Ndor1","NADPH-dependent diflavin oxidoreductase 1","L",5192.90986645497,6235.00295933745,6298.64649678355,5716.99183892472,4938.46216420161,6030.72995085646,6241.23904407014,5709.43041524232,4207.42341581811,5038.78606745284,5340.3262401712,6598.19768937703,6209.14699085306,4245.44883145218,6159.97065062886,5661.68477012433
"A2AI08","Tprn","Taperin","L",118438.324893037,129151.421421515,113735.868656599,130584.167197645,118249.688502947,125294.327086451,104469.884553322,96039.5573835363,116768.668381169,119174.608234362,94617.0218658245,105831.021127298,110576.091926281,136882.485609119,110844.379058561,118650.522149219
"A2AI08","Tprn","Taperin","H",7325.24792011107,6395.43332701369,6600.26509013552,5347.49683468047,7121.00686799982,6838.18785406438,4294.6006430176,6425.29255141248,6591.91672381483,6685.92748439542,5053.3745363421,5979.30645704144,5209.74070277119,6604.09519223062,6391.0981222466,6270.11084283033
"A2AIV2","Kiaa1429","Protein virilizer homolog","L",2598.92006392535,2299.75992258155,3621.56136713239,2729.92921740417,3387.28488565217,4079.8400981633,4202.1406077314,2731.13622570708,3385.33800024497,3893.43247465493,2911.17592005343,2699.7058324752,3295.13917816818,3020.94707616022,3197.96924407218,2295.65553887506
"A2AIV2","Kiaa1429","Protein virilizer homolog","H",2259.0681818056,2984.9335879776,1949.07494686498,2926.53866733696,2114.01373665882,2073.35862049517,2374.84160619362,2591.85533726639,1968.21735761763,2348.64578801052,2771.07653001688,2564.7249722651,2202.68622301212,1432.62884770859,1609.01829717831,1259.00065085618
"A2AJI0","Map7d1","MAP7 domain-containing protein 1","L",138140.433790168,115542.260383496,115401.814556911,127909.064463429,98820.6640228451,131856.145147783,82077.1342039135,86219.9379953099,109222.436191325,86150.0209341133,100305.741904844,125614.801546089,104068.38839641,103869.077754822,84116.9878216828,92832.3311731933
"A2AJI0","Map7d1","MAP7 domain-containing protein 1","H",28791.6060371484,19245.0101982954,25955.8018866197,17993.7342183151,16759.0183766648,20294.7049551493,15787.8932392467,19020.5746092139,13115.2313368129,20164.0899068089,19574.9188482161,21270.7855879337,14672.5758360501,19700.915136234,18370.1969915375,15591.9718257273
"A2AKB9","Dcaf10","DDB1- and CUL4-associated factor 10","L",35193.102253931,28283.7300863263,31112.7503134049,33486.185268364,20245.902801944,26739.1536308195,36076.8355717665,23393.5782021017,26306.1115269434,29498.758094774,28089.3094769139,29506.1247413953,31172.2696949523,27912.3360334609,27933.9532778493,27193.2239830456
"A2AKB9","Dcaf10","DDB1- and CUL4-associated factor 10","H",49480.775675985,41544.941870674,44157.3142485732,40009.3225525951,38915.8635211817,32488.0800210885,39935.7665195795,30222.7762799019,38390.238630181,36031.1534837222,40903.6956409494,37939.1049442782,37863.3395171463,35190.5757958047,35880.2206266617,38174.6451779495
"A2AL36","Cntrl","Centriolin","L",6668.40264052452,9146.96339592545,8536.88789323827,6942.22830648691,7048.51353219534,7054.53541110984,6217.22183436592,7057.53185397692,6629.22300764268,7609.20043777605,6422.41093836932,7312.45294376518,5437.50323600792,5655.72717910318,4172.49624481993,3951.44717863045
"A2AL36","Cntrl","Centriolin","H",3696.23937866283,3583.97682165774,3687.21812515146,3192.35837969266,3304.43535901847,1748.50289921284,3302.92632108525,1842.05536278223,2799.83660128011,3315.60673603062,1840.31439091459,2482.03479329201,1622.58988596569,1759.6720622265,801.978040588453,1822.40220245239
"A2ALU4","Shroom2","Protein Shroom2","L",361267.144800509,330293.067996495,287238.253995041,324357.957795543,285306.753576474,331092.014850946,288256.293051084,323816.753011838,389990.564565382,389355.729749676,348451.816925868,340991.963760165,280215.546518442,344566.388622896,301573.955211737,300489.091930814
"A2ALU4","Shroom2","Protein Shroom2","H",26178.1192918265,25069.7050291377,21958.4121804816,23608.2649804814,28813.3543403683,24088.1436891558,27991.8712480189,26711.7032792879,24648.0544679278,21814.9760090063,21179.6418004881,20493.5156312413,20962.6614282737,21695.6495088952,19805.5671621339,20021.2342966638
"A2AN08","Ubr4","E3 ubiquitin-protein ligase UBR4","L",2711758.62033539,2425962.12303312,2365754.61884002,2594115.14543714,2394590.05242601,2460546.17959229,2315250.67790641,2375303.96404425,2894870.73233174,2747152.59235164,2589650.57815602,2742784.57961544,2751949.75252998,2512602.33607258,2444221.31517564,2500653.4727363
"A2AN08","Ubr4","E3 ubiquitin-protein ligase UBR4","H",512559.611120782,457302.727424725,493578.326006033,444804.549469765,413641.300708909,389179.244006939,398862.263580083,297141.250093418,489697.100409318,435064.294141213,435378.304861227,428757.440802811,477089.53149171,435563.679673611,422483.572631808,410312.427791619
"A2APB8","Tpx2","Targeting protein for Xklp2","L",313780.88396189,266092.173926966,177876.986955115,202627.286920526,136949.366987173,130305.097012767,96589.00429131,95894.7559400632,116381.097543624,136505.219631697,118131.463277051,115782.20365152,73312.7016106677,81749.3418345774,47962.9839989295,64624.0720060978
"A2APB8","Tpx2","Targeting protein for Xklp2","H",160748.931780086,149283.165974575,88968.6804927387,100286.697663583,75601.9941299173,64355.0385781709,54716.1813662595,54949.4327709779,53389.4373003003,66753.1754284012,54174.6174955317,69940.1155785916,40130.6020905781,42898.6328669483,31157.3344428847,46196.9437718099
"A2AR02","Ppig","Peptidyl-prolyl cis-trans isomerase G","L",382778.771681271,326632.248235116,301278.989431189,340830.187054521,288649.551868477,341357.656274896,300812.440507851,310689.597151979,382482.674945028,373761.196044085,369908.043265545,384433.998192588,260355.046314222,324483.413656618,295221.983380497,258504.22186071
"A2AR02","Ppig","Peptidyl-prolyl cis-trans isomerase G","H",34953.424319261,38164.6264806218,43792.9318194903,36870.9500456155,35041.0271820569,31646.5147750388,36278.8041279838,20299.0808541793,28629.4639808889,37160.0720690129,31837.9430543141,34515.0402342606,25733.2393155223,34040.8622522439,29257.5916689725,32466.3491194516
"A2AVA0","Svep1","Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1","L",77575.3099826135,83998.2889107676,66440.4884007123,70472.3923501871,75832.8021046588,101630.351675676,108352.086061833,104637.686095165,117602.049310457,86503.6856526232,142591.599348924,124939.542731945,133267.370626682,149417.486573042,175353.952197049,153590.938951767
"A2AVA0","Svep1","Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1","H",86144.2163397991,76795.5071724708,87596.554873524,81618.3268386813,71613.8700685042,81347.6846062353,75865.2633540931,75585.4484839386,105615.125802304,85145.4050954754,91175.3134287148,96874.2478293126,97080.6164236393,100906.108257871,107052.254900539,101303.387383842
"A2BE28","Las1l","Ribosomal biogenesis protein LAS1L","L",98780.1401428861,81192.0289783137,83209.7904053176,64590.734259371,79856.7675917243,88439.9220066139,74603.5509748646,84676.9881142018,90567.2217060761,106745.893854609,104872.240149539,91608.0444591067,103676.785190318,106010.618617178,105769.15457381,105204.058010031
"A2BE28","Las1l","Ribosomal biogenesis protein LAS1L","H",4224.57291291369,4659.64529929291,2896.1422364826,3470.83394975187,2807.6804037828,3700.47950547694,2384.6600406271,4770.93605973227,1947.38801581375,4190.26119251962,3066.73094544704,3208.52074939323,3630.0308224642,2358.50308834218,2969.11069396901,3498.4152075256
"A2BH40","Arid1a","AT-rich interactive domain-containing protein 1A","L",22601.8869575918,23631.1388583344,19788.846243564,24798.9430174141,24572.0889535559,21635.5916688313,29592.1889516266,24487.7341093453,22094.6465970439,26467.6434190742,26597.008438439,29027.5320656668,36053.6745619752,31555.2765129333,29167.2381722144,37291.0141579315
"A2BH40","Arid1a","AT-rich interactive domain-containing protein 1A","H",5515.95403927108,7495.33773614068,7231.55104511199,8193.52369876704,8191.7469459071,6012.17154372196,8508.18986884635,8879.94852098811,10046.7894919723,6539.78074042293,6710.97953943578,7958.73031254524,8604.47144839394,7859.54379375617,11011.8324173898,8129.20703825766
"A2CG49","Kalrn","Kalirin","H",1473.69995174382,685.538531153,1398.6650367281,548.918640026149,1070.19975490749,1392.38211365888,1431.94835267606,776.832593962552,625.854362638652,1355.36802417189,1204.68355343037,1163.51197165997,1520.92576672401,1201.76919540432,535.727663925136,1123.92708752683
"A2CG49","Kalrn","Kalirin","L",7374.32643127772,7698.11464469907,8678.51530612998,5869.7961430055,6030.1847852672,7156.52305392107,7973.58918030056,7312.38239448959,7477.21556476294,8895.91589894307,6290.39603451954,7317.85926843545,7282.94697992507,8312.6667521887,9312.6623053658,8834.62425996227
"A2RSJ4","Uhrf1bp1l","UHRF1-binding protein 1-like","L",40481.9281148121,47913.5078101306,47051.494329069,50637.4409886297,49544.0169269527,55444.4952607538,42343.7095650546,42753.5311944557,46942.7041977155,54300.0165754573,42287.5694529194,42424.5818551337,39840.9902487469,45892.0716353454,39128.3078259668,39715.7928828967
"A2RSJ4","Uhrf1bp1l","UHRF1-binding protein 1-like","H",11821.3101588368,11129.1795445813,12522.8316894535,8965.01731228006,12324.6775712626,10779.4250737187,8730.06906523302,7885.16260432788,11548.0565303446,10473.4685815671,8667.7105314398,8537.02979571718,9407.63980673783,10704.552318181,8680.38950997172,8409.17228736101
"A2RSY6","Trmt1l","TRMT1-like protein","L",515883.167558485,491564.838221335,462181.566191465,447309.66208575,450368.045596461,523869.72606416,501406.042580027,456735.971035343,529722.079671122,637807.378902636,550988.359564029,511092.752169678,498474.229912844,569027.111863663,436421.002870565,516496.612105897
"A2RSY6","Trmt1l","TRMT1-like protein","H",93945.2344845988,87246.6998014141,79195.8858862908,77491.9568203531,68427.2251234389,78243.9164076326,70937.3799121906,67007.5919743963,83854.5777026517,93157.0551791088,80061.7129351705,79001.5588673246,78508.4798592942,79591.1813696147,75930.819838063,72626.635182115
"A3KFM7","Chd6","Chromodomain-helicase-DNA-binding protein 6","L",4821.12333665829,3175.88000078041,3729.47994640511,5821.6011424519,4676.31545547259,6238.80146147708,3932.35143343734,2987.34427975231,4327.21803833198,4973.3580945285,4539.29632646596,4541.57860784369,4840.71740299157,4699.81348433236,4241.06809503811,4814.74774308126
"A3KFM7","Chd6","Chromodomain-helicase-DNA-binding protein 6","H",2216.04044598826,1861.81044886302,1668.58726413984,2305.79453229973,1790.99063662068,2410.41942034343,1339.61275889092,2172.56465750959,2271.33091371891,1693.11783034887,2041.09498315299,3077.97130284729,2742.96774941132,2518.06082486442,2252.78696157956,2409.01022528141
"A6H8H2","Dennd4c","DENN domain-containing protein 4C","L",489224.235729179,450415.72041426,409540.82022237,475802.340930476,440881.954904569,472130.893287452,382553.707100409,389242.570218095,519424.716306106,467951.472296417,488316.28130499,442107.074466072,392257.696129925,467357.552550407,356849.925354523,353269.929771867
"A6H8H2","Dennd4c","DENN domain-containing protein 4C","H",58285.3261176078,48798.9153803245,48101.3735612245,48355.8373577706,46183.5680836232,45074.3583011366,40390.8490889491,30099.6045520476,44688.5756259839,43078.6511332766,39307.437621273,45240.0362125166,37190.8510030638,48573.4630375537,32906.2191463168,34797.8060947157
"B1AXD8","Akirin2;Akirin1","Akirin-2;Akirin-1","H",95222.3962888853,105084.654962461,59403.0147073693,74563.0831239195,78592.6819337273,64008.949364041,67422.4052733023,58402.0421887897,79176.3697106394,84808.7994986818,80734.5324091139,79914.3414538668,49854.6878307066,57418.8167077817,46146.8383777098,42893.294328618
"B1AXD8","Akirin2;Akirin1","Akirin-2;Akirin-1","L",161631.896775504,129464.321449443,134356.115609945,118048.796995516,126613.888539619,95398.5723141955,105888.517665385,99457.7764585233,134300.549208935,110892.612679138,101352.825533434,113227.936815502,88336.5204337975,91874.8824803262,88025.079079338,78486.4675143039
"B1AY10","Nfx1","Transcriptional repressor NF-X1","L",276217.894696145,259187.365890177,256099.090043353,253163.854652183,198874.885454199,225317.453827136,176906.037904257,183391.028158686,251081.653018046,242738.819739641,213069.01124228,261674.976868226,195899.77655165,237880.001681328,168827.928875403,183985.664235398
"B1AY10","Nfx1","Transcriptional repressor NF-X1","H",21915.0119040494,15966.7466548078,22049.099005255,20201.7377320496,19311.1440123159,15508.8094215895,14066.8672796126,15758.0170859606,15563.9743558465,18891.9371105217,18912.9420969232,20172.6812819566,15881.2007729577,22278.8638394578,15316.7328377045,13090.8299261926
"B1AZI6","Thoc2","THO complex subunit 2","L",903881.517338306,885026.67245672,769212.691365428,799084.130515984,641552.153579388,866983.325320408,670688.918570963,672518.177089941,909117.452372263,997829.116708749,1120686.40773108,1056762.40710837,928572.140245238,838525.620959797,897154.961963635,773679.056835878
"B1AZI6","Thoc2","THO complex subunit 2","H",99343.6466101397,101920.273761293,114659.088204224,104194.602359634,73797.3153106354,87268.819639284,60691.8622470715,33809.6890365351,94916.5126290062,113565.901874934,119649.444448119,96701.4226964107,89486.2412672818,76186.5507091324,96419.1811146488,100705.27529835
"B2RQC6","Cad","CAD protein;Glutamine-dependent carbamoyl-phosphate synthase;Aspartate carbamoyltransferase;Dihydroorotase","L",863532.594229784,752644.30947474,840917.417876048,789490.990376721,731984.57319207,758928.504515482,783043.167748327,628452.744817619,810483.161302679,736495.438222135,683057.572138667,722401.610755242,647244.833315517,636339.749930272,581043.169459907,626331.947894135
"B2RQC6","Cad","CAD protein;Glutamine-dependent carbamoyl-phosphate synthase;Aspartate carbamoyltransferase;Dihydroorotase","H",119377.091483343,102901.32038596,95888.0474891853,94726.5263787851,87565.1956143237,68795.346476172,66750.0478430852,55530.1770602072,63321.0954552371,76595.5605254978,66016.3924154982,60929.1904056299,52805.7834122135,50081.6442166536,44309.6169966436,57015.3246303603
"B2RR83","Ythdc2","Probable ATP-dependent RNA helicase YTHDC2","H",7172.52186823859,7838.53267843361,5981.55705815121,4957.64037671396,6490.44992725073,6291.71800073897,5634.33784340958,1632.90777786576,2972.79267824867,6242.07826266545,5087.13915512212,5507.98129972214,3982.89912647162,5746.17984386617,5543.12652153387,2922.92447283845
"B2RR83","Ythdc2","Probable ATP-dependent RNA helicase YTHDC2","L",70072.1244466745,73011.2964460152,68046.3118291213,67840.6277560036,64058.5335625106,65810.1180132302,65908.9477374332,55643.3031879206,39161.2351626232,76287.0400681153,58875.8888805396,70914.7606998854,64146.0232196004,52905.5439354684,57291.6800163316,46985.4679289551
"B2RRE7","Otud4","OTU domain-containing protein 4","H",20632.0234272043,20516.5120785689,15917.3615465774,14564.0434812451,12820.9642465651,14773.1608504921,12187.0539646283,14931.7438491422,11742.1528348156,11640.7701907196,8040.16418014235,15307.8753614496,14276.609363038,13055.9395421886,11105.6145066588,10279.2766806808
"B2RRE7","Otud4","OTU domain-containing protein 4","L",323503.583537074,311329.999519478,274739.571917733,304954.800014527,248062.289201294,246793.376317468,261700.476725276,221446.657521461,187671.333367321,317195.644889467,257961.687479382,283353.452513262,237448.985799672,257193.126090067,195752.464181658,228851.508618804
"B2RUR8","Otud7b","OTU domain-containing protein 7B","L",54769.6015368662,52990.6701007529,40578.8951573039,41465.446697228,38963.5920528294,44073.7090515871,32560.1187518633,35251.9114135272,40522.9145223397,25387.9258372704,39448.4881273315,45372.3582245282,24543.3764263718,35373.964514226,37278.8846892001,42690.981502486
"B2RUR8","Otud7b","OTU domain-containing protein 7B","H",8671.99364091467,8827.65057590547,3824.19170653607,9558.67510979685,9285.45075130524,5837.45500808633,7401.28271693416,6677.69956756654,6126.41720449622,6818.96782997607,8819.03309053563,6924.34973505868,10353.7051567197,8397.197489586,5075.1236437948,3107.58451316096
"B2RVL6","Zcchc24","Zinc finger CCHC domain-containing protein 24","L",22488.7150482805,16663.3085544359,16142.5063681371,15369.161513749,18908.6033774761,18466.4510631152,11654.3198985983,13332.5929077861,17786.8071005892,18081.6288289946,17802.9896992813,18692.5891181296,18399.8966026684,19098.2157543391,15434.7167564623,14891.810770584
"B2RVL6","Zcchc24","Zinc finger CCHC domain-containing protein 24","H",4963.4286087625,6129.08132444162,3058.44775477342,5559.23727315916,5736.06896571757,3912.56364466718,5718.83362262806,7161.69839237539,7051.82030055926,6047.97874362441,6403.57884113426,6253.69959112579,8181.12547545728,4889.69721986437,5009.27449939411,3665.23403342597
"B2RWS6","Ep300","Histone acetyltransferase p300","L",181365.850679196,147977.831087748,153499.462845551,190352.879570232,148404.214582615,175695.617006618,152952.791131579,184203.907261983,161047.714276433,182657.914096358,183237.019434107,170663.312060041,177409.887568751,182867.569710089,168318.49044876,142653.282781457
"B2RWS6","Ep300","Histone acetyltransferase p300","H",15169.4058521234,12410.5549133685,8044.46220809524,11554.6019408628,11922.4971517559,10501.6508609866,8782.14783342585,13165.9807468898,10080.1164388585,9178.22355954188,10783.9722138093,12992.9048632962,12864.5034733049,12236.4880672138,13805.9336318681,9697.7760649821
"B2RX14","Zcchc11","Terminal uridylyltransferase 4","H",5576.95481890379,5968.3192606227,4905.13840848223,6863.39772418607,5182.13883172132,5173.11419052826,5921.67326935283,5363.12871308618,6155.78554015403,5593.83163744372,4589.32502922172,5202.7455265353,5048.08166337616,4405.67517267701,6136.78731479774,4883.96054766831
"B2RX14","Zcchc11","Terminal uridylyltransferase 4","L",21958.4878454481,18385.6960579924,17957.5006559056,18593.5564926469,17260.8883896317,21729.7212473604,19127.9031276473,17672.0206659685,26230.4626736258,25685.0042008187,19952.5119089391,20495.0223118871,21319.5766623496,21584.6611282674,20541.0002557239,18449.9380137048
"B2RXC1","Trappc11","Trafficking protein particle complex subunit 11","H",42510.2824735763,48191.1374815538,40573.3608711874,37801.5992423521,34325.2793150083,35289.3127448274,33355.673268128,19978.164655082,33960.0137970576,38799.1000012367,40054.7294797368,34025.8121657381,33185.9173786449,36279.4463114309,30793.7019548159,37114.3871268819
"B2RXC1","Trappc11","Trafficking protein particle complex subunit 11","L",215663.191668359,202772.707073919,221201.894260067,213406.715242019,192051.146289915,240475.827020312,244012.859530876,187440.943530825,304730.36899095,256666.136354562,251551.641049298,235736.760524387,209686.827366236,236158.535602106,222566.276118002,207710.512498681
"B2RXS4","Plxnb2","Plexin-B2","H",57124.921867284,54251.115442937,57701.0959473003,42193.8823741999,42314.8554051626,44484.167515688,51474.9780296991,42341.9330913834,50983.181993404,53067.5990504851,46292.7190214456,45554.9324674913,33471.0568718828,47632.3541611971,44120.6410447188,52292.7085615323
"B2RXS4","Plxnb2","Plexin-B2","L",179469.022248303,225825.367859419,156345.721039447,194153.933334823,186913.935315625,203973.112115316,207834.728577248,217552.403701057,134743.664957957,138942.905713544,197749.480587971,151817.573285678,208258.73010324,221353.048583187,225358.360513356,244246.126266099
"B2RY04","Dock5","Dedicator of cytokinesis protein 5","H",80747.8211393747,64211.287215333,52195.6132744023,56644.256639023,46567.8277903036,49960.6531453654,47084.9307553699,36276.6404586796,44725.602112683,46689.9631815955,38198.3412280508,45648.8784371713,40464.2829283037,49356.3036293145,36160.3568029942,34754.3485062789
"B2RY04","Dock5","Dedicator of cytokinesis protein 5","L",418425.45798361,463792.804717784,378009.979748706,430884.133408704,419169.885642709,391424.476884499,377752.753989585,363996.257546754,375759.564456418,374750.521084599,402626.339309797,394569.704781785,389121.488949327,364567.316240672,351640.683238978,387793.423475856
"B2RY56","Rbm25","RNA-binding protein 25","H",40205.4973224648,29984.8890367513,31159.6659661657,34140.5538223921,31327.0269892014,32122.9308212529,34535.2542566582,7679.4540536939,35158.4781650273,39145.275349237,37748.2731264534,40869.2442872894,33090.5799964376,28656.5885823872,41519.6502613696,21452.5975415482
"B2RY56","Rbm25","RNA-binding protein 25","L",141753.41898208,117012.448253235,111026.332485628,105802.036389726,106521.077254281,117278.265554346,89957.5166999216,89831.195494627,147176.398557852,159126.239141801,160549.33562498,112397.48989484,137378.549800609,130675.923670049,132088.54330189,103566.315847901
"C0HKG6","","","L",22759.879425046,34744.0652919244,30297.700903513,34957.253599215,31642.2154057426,33946.0017347179,38065.4107586756,39504.5488065279,22728.8534221173,21909.5293116903,35799.055951023,32920.0858282587,39229.0420631827,36969.0643046609,48971.3935609615,39422.2409390973
"C0HKG6","","","H",13064.0721847485,10466.5612168875,12476.7964913022,12916.4469506919,10954.1482823079,11188.545994963,14696.5412749668,14980.6143363143,9872.79712934182,10894.953710803,10679.1306947073,11638.664847531,11561.5665219162,7951.14263800929,9846.41348654935,11182.7422914961
"D0QMC3","Ifi205a;Mndal","Interferon-activable protein 205-A;Myeloid cell nuclear differentiation antigen-like protein","H",47958.3333672607,47669.0477529754,70584.7882473988,61224.4629125643,47491.6900661027,61512.7600080219,40334.4770889698,44997.9535682888,57934.5862133266,59634.112682866,46691.1415230499,50614.720589221,59661.2393156277,62269.066250194,49574.4224790566,48908.1339878876
"D0QMC3","Ifi205a;Mndal","Interferon-activable protein 205-A;Myeloid cell nuclear differentiation antigen-like protein","L",213072.451356295,169655.943057983,180351.064407673,270532.73508425,191134.758482279,242667.05660504,224884.458637225,248763.449832663,310936.476562845,280949.172003593,236420.811813749,238333.8348164,276325.694059045,255152.92659763,318520.277901685,268667.466185227
"D2EAC2","Zbed6","Zinc finger BED domain-containing protein 6","L",73681.6360453305,46677.386851743,59372.8276921881,46129.9008205742,53460.458137061,57763.4601882812,57612.6817448888,48830.6667752175,63607.2139264835,67852.6566268277,63907.3877483763,48111.8581517075,60457.4264468992,64049.4650582004,53918.6508722906,69077.9293696229
"D2EAC2","Zbed6","Zinc finger BED domain-containing protein 6","H",15702.8825454212,16752.8665129595,18029.194816961,12185.1158376402,11224.3097822004,13583.5836724563,10773.896278612,12852.9381262814,14492.4549814577,11616.8458127027,14800.3164179141,13611.5302108119,18454.4374391715,13171.512640777,15382.2794592366,17614.1083575082
"D3YXK2","Safb;Safb2","Scaffold attachment factor B1;Scaffold attachment factor B2","L",2870.08444069087,1912.78108945485,3068.88743085692,3188.80913546584,2433.79489869824,2734.35558091188,1471.52075001255,1843.95588172781,4133.95076239049,3141.37485264705,2727.13496980176,2087.01857926943,2214.13979867776,3128.21037344516,2927.91716336,1644.58509595494
"D3YXK2","Safb;Safb2","Scaffold attachment factor B1;Scaffold attachment factor B2","H",5174.64548901168,2534.15853007544,2533.19369062086,3804.22940416285,2919.90549083814,2268.47268469304,1777.77128411664,2418.81761231603,3685.44632792678,2220.4943370681,2984.50696534751,2267.46574367373,3239.18027991605,1740.76010063931,2114.33232871256,1707.55992173625
"D3YYU8","Obsl1","Obscurin-like protein 1","H",1351.90008499006,1409.15577948567,1745.18681516208,1508.14859290492,1658.43139400676,1555.72953501391,1612.01520470719,790.923584430529,1030.48246217816,1361.60916626324,938.104754791918,1873.42444065726,653.017435451,1131.75673154871,682.884871312471,600.650913113473
"D3YYU8","Obsl1","Obscurin-like protein 1","L",9304.52376770861,5718.88376132732,6065.32602527899,6894.87391640809,6782.58456246782,7986.71918569018,6717.84999312283,6025.91207013323,7601.05170135816,7350.19304098496,6621.38441016597,6054.8177458786,6259.54272378187,6172.74964411062,4773.91170761584,5572.03241972071
"D3Z7P3-2","Gls","Glutaminase kidney isoform, mitochondrial","L",31056.1647373265,31458.0621717742,26928.955788523,29567.0724326489,24070.3089944222,25887.3060240601,36044.4807814914,32266.2866509161,33447.1560229909,30005.3307945221,34580.6763268762,32670.1540976005,34076.0238303747,29650.7082601625,35384.0831221419,31188.902299154
"D3Z7P3-2","Gls","Glutaminase kidney isoform, mitochondrial","H",13344.2006731426,13734.4316145712,12979.158735609,12229.9483962947,10131.0562459688,10375.1527453292,11451.8535763767,14597.7955201323,8349.14632067273,11003.1335070531,11175.6132581769,11511.9264167363,11433.9409644991,9978.44761118182,10988.638997463,10989.3550312228
