"Leading.razor.protein","Gene.names","Protein.names","pVal","phase","peak.shape","period","t1.av","t2.av","t3.av","t4.av","t5.av","t6.av","t7.av","t8.av","FCday1","FCday2","FCav","anova_pval","anova_BHadjpval"
"A2AKB9","Dcaf10","DDB1- and CUL4-associated factor 10",0.0700731211262206,12,6,24,77251.2749434581,74382.7861914685,59194.4999875169,64814.4782866748,65113.1308678103,68219.1174017684,66069.2605206821,64591.021532753,1.30504143053407,1.05617028161067,1.18060585607237,0.362581546473974,0.922061681099378
"A2AL36","Cntrl","Centriolin",0.0120320043860253,6,18,24,11547.7911183853,11179.3463522847,9577.99360076824,9209.86768610516,10176.9333913647,9028.60653317055,7237.74618165165,5374.16183324562,1.25384983932042,1.89367825293392,1.57376404612717,0.364349388182353,0.924854081608322
"A2ALU4","Shroom2","Protein Shroom2",0.0181643155438042,6,12,24,371404.018558985,328581.444475774,334650.133228472,333388.310295114,412904.662395996,365558.469058881,333720.123039254,320944.924300674,1.13032560055706,1.28652809604544,1.20842684830125,0.0963032967773058,0.633726640408362
"A2AN08","Ubr4","E3 ubiquitin-protein ligase UBR4",0.0132352048246278,6,18,24,3053791.540957,2949126.31987648,2828978.38836707,2693279.07781207,3283392.35961695,3098285.45171775,3088602.64988394,2888835.39416768,1.1338563337587,1.13657994022292,1.13521813699081,0.232262045230972,0.815229929464434
"A2APB8","Tpx2","Targeting protein for Xklp2",0.00526515992935006,6,18,24,444952.577821759,284879.826015981,203605.748354015,151074.687184306,186514.464952012,179014.200001347,119045.639201386,94970.6671098611,2.94524904280578,1.96391655053085,2.45458279666831,0.314379002060135,0.871860520131395
"A2AR02","Ppig","Peptidyl-prolyl cis-trans isomerase G",0.00337964539945785,6,18,24,391264.535358135,361386.529175408,348347.375050234,334039.961320997,411016.703519507,410347.512373355,322306.280769303,307725.073014816,1.17131056359496,1.33566205539488,1.25348630949492,0.0595121169238025,0.559506178996413
"A2AVA0","Svep1","Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1",0.313110600467639,24,12,24,162256.661202825,153063.881231552,165212.354227537,182220.241997515,197433.13293043,227790.351669448,240335.790940617,268650.266716598,1.19048491735196,1.36071520888676,1.27560006311936,0.838399830220962,0.999825464286451
"A2BE28","Las1l","Ribosomal biogenesis protein LAS1L",0.840985962589775,6,6,24,94428.1936667033,77083.7504254615,87402.424753799,83218.0675947129,101725.382384509,101377.768151743,107837.968859151,108720.369242668,1.22500777589971,1.07242811934797,1.14871794762384,0.906070050711411,0.999825464286451
"A2BH40","Arid1a","AT-rich interactive domain-containing protein 1A",0.0363286310876085,24,6,24,29622.158795669,30006.4320024286,30205.7995560081,35734.0307254032,32574.4301242567,35147.1251780435,42036.4831585292,42799.6458928967,1.20632770122844,1.31390313597615,1.26011541860229,0.495511609317433,0.990163701532841
"A2CG49","Kalrn","Kalirin",0.688143914051891,24,12,24,8615.83977943681,8247.94756294488,7824.64485387732,8747.37626071438,9177.17692525829,7988.22541402267,9159.15434712106,9903.47065839002,1.11792629877378,1.23975853773546,1.17884241825462,0.403530899603249,0.934407228830036
"A2RSJ4","Uhrf1bp1l","UHRF1-binding protein 1-like",0.121239483765108,6,18,24,55672.9628141804,59588.3921597161,64046.3074163438,50856.2362145356,61632.1229425422,50958.4458176051,52922.6270045055,47966.8312530981,1.2593599562926,1.28489044059089,1.27212519844175,0.379986481816972,0.929060119216305
"A2RSY6","Trmt1l","TRMT1-like protein",0.153143826368685,6,18,24,594319.970032917,533089.53549193,560454.456595846,548043.492750978,672270.545727759,610572.191768101,612800.501502708,550737.53499832,1.11485956948017,1.22067319368347,1.16776638158182,0.376487203884023,0.927231886114138
"A3KFM7","Chd6","Chromodomain-helicase-DNA-binding protein 6",0.227818798997826,18,6,24,6037.42711614499,6762.7314426483,7558.26348695688,5215.93656479507,6632.51243846413,7099.97061015497,7400.77973079983,6858.80651249017,1.44907120572963,1.11583352454498,1.28245236513731,0.287090068571367,0.855363532462095
"A6H8H2","Dennd4c","DENN domain-containing protein 4C",0.000934496862655972,6,18,24,523362.098820686,490900.186035921,502135.387288391,421143.36547975,537571.707680892,507485.414802426,472689.781360475,388911.940183711,1.24271718782627,1.38224531606553,1.3124812519459,0.00836068637488761,0.396020600802574
"B1AXD8","Akirin2;Akirin1","Akirin-2;Akirin-1",0.000140037868969505,6,18,24,245701.634738147,193185.505218375,182307.046075792,165585.370793,204589.165548697,187614.818105959,143742.453726306,127775.839649985,1.48383660682984,1.60115688622455,1.5424967465272,0.1225511709709,0.687759555544104
"B1AY10","Nfx1","Transcriptional repressor NF-X1",0.000140037868969505,6,18,24,286643.509572589,275756.89071642,229506.14635762,195060.975214258,264138.192112027,256914.805744693,235969.921422696,190610.577937349,1.4695072105414,1.38574781615135,1.42762751334637,0.00294253218180676,0.319594391609757
"B1AZI6","Thoc2","THO complex subunit 2",0.103202756653666,6,18,24,995086.055083232,893575.256222635,834800.806924857,718854.323472255,1057714.49179247,1196899.84099199,966385.276590724,933979.237606256,1.38426663454802,1.28150583310566,1.33288623382684,0.439326066934729,0.968850002812017
"B2RQC6","Cad","CAD protein;Glutamine-dependent carbamoyl-phosphate synthase;Aspartate carbamoyltransferase;Dihydroorotase",0.0120320043860253,6,18,24,919227.657786913,910511.49106037,823636.809899024,766888.06873462,843447.627752774,766202.382857519,693236.005437328,654350.029490523,1.19864644563275,1.2889853896843,1.24381591765852,0.310516110219926,0.870735042058648
"B2RR83","Ythdc2","Probable ATP-dependent RNA helicase YTHDC2",0.019457651088918,6,18,24,79047.237719681,73413.068509995,71325.4097518652,64409.7482733145,62331.5730858263,70192.8850176346,63390.3230627033,56371.5994698295,1.22725580892281,1.24518171699567,1.23621876295924,0.45446636394288,0.973713061257561
"B2RRE7","Otud4","OTU domain-containing protein 4",0.00803665773787854,6,18,24,337991.059281162,305087.888480041,261224.895307909,255132.966030254,264124.950641162,282331.589767118,260987.330397482,222994.431993901,1.32476435538747,1.26609255326537,1.29542845432642,0.242391096727754,0.818869628828072
"B2RUR8","Otud7b","OTU domain-containing protein 7B",0.093820687866969,6,18,24,62629.9579272196,47713.6043354324,49080.103431904,40945.5062249456,39428.1126970411,50282.114588727,39334.1217934517,44076.2871743209,1.52959295662739,1.27833322052452,1.40396308857595,0.786552103493721,0.999825464286451
"B2RVL6","Zcchc24","Zinc finger CCHC domain-containing protein 24",0.0770804332388426,6,18,24,25122.2667679603,20064.6764549093,23511.843525488,18933.7224106939,24484.1174868837,24576.4286248354,25284.4675261646,19500.5180299332,1.32685302039556,1.29660491517985,1.3117289677877,0.0883870169081152,0.61897777190364
"B2RWS6","Ep300","Histone acetyltransferase p300",0.718028074820449,12,12,24,178461.821266218,181725.703282371,173261.989800988,179552.413486939,181481.984185596,188838.604285626,192689.22440968,167237.741463533,1.04884922244691,1.15218743522494,1.10051832883592,0.584135455869489,0.999825464286451
"B2RX14","Zcchc11","Terminal uridylyltransferase 4",0.434973443761697,6,6,24,25944.7289914835,24159.7966406104,24672.9313296208,24042.3628880274,31832.5420260211,25119.8023882916,26178.9973133351,25005.8430659473,1.07912558812609,1.27300415115259,1.17606486963934,0.282280730807389,0.853510241181397
"B2RXC1","Trappc11","Trafficking protein particle complex subunit 11",0.334134238530145,6,18,24,254568.659348704,256491.784807812,251070.782685031,242393.820492456,317077.809571904,280684.47160958,257655.363329209,249092.43884919,1.05816140150238,1.27293229387775,1.16554684769006,0.440992458205583,0.968850002812017
"B2RXS4","Plxnb2","Plexin-B2",0.0141649153133853,24,6,24,258335.213708971,225197.316347885,238843.035175896,259602.021699694,188868.675857695,220707.352681293,255357.594859754,283008.918192853,1.1527758230416,1.49844285669736,1.32560933986948,0.377368344606005,0.927231886114138
"B2RY04","Dock5","Dedicator of cytokinesis protein 5",0.0638099276536186,12,12,24,513588.685528051,458866.991535418,453561.421731438,412555.291375195,420962.825417648,440521.631878402,421754.695873808,405174.406012053,1.24489661450245,1.08723953275888,1.16606807363066,0.472755309670799,0.979794830832761
"B2RY56","Rbm25","RNA-binding protein 25",0.0700731211262206,6,18,24,164478.126797265,141064.294331956,143624.65030954,111001.71025245,190303.195606958,175782.171466781,164900.821024742,149313.553476355,1.48176209558568,1.27452057215352,1.3781413338696,0.329964112553686,0.890454748532475
"C0HKG6","","",0.00143217958886267,24,6,24,40517.2890593032,45324.098972361,43865.4557088657,53623.5575882423,32703.0667869763,45518.46866076,47855.4077638845,54711.3951390521,1.32347348090727,1.67297444901529,1.49822396496128,0.0372466636475958,0.491959086515292
"D0QMC3","Ifi205a;Mndal","Interferon-activable protein 205-A;Myeloid cell nuclear differentiation antigen-like protein",0.807732893034616,24,12,24,239177.887767256,291346.525325943,271403.132580722,279490.169563573,354727.173731316,286030.25437121,326704.463111249,342835.150276928,1.21811647408414,1.24017361209262,1.22914504308838,0.974717078664848,0.999825464286451
"D2EAC2","Zbed6","Zinc finger BED domain-containing protein 6",0.914358260607107,6,6,24,76407.3859777271,67858.5195836817,68015.9058899994,65035.0914624998,78784.5856737358,70215.546264405,78066.420792524,77996.4840293291,1.17486397357932,1.12203906207698,1.14845151782815,0.588577399792651,0.999825464286451
"D3YXK2","Safb;Safb2","Scaffold attachment factor B1;Scaffold attachment factor B2",0.0144384052632304,6,18,24,6245.83477461642,6297.55983055323,5178.26432757065,3756.03276408652,6590.63314001621,5033.06312904622,5161.14527633914,4197.19725488187,1.67665199589515,1.57024622379862,1.62344910984689,0.024745734433085,0.469033729110315
"D3YYU8","Obsl1","Obscurin-like protein 1",0.0609999226870105,6,18,24,8892.23169675584,8106.76767487704,8991.73233858934,7573.35042619689,8671.66818539225,7743.86567574687,7108.5332674461,5814.73995588124,1.18728592136528,1.49132519273221,1.33930555704874,0.301720215880361,0.860350714589543
"D3Z7P3-2","Gls","Glutaminase kidney isoform, mitochondrial",0.019457651088918,24,18,24,44796.4295984073,40852.5676765378,35231.9120048902,47180.2082644583,41402.3833226194,44969.1850496949,42569.560333109,44275.4897249909,1.33913277990447,1.08614967160905,1.21264122575676,0.372808990596265,0.927231886114138
"E1U8D0","Soga1;Soga3;Mtcl1","Protein SOGA1;N-terminal form;C-terminal 80 kDa form;Protein SOGA3;Microtubule cross-linking factor 1",0.00253976190393225,6,18,24,442677.165267074,438170.255098333,440643.067258275,362119.32099928,461227.494651088,459010.205290098,391998.462595631,390984.104775221,1.22246215431282,1.17965791708144,1.20106003569713,0.0780226915278267,0.605178450388897
"E9PVA8","Gcn1l1","",7.38174692776199e-05,6,18,24,1487301.4151135,1440247.86219882,1383632.18666604,1241765.22637684,1538304.35271592,1425786.78004855,1231244.28090372,1163207.17011687,1.19773157076807,1.322468079836,1.26009982530203,0.0319390160014763,0.482054751266743
"E9PVX6","Mki67","",0.0559165957964263,6,18,24,930938.448774229,749975.032020116,633696.52064737,553938.281713152,543287.064041876,494250.5342346,426490.576214593,334506.106355775,1.6805815368007,1.62414692503115,1.65236423091593,0.536257414649071,0.999825464286451
"E9PYK3","Parp4","",0.807305345735438,12,12,24,249313.216728984,234755.814673019,246874.75278903,216401.728233386,283646.439188758,301740.200352837,294282.557359248,285862.618274915,1.15208514628914,1.06378984067569,1.10793749348242,0.948251931258292,0.999825464286451
"E9PZJ8","Ascc3","Activating signal cointegrator 1 complex subunit 3",1.42390789949773e-06,6,18,24,1341893.73278339,1170478.68476086,1135222.1658598,1005269.90243225,1306569.66169542,1156892.30617479,1093938.25950023,965545.613058224,1.33485915527429,1.35319310038296,1.34402612782863,0.000827287974121629,0.302562242254004
"E9Q1P8","Irf2bp2","Interferon regulatory factor 2-binding protein 2",0.435893574955956,12,18,24,303114.413668299,326012.221800915,333399.703706092,339679.898213055,326378.063305818,338967.15582868,331095.175038547,318211.102609425,1.12063261559304,1.06522730680686,1.09292996119995,0.487794089502439,0.987904041975861
"E9Q394","Akap13","",0.0157387947926503,6,18,24,47612.9572471823,46388.3567549995,45224.2872526576,39725.5747068185,52346.8576180172,50333.893629409,47747.4751754383,43663.5136923059,1.19854671955218,1.19886956388582,1.198708141719,0.123146670157428,0.687759555544104
"E9Q3L2","Pi4ka","",0.403066063849701,6,6,24,80453.6299058821,79729.8693909306,80612.9277907503,80188.8361414696,87663.6360004818,77741.5251216594,82017.7707531285,85152.6464733873,1.01107562832556,1.12762948582878,1.06935255707717,0.471835745735398,0.979794830832761
"E9Q555","Rnf213","E3 ubiquitin-protein ligase RNF213",0.764532693263432,6,18,24,6865115.39244889,7238999.04083253,7166966.08820027,6659395.60882472,10161792.0313751,8365201.35892338,8840550.46545399,8452796.72311167,1.08703544075978,1.21476956684794,1.15090250380386,0.945516271765844,0.999825464286451
"E9Q5C9","Nolc1","",0.114262076323085,6,18,24,1118985.12408551,997441.329826148,998485.378092844,967648.175107309,1421468.96671183,1223321.22770848,1141564.0196327,1099658.38088465,1.15639666654816,1.29264596298379,1.22452131476598,0.504426099147791,0.997594620117176
"E9Q634","Myo1e;Myo1f","Unconventional myosin-Ie;Unconventional myosin-If",0.421140086485005,18,12,24,50778.080421282,59635.648169454,69352.7531525577,63078.9065880562,36939.5847993783,45161.0525733742,39618.2205313388,46692.6780857167,1.36580100266041,1.26402823256699,1.3149146176137,0.836512952303455,0.999825464286451
"E9Q6J5","Bod1l","",0.486836658958414,18,12,24,482435.896951266,506315.61825362,551732.537845592,478646.876969639,532729.306467178,597063.339640621,593450.644681114,603969.291604698,1.15269223386281,1.13372642404442,1.14320932895362,0.746465654914225,0.999825464286451
"E9Q7D5","Arhgef5","",0.00212227394764467,6,18,24,20124.9571769966,19617.3436842607,18163.4231474676,15537.4316005054,24616.588129588,18723.1575308469,14864.3704299365,11198.5999161409,1.29525636504441,2.19818444394173,1.74672040449307,0.0995296111688301,0.634734156173747
"E9Q7E2","Arid2","",0.832430111218511,18,18,24,858573.385865502,753794.323423679,833699.188288158,816805.321173557,1002733.9317034,1054057.28909651,1102082.98389704,1065155.07175167,1.13900219089728,1.09907817921836,1.11904018505782,0.98298044444483,0.999825464286451
"E9Q7F2","Rnf169","E3 ubiquitin-protein ligase RNF169",0.00631819191522008,6,18,24,148641.199950708,114235.507336387,116914.473916563,110567.311824508,137777.879305688,135976.228316668,121638.229943919,123660.136128446,1.34435031021312,1.13268566444292,1.23851798732802,0.18543029466471,0.755194814782862
"E9Q7G0","Numa1","",0.769244719120214,6,18,24,4243940.77451419,3967285.22508579,3954866.68636337,3664628.19305739,4902665.13457532,5117105.88858546,4863611.01171358,5084537.50228589,1.1580822257915,1.05212071365522,1.10510146972336,0.986563492157071,0.999825464286451
"E9Q7X6-2","Heg1","Protein HEG homolog 1",0.00579167592228507,24,6,24,57193.5377833624,60219.7952803135,61167.7576074386,64486.8118869422,40931.861377469,53520.2179960343,57937.7431082125,74026.0201772015,1.12751919860606,1.80851829567539,1.46801874714073,0.215629100986711,0.79362531736962
"E9Q9R9","Dlg5","",4.11248911997617e-05,6,18,24,115357.296334835,87688.6470401467,85185.7238579615,71859.1653337592,109111.612935337,94439.9874576619,91816.9153881455,70426.2478803014,1.60532474596725,1.54930322457028,1.57731398526877,0.00213034668716929,0.319594391609757
"E9QAM5","Helz2","Helicase with zinc finger domain 2",0.0227747965169304,12,12,24,286444.755775527,333997.828910551,256680.14813728,265963.863574607,331985.387709714,327880.288186926,293200.867249442,277568.913232689,1.30122189555508,1.1960467180682,1.24863430681164,0.129520321191631,0.689179722922672
"E9QAT4-2","Sec16a","",0.513850436357357,6,12,24,75879.3815671819,74293.3457375536,69954.0310040211,66113.5044615056,78742.8386261165,78476.1941179991,70499.395831823,82853.4074857623,1.14771380197162,1.17523570958551,1.16147475577856,0.685946285973308,0.999825464286451
"F6ZDS4","Tpr","Nucleoprotein TPR",0.688143914051891,24,18,24,1577169.74377836,1453260.6227875,1488662.02358055,1532998.7520058,1505616.48535869,1667969.65578343,1573085.75711833,1687279.59975757,1.08526283520515,1.12065696421729,1.10295989971122,0.870127454004495,0.999825464286451
"F8VPU2","Farp1","FERM, RhoGEF and pleckstrin domain-containing protein 1",0.170611644309342,24,12,24,359977.112966578,296778.857207795,351250.284349934,364700.151229629,441101.471675336,389267.378565796,422087.421686635,452525.390227389,1.22886163340901,1.1625052987863,1.19568346609765,0.687434387851695,0.999825464286451
"F8VPZ5","Ercc6","",0.0454499664227676,6,18,24,38717.7833638142,37853.6584822177,31937.1676384862,32782.3860115143,37033.9127060167,38005.7469352731,35379.8033822733,34283.6727270803,1.21231111669267,1.10856696240869,1.16043903955068,0.0680774149165893,0.591118157101517
"F8VQB6","Myo10","Unconventional myosin-X",0.121239483765108,24,12,24,224928.251104644,205062.647212107,225882.985910355,224711.408938812,235060.756304511,227413.25463161,241055.762373267,242047.454113698,1.10153160012956,1.06435068837915,1.08294114425436,0.489664243027966,0.987904041975861
"G3X9G7-2","Zfp809","Zinc finger protein 809",0.156394007283563,18,12,24,60112.7226760572,60647.6834901953,72234.2520682815,69952.4162539849,72923.7697733623,77599.7028780083,86316.7220848826,83089.1121131775,1.2016466540294,1.18365688379994,1.19265176891467,0.596834736343486,0.999825464286451
"G3X9J0","Sipa1l3","",0.57470733818034,6,18,24,110232.646375559,109290.76945212,113595.396819472,101516.301376086,119344.814481689,109154.629194905,101908.110877346,98473.8582243136,1.11898675660608,1.21194413049028,1.16546544354818,0.179372434086218,0.754461734833677
"G3X9K3","Arfgef1","Brefeldin A-inhibited guanine nucleotide-exchange protein 1",0.0176887737171982,6,18,24,93969.414646551,90714.8427017861,89896.6152556924,78391.2334354049,108320.436923333,103644.746527579,95203.2691117933,95126.4960301752,1.1987235119088,1.13869890560221,1.1687112087555,0.511470366282815,0.999825464286451
"G5E870","Trip12","E3 ubiquitin-protein ligase TRIP12",0.114262076323085,6,18,24,323618.003182827,285642.964679246,278264.984902303,258487.422670142,367513.835258497,343388.802370477,323461.913635131,321291.617614523,1.25196808355275,1.14386375214877,1.19791591785076,0.558320357911473,0.999825464286451
"G5E8K5-2","Ank3","Ankyrin-3",0.736166136975533,12,6,24,30957.3878797514,23926.4803575572,26727.2108327523,28169.5770665549,23840.2935139846,28869.1903836165,23907.206242248,21408.8631944366,1.29385465045942,1.3484690953193,1.32116187288936,0.915713202628523,0.999825464286451
"O08539-2","Bin1","Myc box-dependent-interacting protein 1",0.791501589073402,12,12,24,563276.568088431,625681.183315849,572029.421117746,567493.905922298,470464.519468151,492456.36841017,475034.044434915,457432.889094315,1.11078858728173,1.07656528454961,1.09367693591567,0.93179630502968,0.999825464286451
"O08550","Kmt2b","Histone-lysine N-methyltransferase 2B",0.104740236629495,12,18,24,23166.4795341919,28477.9553110683,27531.2092863876,25610.0026033179,27697.2232302828,29809.8650434584,29898.1687564753,29260.7335614313,1.22927418769162,1.07946448306002,1.15436933537582,0.452378664441475,0.973713061257561
"O08553","Dpysl2;Crmp1","Dihydropyrimidinase-related protein 2;Dihydropyrimidinase-related protein 1",0.0350365605631103,12,12,24,2727341.24039591,2905618.17912763,2789143.31681751,2587745.22659454,2944904.64630727,2784768.64578393,2451613.0640998,2415602.92858464,1.12283780847754,1.21911784898885,1.1709778287332,0.230718926012221,0.815117489670825
"O08573","Lgals9","Galectin-9",0.628276480057556,6,12,24,634641.862071111,555808.590753658,590513.549002262,569773.428376986,557813.986474598,616683.621858676,536029.106124425,596294.185744262,1.14183528759524,1.15046667207569,1.14615097983547,0.872261263555065,0.999825464286451
"O08585","Clta","Clathrin light chain A",0.663444627902243,18,18,24,83631.3066752797,77150.8126430928,67899.0122197358,70027.4037559121,59416.1228952906,60278.130116134,74722.0665769915,71147.8326175937,1.23170137445639,1.25760589779099,1.24465363612369,0.991497760393506,0.999825464286451
"O08599","Stxbp1","Syntaxin-binding protein 1",0.209425493352519,6,18,24,30525.7183376259,29508.645425407,26795.6162021,27035.4487907106,30021.9358410523,29741.2091700911,25991.9631381007,25946.0896481838,1.13920568601193,1.15708903530879,1.14814736066036,0.0037022924273002,0.319594391609757
"O08605","Mknk1","MAP kinase-interacting serine/threonine-protein kinase 1",0.807732893034616,6,18,24,11059.6257321202,11566.1202024857,11029.4301398976,8085.03530184281,10872.7482435662,9094.9822023234,9928.40301144465,10677.6853102187,1.43055902301991,1.19546668720129,1.3130128551106,0.684507281123511,0.999825464286451
"O08609","Mlx","Max-like protein X",0.040899668827602,6,18,24,46568.3461116947,44754.7800600965,36594.9604859012,35095.145678922,39869.5475835098,43198.0397663019,42435.1959348719,36121.5627316212,1.32691701974224,1.19590727807814,1.26141214891019,0.152003449186666,0.72257273014423
"O08663","Metap2","Methionine aminopeptidase 2",0.000140037868969505,6,18,24,2932136.77204587,2951503.97449089,2798408.85545127,2527114.12415008,2967894.79666028,2833898.29848211,2660174.49736356,2344472.51297989,1.1679345805103,1.2659115345686,1.21692305753945,0.0182414035673707,0.437561570040917
"O08664","Bcl7c;Bcl7b;Bcl7a","B-cell CLL/lymphoma 7 protein family member C;B-cell CLL/lymphoma 7 protein family member B;B-cell CLL/lymphoma 7 protein family member A",0.314019711107274,18,18,24,10955.6653263179,10461.1379611064,11844.7894347924,10379.5142071468,8800.14979041471,11862.3422100878,13471.5710274639,15191.7046022482,1.1411699236017,1.72630068397191,1.4337353037868,0.476944126711941,0.9822427258574
"O08665","Sema3a","Semaphorin-3A",0.398725656781556,18,6,24,65394.6669614421,68075.064530503,77193.2440118211,70401.0260985325,77875.2749260684,72060.3901403308,71922.2478132776,63410.955846538,1.18042108934259,1.22810441644399,1.20426275289329,0.619661335057299,0.999825464286451
"O08746","Matn2","Matrilin-2",0.342696261849576,24,6,24,17279.9136201945,27235.4703584625,33106.3430487346,35225.6422361532,35881.8855090261,43200.2632317556,42013.4929185294,43676.9477809685,2.03853115301376,1.2172422703367,1.62788671167523,0.56175475509857,0.999825464286451
"O08756","Hsd17b10","3-hydroxyacyl-CoA dehydrogenase type-2",0.836216071045467,6,18,24,601593.00638216,583648.825047957,596935.203106293,556287.965590233,951825.290638372,796717.468861799,799168.716719073,708458.747208382,1.08144170572494,1.34351547551492,1.21247859061993,0.886423170201914,0.999825464286451
"O08784","Tcof1","Treacle protein",0.874741408363499,6,18,24,630720.200881609,592454.661973462,608247.625711006,506048.316415692,939807.483467984,806860.102790372,775417.395591417,804855.306597156,1.24636359893253,1.21200206341926,1.22918283117589,0.904290480771091,0.999825464286451
"O08788","Dctn1","Dynactin subunit 1",0.792614836000503,6,18,24,1642137.26158791,1519179.85571078,1510910.51611028,1479513.06651574,1936349.89117196,1760445.73828701,1823474.18444751,1693456.47539259,1.10991737670499,1.14343056305776,1.12667396988138,0.764281889024064,0.999825464286451
"O08808","Diaph1","Protein diaphanous homolog 1",4.11248911997617e-05,6,18,24,421005.148263947,384776.598862028,390410.363585118,370064.609847091,431008.640042591,408730.358209595,380684.585084687,353078.958111207,1.13765309370681,1.22071460261543,1.17918384816112,0.0228108040889844,0.469033729110315
"O08810","Eftud2","116 kDa U5 small nuclear ribonucleoprotein component",0.242478967530217,6,18,24,1250539.12954616,1076963.83621064,1055605.66579072,933851.640987898,1333020.50775661,1354073.50903048,1287895.93904542,1180567.76728491,1.33911970023766,1.1469680492333,1.24304387473548,0.559712208178956,0.999825464286451
"O08848","Trove2","60 kDa SS-A/Ro ribonucleoprotein",0.00212227394764467,6,18,24,47463.5756469975,44307.0997039639,33842.2971511339,31417.3927500175,76051.6229687782,44034.0247504575,43975.4878919915,34418.9470332593,1.51074202829804,2.20958598458253,1.86016400644028,0.128897800454141,0.689179722922672
"O08915","Aip","AH receptor-interacting protein",0.853430522236473,24,18,24,391813.433161614,370675.455613396,344165.676201577,372594.797324639,355653.293814645,421324.542776988,418964.27354832,458610.880730113,1.13844424431253,1.28948863600045,1.21396644015649,0.820414348036361,0.999825464286451
"O08917","Flot1","Flotillin-1",0.0350365605631103,24,12,24,30498.6657395364,25054.9846650827,27668.6963125063,28599.8326068262,21224.8697987647,23047.6024150606,26255.8680279426,30836.798216522,1.21726938360653,1.4528615962731,1.33506548993982,0.519214491436362,0.999825464286451
"O08919","Numbl","Numb-like protein",0.594461127000378,18,6,24,241119.273444524,223548.435929632,229673.577317571,213503.884982373,213434.565365629,265397.050601494,281227.356832693,250110.775244819,1.12934372816884,1.31762798753299,1.22348585785092,0.770050798278893,0.999825464286451
"O08967","Cyth3","Cytohesin-3",0.0176887737171982,6,18,24,100578.398614912,89894.8618316249,77189.484234774,78224.1027039857,88724.1451712,88540.2215311567,86524.1966317929,76917.3545531151,1.30300648607781,1.15349969700182,1.22825309153982,0.09832774565925,0.634585787111798
