"Leading.razor.protein","Gene.names","Protein.names","pVal","phase","peak.shape","period","t1.1H","t1.2H","t2.1H","t2.2H","t3.1H","t3.2H","t4.1H","t4.2H","t5.1H","t5.2H","t6.1H","t6.2H","t7.1H","t7.2H","t8.1H","t8.2H","Av_expr","Amplitude","CV"
"A2AKB9","Dcaf10","DDB1- and CUL4-associated factor 10",0.062547125244646,12,6,24,49480.775675985,41544.941870674,44157.3142485732,40009.3225525951,38915.8635211817,32488.0800210885,39935.7665195795,30222.7762799019,38390.238630181,36031.1534837222,40903.6956409494,37939.1049442782,37863.3395171463,35190.5757958047,35880.2206266617,38174.6451779495,38570.488406642,0.499293635928312,0.116230656932759
"A2AL36","Cntrl","Centriolin",0.0181643155438042,6,12,24,3696.23937866283,3583.97682165774,3687.21812515146,3192.35837969266,3304.43535901847,1748.50289921284,3302.92632108525,1842.05536278223,2799.83660128011,3315.60673603062,1840.31439091459,2482.03479329201,1622.58988596569,1759.6720622265,801.978040588453,1822.40220245239,2550.13421000087,1.1349447126053,0.359328152002594
"A2ALU4","Shroom2","Protein Shroom2",0.700405804624966,6,6,24,26178.1192918265,25069.7050291377,21958.4121804816,23608.2649804814,28813.3543403683,24088.1436891558,27991.8712480189,26711.7032792879,24648.0544679278,21814.9760090063,21179.6418004881,20493.5156312413,20962.6614282737,21695.6495088952,19805.5671621339,20021.2342966638,23440.0546464618,0.38429036596099,0.123184860350006
"A2AN08","Ubr4","E3 ubiquitin-protein ligase UBR4",0.00526515992935006,6,18,24,512559.611120782,457302.727424725,493578.326006033,444804.549469765,413641.300708909,389179.244006939,398862.263580083,297141.250093418,489697.100409318,435064.294141213,435378.304861227,428757.440802811,477089.53149171,435563.679673611,422483.572631808,410312.427791619,433838.476513373,0.496540469989235,0.11670772272805
"A2APB8","Tpx2","Targeting protein for Xklp2",0.0508332689058421,6,18,24,160748.931780086,149283.165974575,88968.6804927387,100286.697663583,75601.9941299173,64355.0385781709,54716.1813662595,54949.4327709779,53389.4373003003,66753.1754284012,54174.6174955317,69940.1155785916,40130.6020905781,42898.6328669483,31157.3344428847,46196.9437718099,72096.9363582096,1.7974633026476,0.512637768587439
"A2AR02","Ppig","Peptidyl-prolyl cis-trans isomerase G",0.152264314925099,6,18,24,34953.424319261,38164.6264806218,43792.9318194903,36870.9500456155,35041.0271820569,31646.5147750388,36278.8041279838,20299.0808541793,28629.4639808889,37160.0720690129,31837.9430543141,34515.0402342606,25733.2393155223,34040.8622522439,29257.5916689725,32466.3491194516,33167.9950811821,0.708328945051015,0.16473244885583
"A2AVA0","Svep1","Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1",0.700891593316205,12,6,24,86144.2163397991,76795.5071724708,87596.554873524,81618.3268386813,71613.8700685042,81347.6846062353,75865.2633540931,75585.4484839386,105615.125802304,85145.4050954754,91175.3134287148,96874.2478293126,97080.6164236393,100906.108257871,107052.254900539,101303.387383842,88857.458178684,0.39882285132185,0.128922699780897
"A2BE28","Las1l","Ribosomal biogenesis protein LAS1L",0.752344151799718,6,12,24,4224.57291291369,4659.64529929291,2896.1422364826,3470.83394975187,2807.6804037828,3700.47950547694,2384.6600406271,4770.93605973227,1947.38801581375,4190.26119251962,3066.73094544704,3208.52074939323,3630.0308224642,2358.50308834218,2969.11069396901,3498.4152075256,3361.49444522093,0.839968082628484,0.243728774942231
"A2BH40","Arid1a","AT-rich interactive domain-containing protein 1A",0.153143826368685,24,6,24,5515.95403927108,7495.33773614068,7231.55104511199,8193.52369876704,8191.7469459071,6012.17154372196,8508.18986884635,8879.94852098811,10046.7894919723,6539.78074042293,6710.97953943578,7958.73031254524,8604.47144839394,7859.54379375617,11011.8324173898,8129.20703825766,7930.60988630801,0.692995678378685,0.176695323783234
"A2CG49","Kalrn","Kalirin",0.832430111218511,18,6,24,1473.69995174382,685.538531153,1398.6650367281,548.918640026149,1070.19975490749,1392.38211365888,1431.94835267606,776.832593962552,625.854362638652,1355.36802417189,1204.68355343037,1163.51197165997,1520.92576672401,1201.76919540432,535.727663925136,1123.92708752683,1094.37203752108,0.900240566298186,0.317971977791095
"A2RSJ4","Uhrf1bp1l","UHRF1-binding protein 1-like",0.153143826368685,6,18,24,11821.3101588368,11129.1795445813,12522.8316894535,8965.01731228006,12324.6775712626,10779.4250737187,8730.06906523302,7885.16260432788,11548.0565303446,10473.4685815671,8667.7105314398,8537.02979571718,9407.63980673783,10704.552318181,8680.38950997172,8409.17228736101,10036.6057738134,0.462075445587971,0.153836470618445
"A2RSY6","Trmt1l","TRMT1-like protein",3.73862647270561e-05,6,18,24,93945.2344845988,87246.6998014141,79195.8858862908,77491.9568203531,68427.2251234389,78243.9164076326,70937.3799121906,67007.5919743963,83854.5777026517,93157.0551791088,80061.7129351705,79001.5588673246,78508.4798592942,79591.1813696147,75930.819838063,72626.635182115,79076.7444589786,0.340651890698112,0.0974373776738832
"A3KFM7","Chd6","Chromodomain-helicase-DNA-binding protein 6",0.453643571619695,18,12,24,2216.04044598826,1861.81044886302,1668.58726413984,2305.79453229973,1790.99063662068,2410.41942034343,1339.61275889092,2172.56465750959,2271.33091371891,1693.11783034887,2041.09498315299,3077.97130284729,2742.96774941132,2518.06082486442,2252.78696157956,2409.01022528141,2173.26005974126,0.799885193750502,0.20056662010989
"A6H8H2","Dennd4c","DENN domain-containing protein 4C",0.0281144502370696,6,18,24,58285.3261176078,48798.9153803245,48101.3735612245,48355.8373577706,46183.5680836232,45074.3583011366,40390.8490889491,30099.6045520476,44688.5756259839,43078.6511332766,39307.437621273,45240.0362125166,37190.8510030638,48573.4630375537,32906.2191463168,34797.8060947157,43192.0545198365,0.652567280693155,0.165290860049098
"B1AXD8","Akirin2;Akirin1","Akirin-2;Akirin-1",0.000256068998048088,6,18,24,95222.3962888853,105084.654962461,59403.0147073693,74563.0831239195,78592.6819337273,64008.949364041,67422.4052733023,58402.0421887897,79176.3697106394,84808.7994986818,80734.5324091139,79914.3414538668,49854.6878307066,57418.8167077817,46146.8383777098,42893.294328618,70227.9317599758,0.885564462390832,0.250309485078013
"B1AY10","Nfx1","Transcriptional repressor NF-X1",0.000860922939640088,12,12,24,21915.0119040494,15966.7466548078,22049.099005255,20201.7377320496,19311.1440123159,15508.8094215895,14066.8672796126,15758.0170859606,15563.9743558465,18891.9371105217,18912.9420969232,20172.6812819566,15881.2007729577,22278.8638394578,15316.7328377045,13090.8299261926,17805.4122073251,0.516024779784951,0.168426460131229
"B1AZI6","Thoc2","THO complex subunit 2",0.00337964539945785,12,6,24,99343.6466101397,101920.273761293,114659.088204224,104194.602359634,73797.3153106354,87268.819639284,60691.8622470715,33809.6890365351,94916.5126290062,113565.901874934,119649.444448119,96701.4226964107,89486.2412672818,76186.5507091324,96419.1811146488,100705.27529835,91457.2392004187,0.93857803014888,0.238581478556297
"B2RQC6","Cad","CAD protein;Glutamine-dependent carbamoyl-phosphate synthase;Aspartate carbamoyltransferase;Dihydroorotase",0.0255585911246088,6,18,24,119377.091483343,102901.32038596,95888.0474891853,94726.5263787851,87565.1956143237,68795.346476172,66750.0478430852,55530.1770602072,63321.0954552371,76595.5605254978,66016.3924154982,60929.1904056299,52805.7834122135,50081.6442166536,44309.6169966436,57015.3246303603,72663.0225492997,1.03309044756249,0.295718469754942
"B2RR83","Ythdc2","Probable ATP-dependent RNA helicase YTHDC2",0.548151533730356,6,18,24,7172.52186823859,7838.53267843361,5981.55705815121,4957.64037671396,6490.44992725073,6291.71800073897,5634.33784340958,1632.90777786576,2972.79267824867,6242.07826266545,5087.13915512212,5507.98129972214,3982.89912647162,5746.17984386617,5543.12652153387,2922.92447283845,5250.29918070443,1.1819564346684,0.312920569004436
"B2RRE7","Otud4","OTU domain-containing protein 4",0.546765117594782,6,18,24,20632.0234272043,20516.5120785689,15917.3615465774,14564.0434812451,12820.9642465651,14773.1608504921,12187.0539646283,14931.7438491422,11742.1528348156,11640.7701907196,8040.16418014235,15307.8753614496,14276.609363038,13055.9395421886,11105.6145066588,10279.2766806808,13861.9541315073,0.908375480657629,0.240968891550522
"B2RUR8","Otud7b","OTU domain-containing protein 7B",0.264522510032964,18,6,24,8671.99364091467,8827.65057590547,3824.19170653607,9558.67510979685,9285.45075130524,5837.45500808633,7401.28271693416,6677.69956756654,6126.41720449622,6818.96782997607,8819.03309053563,6924.34973505868,10353.7051567197,8397.197489586,5075.1236437948,3107.58451316096,7231.67360877334,1.00199774430747,0.28766671033381
"B2RVL6","Zcchc24","Zinc finger CCHC domain-containing protein 24",0.79988296709962,6,18,24,4963.4286087625,6129.08132444162,3058.44775477342,5559.23727315916,5736.06896571757,3912.56364466718,5718.83362262806,7161.69839237539,7051.82030055926,6047.97874362441,6403.57884113426,6253.69959112579,8181.12547545728,4889.69721986437,5009.27449939411,3665.23403342597,5608.8605181944,0.913318793374621,0.239662986489927
"B2RWS6","Ep300","Histone acetyltransferase p300",0.736166136975533,6,6,24,15169.4058521234,12410.5549133685,8044.46220809524,11554.6019408628,11922.4971517559,10501.6508609866,8782.14783342585,13165.9807468898,10080.1164388585,9178.22355954188,10783.9722138093,12992.9048632962,12864.5034733049,12236.4880672138,13805.9336318681,9697.7760649821,11449.4512387739,0.622295645043608,0.172707035754981
"B2RX14","Zcchc11","Terminal uridylyltransferase 4",0.0468103177944734,6,12,24,5576.95481890379,5968.3192606227,4905.13840848223,6863.39772418607,5182.13883172132,5173.11419052826,5921.67326935283,5363.12871308618,6155.78554015403,5593.83163744372,4589.32502922172,5202.7455265353,5048.08166337616,4405.67517267701,6136.78731479774,4883.96054766831,5435.62860304734,0.452150566381817,0.119410687797079
"B2RXC1","Trappc11","Trafficking protein particle complex subunit 11",0.0120320043860253,6,18,24,42510.2824735763,48191.1374815538,40573.3608711874,37801.5992423521,34325.2793150083,35289.3127448274,33355.673268128,19978.164655082,33960.0137970576,38799.1000012367,40054.7294797368,34025.8121657381,33185.9173786449,36279.4463114309,30793.7019548159,37114.3871268819,36014.8698917036,0.783370116602057,0.168262640629683
"B2RXS4","Plxnb2","Plexin-B2",0.0119696813667651,6,12,24,57124.921867284,54251.115442937,57701.0959473003,42193.8823741999,42314.8554051626,44484.167515688,51474.9780296991,42341.9330913834,50983.181993404,53067.5990504851,46292.7190214456,45554.9324674913,33471.0568718828,47632.3541611971,44120.6410447188,52292.7085615323,47831.3839278632,0.506571984451882,0.13513114599558
"B2RY04","Dock5","Dedicator of cytokinesis protein 5",0.0609999226870105,6,18,24,80747.8211393747,64211.287215333,52195.6132744023,56644.256639023,46567.8277903036,49960.6531453654,47084.9307553699,36276.6404586796,44725.602112683,46689.9631815955,38198.3412280508,45648.8784371713,40464.2829283037,49356.3036293145,36160.3568029942,34754.3485062789,48105.4442027652,0.956097036319478,0.243599365243213
"B2RY56","Rbm25","RNA-binding protein 25",0.266379406917529,6,18,24,40205.4973224648,29984.8890367513,31159.6659661657,34140.5538223921,31327.0269892014,32122.9308212529,34535.2542566582,7679.4540536939,35158.4781650273,39145.275349237,37748.2731264534,40869.2442872894,33090.5799964376,28656.5885823872,41519.6502613696,21452.5975415482,32424.7474736456,1.04365334641944,0.259153546290702
"C0HKG6","","",0.827964021487027,12,18,24,13064.0721847485,10466.5612168875,12476.7964913022,12916.4469506919,10954.1482823079,11188.545994963,14696.5412749668,14980.6143363143,9872.79712934182,10894.953710803,10679.1306947073,11638.664847531,11561.5665219162,7951.14263800929,9846.41348654935,11182.7422914961,11523.1961282835,0.610027948847567,0.155778235524552
"D0QMC3","Ifi205a;Mndal","Interferon-activable protein 205-A;Myeloid cell nuclear differentiation antigen-like protein",0.104740236629495,18,6,24,47958.3333672607,47669.0477529754,70584.7882473988,61224.4629125643,47491.6900661027,61512.7600080219,40334.4770889698,44997.9535682888,57934.5862133266,59634.112682866,46691.1415230499,50614.720589221,59661.2393156277,62269.066250194,49574.4224790566,48908.1339878876,53566.3085033007,0.564726448464616,0.154354563972848
"D2EAC2","Zbed6","Zinc finger BED domain-containing protein 6",0.79988296709962,6,18,24,15702.8825454212,16752.8665129595,18029.194816961,12185.1158376402,11224.3097822004,13583.5836724563,10773.896278612,12852.9381262814,14492.4549814577,11616.8458127027,14800.3164179141,13611.5302108119,18454.4374391715,13171.512640777,15382.2794592366,17614.1083575082,14390.517055757,0.533722390293604,0.169629970196916
"D3YXK2","Safb;Safb2","Scaffold attachment factor B1;Scaffold attachment factor B2",0.0681749496341515,6,18,24,5174.64548901168,2534.15853007544,2533.19369062086,3804.22940416285,2919.90549083814,2268.47268469304,1777.77128411664,2418.81761231603,3685.44632792678,2220.4943370681,2984.50696534751,2267.46574367373,3239.18027991605,1740.76010063931,2114.33232871256,1707.55992173625,2711.93376192844,1.27845510681279,0.337530197921911
"D3YYU8","Obsl1","Obscurin-like protein 1",0.0973212938190173,12,12,24,1351.90008499006,1409.15577948567,1745.18681516208,1508.14859290492,1658.43139400676,1555.72953501391,1612.01520470719,790.923584430529,1030.48246217816,1361.60916626324,938.104754791918,1873.42444065726,653.017435451,1131.75673154871,682.884871312471,600.650913113473,1243.96386037608,1.02315956924906,0.335280714880922
"D3Z7P3-2","Gls","Glutaminase kidney isoform, mitochondrial",0.202692387334919,12,6,24,13344.2006731426,13734.4316145712,12979.158735609,12229.9483962947,10131.0562459688,10375.1527453292,11451.8535763767,14597.7955201323,8349.14632067273,11003.1335070531,11175.6132581769,11511.9264167363,11433.9409644991,9978.44761118182,10988.638997463,10989.3550312228,11517.1124759019,0.542553457955202,0.136311723676877
"E1U8D0","Soga1;Soga3;Mtcl1","Protein SOGA1;N-terminal form;C-terminal 80 kDa form;Protein SOGA3;Microtubule cross-linking factor 1",0.00212227394764467,6,18,24,122258.38106357,126058.465456405,128288.022441608,111236.676510291,110912.822596534,103910.360667506,84952.355085862,84474.1665423471,104115.931335255,113051.215690467,110218.938867057,113187.167809792,91220.4217047327,104505.971491506,89948.1161141331,109132.199544475,106716.950807596,0.410561354758481,0.126378199887207
"E9PVA8","Gcn1l1","",0.00212227394764467,6,18,24,193830.985745479,182707.080618633,155020.762631453,162931.792278512,136907.311847023,145815.160380784,131535.164384462,108023.958351686,124668.792124547,154608.068343802,123595.719934885,148292.826857211,117560.91869388,125439.602669377,109944.57520636,117404.413982381,139892.945878155,0.61337637044637,0.180143399440426
"E9PVX6","Mki67","",0.264522510032964,6,18,24,527700.107712903,536381.520278024,327711.494599211,401496.484611837,336031.556365624,298549.095572739,280109.35685981,288161.026572825,214670.3054878,295434.134664377,227939.520022616,245272.985473097,221844.088904439,233750.794553167,167609.518022077,204796.751606791,300466.171331709,1.22733284955673,0.35763281229185
"E9PYK3","Parp4","",0.0559165957964263,6,6,24,27227.1444551649,26815.2006973009,21532.2721495072,21251.4734127122,18706.972844723,25377.8693885752,22292.2016165538,22317.7939779987,27947.173501104,23965.2574975467,20129.9901586392,22055.9434609483,24690.7457666031,23501.9328703871,17006.5247408016,22240.3283150614,22941.1765533517,0.476900072446545,0.131626250893701
"E9PZJ8","Ascc3","Activating signal cointegrator 1 complex subunit 3",0.0700731211262206,6,18,24,300781.129278077,285492.749616178,263795.898459945,232941.381861755,233855.216352614,260282.997604252,236034.914898038,142675.758282919,223746.717085984,262208.998664926,225320.812279319,227478.378019871,202550.81339985,230464.793469913,217051.990109942,180210.14987714,232805.793703795,0.679129881090157,0.165297689925973
"E9Q1P8","Irf2bp2","Interferon regulatory factor 2-binding protein 2",0.0840877453514647,18,6,24,40516.664047373,45046.5474835662,40731.4653631988,41873.6097833117,49766.4498951975,46991.2244074165,41243.6466957006,42193.3306100191,42082.9389577409,42744.5419933196,46386.8795076209,45960.8499591277,40054.7903278388,50496.8477369542,38374.0174735669,40645.0434617484,43444.3029814813,0.279043037439335,0.0823577134332796
"E9Q394","Akap13","",0.00130198144442061,6,18,24,26561.3014485311,24094.7395004202,21428.7306874357,23951.2620745376,21564.8312444192,20157.5315755682,20132.7682486918,17634.8338452665,25959.1216359179,27890.935873007,21252.6114216938,27589.1838185561,20128.437517625,27189.2209446318,18259.9778264074,21204.3676377205,22812.4909562769,0.44958273287199,0.148488788945836
"E9Q3L2","Pi4ka","",0.683150401020304,6,18,24,13828.2627010877,12916.2477959604,12835.2672965787,11327.5997522088,12033.0832590453,10533.5679774008,12542.3344501493,9152.44673742406,10996.3380439572,10376.4188220466,10374.2980096651,12544.8889418503,12387.2057048994,10672.3637774998,9043.31611134705,11559.5003436901,11445.1962328007,0.418074665773534,0.120208656624175
"E9Q555","Rnf213","E3 ubiquitin-protein ligase RNF213",0.858038494704348,6,18,24,1134871.65912066,980188.637310908,979940.584390157,1054761.03688308,842757.632239326,1149408.76809933,839774.430341221,767736.782689707,1283457.88579187,1315072.04865146,1072708.27307406,1112236.92612066,1175934.89390623,1259809.79538251,1178978.29825027,1093660.98956452,1077581.1651135,0.507929503300203,0.149465637837089
"E9Q5C9","Nolc1","",0.435893574955956,6,18,24,42874.225405698,49217.0736508631,31948.8048546937,40735.9836074536,38271.0780747716,22231.5506078487,29985.4240949703,28970.0627920553,32289.6249386657,36843.4381269116,39108.9397074873,31834.2122239947,34384.9431283279,38475.3351846105,37542.0795848905,39372.6544621041,35880.3394028342,0.752097764183436,0.176981582226236
"E9Q634","Myo1e;Myo1f","Unconventional myosin-Ie;Unconventional myosin-If",0.727996998746281,18,12,24,5033.79688504711,6088.94609117734,5941.18192534638,4429.45679506552,5678.07429707398,5924.22810090441,4795.97545078086,4860.9844573921,1678.36825798848,3607.06807169674,3992.02416742299,4564.35607407744,3077.52124052102,4600.38241356333,4315.79124358468,4844.8963210931,4589.56573704597,0.961001124264905,0.249095918081172
"E9Q6J5","Bod1l","",0.202556542240958,6,18,24,100274.12139719,72278.579666835,65569.0898958155,74454.1773668546,63742.1744461365,75040.1668805035,72439.5132714635,54377.91957377,76537.2610155176,96531.7447269375,74212.064065233,74259.8576184078,84231.12258854,90873.6946956952,66307.2648647227,66756.0921708955,75492.8027652824,0.607954667759756,0.161799026789525
"E9Q7D5","Arhgef5","",0.000256068998048088,6,18,24,3514.60406678808,3175.10604311416,3091.40191301288,2987.71642966759,1919.31734906962,2264.37645969489,1707.83516052197,1686.2128092443,2427.49916296493,4148.69518619122,1943.32025609422,2495.86080392417,1914.05611623798,2526.75268599793,1272.61286728442,2264.71357723133,2458.75505543998,1.16973112573515,0.30915885499195
"E9Q7E2","Arid2","",0.801846290999874,24,12,24,131602.907179421,122064.954463918,91802.3607636422,91724.4728704645,88754.1763753506,107990.20076567,112982.641425257,86153.7727857329,101782.941424654,104439.68783282,109142.08530698,128683.112367148,116515.676286801,146666.560281766,137991.268673244,119780.002922169,112379.801357815,0.538466759728127,0.161386385217703
"E9Q7F2","Rnf169","E3 ubiquitin-protein ligase RNF169",0.185676830387545,6,18,24,50367.1022132641,62672.880505583,42297.4167757226,40950.8062843398,47128.7731179137,46185.3548363507,34773.1864066814,38480.9836029774,45815.2253975849,49522.4223045276,45743.9250767675,50835.4049896958,42794.921953752,45062.0466545741,45127.3363104954,48695.9038663569,46028.3556435367,0.606141447132476,0.134536255606752
"E9Q7G0","Numa1","",0.265547268522771,6,18,24,719988.481898493,659496.624729667,521225.481197408,570514.109925371,565051.152031661,494032.221283307,490876.17608499,507530.930026878,599516.333513322,639842.71935766,600063.663619357,640531.775079658,678686.316579449,595157.80739467,658782.975211299,608370.139159951,596854.181693321,0.38386646661919,0.115053365894121
"E9Q7X6-2","Heg1","Protein HEG homolog 1",0.434973443761697,24,6,24,7632.6048975771,9455.66193937966,10134.7872301622,10843.8751245595,8089.53584511444,8116.3772463461,7779.21155564774,11481.8494583954,6223.30991388244,5621.81275781994,8444.48360108286,5614.15797111525,8922.66268855273,8346.86110697767,10069.2719997584,11336.4603701749,8632.05773165915,0.679755820649769,0.215256063784861
"E9Q9R9","Dlg5","",0.00233450134240914,6,18,24,45609.3999663782,39974.1395043222,23016.3412833521,32791.4674115468,28579.1243199615,25911.4653919064,16899.404726698,31727.6252811962,34327.5843213281,36289.3287282345,28285.8100470534,29087.5334066795,25798.797400999,31073.8811270775,25753.6709637798,20926.5841936048,29753.2598796324,0.964936123161874,0.241318406660804
"E9QAM5","Helz2","Helicase with zinc finger domain 2",0.225169650880725,12,12,24,32935.5467659627,28770.8258718519,37479.7075099589,35454.6708374868,28347.7760222202,33503.3586456315,29856.1293753709,26272.0679967231,39593.7807978939,35792.3985930176,36802.483354204,33548.362794735,33976.0832015665,35972.8432978204,39051.6686992524,24735.3016568582,33255.8128387846,0.446793443692556,0.134641508638454
"E9QAT4-2","Sec16a","",0.00212227394764467,6,18,24,14598.0557871948,14212.0740600304,14362.7302647466,12402.7405494423,10913.624057324,13035.1911012746,9870.94874693408,10943.3690904798,14478.9832678532,14423.2793731139,12084.8801751826,13631.914713667,13117.0711789832,12132.3099030565,14176.2216230463,12038.6048843979,12901.3749235454,0.366403353772286,0.11493301879651
"F6ZDS4","Tpr","Nucleoprotein TPR",0.405384774669838,6,12,24,324919.913174395,319827.059606512,263004.118207588,282535.251646537,289592.595610769,255730.921281301,296242.475711292,262112.872288216,226438.469092729,307990.272361828,289045.75695236,275976.921327913,277868.545242043,269144.43514864,274826.395783618,295525.882275615,281923.86785696,0.349319285487502,0.0880610880609525
"F8VPU2","Farp1","FERM, RhoGEF and pleckstrin domain-containing protein 1",0.225169650880725,24,12,24,68716.1008703353,46306.8159211409,38254.5830338138,33571.040225734,56098.1349143447,52814.7940487234,55964.1927362215,84514.1226906554,82161.9190653859,57644.7902488615,61542.0287798523,75126.9966442092,78626.1789844678,78656.4719954113,83441.49459246,68196.4107335248,63852.2547178214,0.797827464199209,0.253209284263141
"F8VPZ5","Ercc6","",0.00803665773787854,12,6,24,7156.83467288852,5063.78387953426,6329.21084965449,5044.50345910707,5051.29961732338,4186.42554454389,4298.33388804934,4747.49632607006,5643.81897175651,5269.18822965857,6158.19090746536,5624.61610736265,4416.38969499785,4807.1722965748,5588.90831565012,4894.58197104024,5267.54717072982,0.563907456747669,0.150716734703889
"F8VQB6","Myo10","Unconventional myosin-X",0.764532693263432,6,12,24,80682.1590216951,73173.2747290239,82376.8426110079,73062.873629943,83312.313283016,73455.0114026457,64481.8526032984,71754.2737923468,74214.3230758368,87821.0867290727,85097.8722715149,74029.778620965,70270.1955871817,83515.3178839996,88583.9396586161,84979.9158495115,78175.6894218547,0.308306677351537,0.0917675023724379
"G3X9G7-2","Zfp809","Zinc finger protein 809",0.114262076323085,24,6,24,26744.4270439641,24568.7332883099,27252.5857471113,25463.9593041227,29578.1815465639,25541.2168099302,28473.4598571139,29659.8606684003,29042.9419599809,26576.8634056729,31409.6555096199,30610.4330265022,29996.3692599466,34104.5707289038,39109.1480442882,33425.2524115452,29472.3536632485,0.493357772579593,0.127804845426119
"G3X9J0","Sipa1l3","",0.598406602758181,12,6,24,10157.2348863803,10078.5872953328,5806.84970779012,11606.2154240138,8161.93912708563,7732.92042866158,7031.56701729041,8087.07011707069,12148.4804428406,9475.50996115994,10456.3793223613,11441.7328242961,7616.08240928569,12074.3323238473,12641.0189058087,8192.6777288089,9544.28737012712,0.716048137801152,0.218549795708599
"G3X9K3","Arfgef1","Brefeldin A-inhibited guanine nucleotide-exchange protein 1",0.0317394656453015,12,12,24,7337.57357360041,6627.51006150882,6632.84191068522,7923.22073054589,5881.95617565952,7713.52605724174,6609.21256269908,2866.25407264792,7215.86432083561,6350.67413505497,6435.63145107474,6905.56054112267,5892.91922080838,5280.63994095719,5523.86589889906,5897.41888174979,6318.41684594319,0.800353439983127,0.188060166248736
