"Leading.razor.protein","Gene.names","Protein.names","pVal","phase","peak.shape","period","t1.1T","t1.2T","t2.1T","t2.2T","t3.1T","t3.2T","t4.1T","t4.2T","t5.1T","t5.2T","t6.1T","t6.2T","t7.1T","t7.2T","t8.1T","t8.2T","Av_expr","Amplitude","CV"
"A2AKB9","Dcaf10","DDB1- and CUL4-associated factor 10",0.0700731211262206,12,6,24,84673.877929916,69828.6719570003,75270.0645619781,73495.507820959,59161.7663231257,59227.233651908,76012.602091346,53616.3544820036,64696.3501571243,65529.9115784963,68993.0051178633,67445.2296856735,69035.6092120987,63102.9118292656,63814.1739045109,65367.8691609951,67454.4462165165,0.460422184005831,0.11183548672673
"A2AL36","Cntrl","Centriolin",0.0120320043860253,6,18,24,10364.6420191873,12730.9402175832,12224.1060183897,10134.5866861796,10352.9488912138,8803.03831032268,9520.14815545117,8899.58721675915,9429.05960892279,10924.8071738067,8262.72532928391,9794.4877370572,7060.09312197362,7415.39924132968,4974.47428540839,5773.84938108285,9166.55583712198,0.846170150490252,0.230769337501299
"A2ALU4","Shroom2","Protein Shroom2",0.0181643155438042,6,12,24,387445.264092336,355362.773025633,309196.666175523,347966.222776025,314120.107916842,355180.158540102,316248.164299103,350528.456291125,414638.61903331,411170.705758682,369631.458726356,361485.479391406,301178.207946716,366262.038131791,321379.522373871,320510.326227478,350144.010669144,0.324039274211103,0.0998293180901858
"A2AN08","Ubr4","E3 ubiquitin-protein ligase UBR4",0.0132352048246278,6,18,24,3224318.23145617,2883264.85045784,2859332.94484605,3038919.69490691,2808231.35313491,2849725.42359923,2714112.94148649,2672445.21413766,3384567.83274106,3182216.88649285,3025028.88301724,3171542.02041825,3229039.28402169,2948166.01574619,2866704.88780744,2910965.90052792,2985536.39779987,0.238524179148573,0.0682215669498993
"A2APB8","Tpx2","Targeting protein for Xklp2",0.00526515992935006,6,18,24,474529.815741976,415375.339901541,266845.667447854,302913.984584108,212551.361117091,194660.135590938,151305.18565757,150844.188711041,169770.534843925,203258.395060098,172306.080772582,185722.319230112,113443.303701246,124647.974701526,79120.3184418141,110821.015777908,208007.226330083,1.9009411561149,0.524278193595531
"A2AR02","Ppig","Peptidyl-prolyl cis-trans isomerase G",0.00337964539945785,6,18,24,417732.196000532,364796.874715738,345071.921250679,377701.137100137,323690.579050534,373004.171049935,337091.244635835,330988.678006158,411112.138925917,410921.268113098,401745.98631986,418949.038426849,286088.285629745,358524.275908862,324479.57504947,290970.570980162,360804.246322719,0.368235003194135,0.121129872858191
"A2AVA0","Svep1","Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1",0.313110600467639,24,12,24,163719.526322413,160793.796083238,154037.043274236,152090.719188868,147446.672173163,182978.036281911,184217.349415926,180223.134579103,223217.175112761,171649.090748099,233766.912777639,221813.790561258,230347.987050321,250323.594830913,282406.207097588,254894.326335609,199620.335114565,0.676081095881186,0.213192918220929
"A2BE28","Las1l","Ribosomal biogenesis protein LAS1L",0.840985962589775,6,6,24,103004.7130558,85851.6742776066,86105.9326418002,68061.5682091228,82664.4479955071,92140.4015120909,76988.2110154917,89447.9241739341,92514.6097218899,110936.155047129,107938.971094986,94816.5652084999,107306.816012782,108369.12170552,108738.265267779,108702.473217557,95224.2406348435,0.45024866097297,0.138302028320268
"A2BH40","Arid1a","AT-rich interactive domain-containing protein 1A",0.0363286310876085,24,6,24,28117.8409968628,31126.4765944751,27020.397288676,32992.4667161812,32763.835899463,27647.7632125533,38100.3788204729,33367.6826303334,32141.4360890162,33007.4241594971,33307.9879778748,36986.2623782121,44658.1460103691,39414.8203066894,40179.0705896042,45420.2211961892,34765.7631791544,0.529251258276585,0.160606722424823
"A2CG49","Kalrn","Kalirin",0.688143914051891,24,12,24,8848.02638302154,8383.65317585207,10077.1803428581,6418.71478303165,7100.3845401747,8548.90516757995,9405.53753297662,8089.21498845214,8103.06992740159,10251.283923115,7495.07958794991,8481.37124009542,8803.87274664909,9514.43594759303,9848.38996929094,9958.55134748909,8707.97947522068,0.440121517395541,0.127579885588634
"A2RSJ4","Uhrf1bp1l","UHRF1-binding protein 1-like",0.121239483765108,6,18,24,52303.2382736489,59042.6873547119,59574.3260185225,59602.4583009097,61868.6944982153,66223.9203344724,51073.7786302876,50638.6937987836,58490.7607280601,64773.4851570244,50955.2799843592,50961.6116508509,49248.6300554847,56596.6239535264,47808.6973359386,48124.9651702577,55455.4907028159,0.332072131454401,0.108692441279265
"A2RSY6","Trmt1l","TRMT1-like protein",0.153143826368685,6,18,24,609828.402043084,578811.538022749,541377.452077756,524801.618906103,518795.2707199,602113.642471792,572343.422492218,523743.563009739,613576.657373774,730964.434081744,631050.072499199,590094.311037003,576982.709772138,648618.293233278,512351.822708628,589123.247288012,585286.02860857,0.373514146395797,0.097096906780204
"A3KFM7","Chd6","Chromodomain-helicase-DNA-binding protein 6",0.227818798997826,18,6,24,7037.16378264655,5037.69044964343,5398.06721054495,8127.39567475164,6467.30609209327,8649.2208818205,5271.96419232826,5159.90893726189,6598.54895205089,6666.47592487737,6580.39130961895,7619.54991069098,7583.68515240288,7217.87430919678,6493.85505661767,7223.75796836267,6695.80348780679,0.539372226014958,0.159511182001595
"A6H8H2","Dennd4c","DENN domain-containing protein 4C",0.000934496862655972,6,18,24,547509.561846787,499214.635794584,457642.193783595,524158.178288247,487065.522988193,517205.251588589,422944.556189358,419342.174770142,564113.29193209,511030.123429694,527623.718926263,487347.110678588,429448.547132989,515931.01558796,389756.14450084,388067.735866582,480524.985206531,0.366360879215974,0.115921790620325
"B1AXD8","Akirin2;Akirin1","Akirin-2;Akirin-1",0.000140037868969505,6,18,24,256854.293064389,234548.976411904,193759.130317314,192611.880119436,205206.570473347,159407.521678237,173310.922938687,157859.818647313,213476.918919574,195701.41217782,182087.357942548,193142.278269369,138191.208264504,149293.699188108,134171.917457048,121379.761842922,181312.729232032,0.747187093786975,0.204236368872048
"B1AY10","Nfx1","Transcriptional repressor NF-X1",0.000140037868969505,6,18,24,298132.906600195,275154.112544984,278148.189048608,273365.592384232,218186.029466515,240826.263248726,190972.90518387,199149.045244647,266645.627373893,261630.756850162,231981.953339203,281847.658150182,211780.977324607,260158.865520786,184144.661713107,197076.494161591,241825.127384707,0.471366421346902,0.154127122955566
"B1AZI6","Thoc2","THO complex subunit 2",0.103202756653666,6,18,24,1003225.16394845,986946.946218014,883871.779569652,903278.732875618,715349.468890023,954252.144959692,731380.780818035,706327.866126476,1004033.96500127,1111395.01858368,1240335.8521792,1153463.82980478,1018058.38151252,914712.171668929,993574.143078284,874384.332134228,949661.911085553,0.562313787484961,0.15880403182387
"B2RQC6","Cad","CAD protein;Glutamine-dependent carbamoyl-phosphate synthase;Aspartate carbamoyltransferase;Dihydroorotase",0.0120320043860253,6,18,24,982909.685713127,855545.6298607,936805.465365234,884217.516755506,819549.768806394,827723.850991654,849793.215591413,683982.921877826,873804.256757916,813090.998747633,749073.964554165,783330.801160872,700050.616727731,686421.394146926,625352.786456551,683347.272524495,797187.509127384,0.448522957475794,0.127433249146836
"B2RR83","Ythdc2","Probable ATP-dependent RNA helicase YTHDC2",0.019457651088918,6,18,24,77244.6463149131,80849.8291244488,74027.8688872725,72798.2681327175,70548.9834897613,72101.8360139691,71543.2855808427,57276.2109657863,42134.0278408719,82529.1183307807,63963.0280356617,76422.7419996075,68128.922346072,58651.7237793346,62834.8065378654,49908.3924017935,67560.2306113562,0.597912264720997,0.165111409028401
"B2RRE7","Otud4","OTU domain-containing protein 4",0.00803665773787854,6,18,24,344135.606964278,331846.511598047,290656.93346431,319518.843495772,260883.253447859,261566.53716796,273887.530689905,236378.401370604,199413.486202137,328836.415080187,266001.851659524,298661.327874711,251725.59516271,270249.065632255,206858.078688316,239130.785299485,273734.388987379,0.528695430988811,0.157361039207103
"B2RUR8","Otud7b","OTU domain-containing protein 7B",0.093820687866969,6,18,24,63441.5951777808,61818.3206766584,44403.08686384,51024.1218070248,48249.0428041346,49911.1640596734,39961.4014687975,41929.6109810937,46649.3317268359,32206.8936672464,48267.5212178671,52296.7079595869,34897.0815830915,43771.162003812,42354.0083329949,45798.5660156469,46686.2260216303,0.669034620533752,0.177072560138722
"B2RVL6","Zcchc24","Zinc finger CCHC domain-containing protein 24",0.0770804332388426,6,18,24,27452.143657043,22792.3898788775,19200.9541229105,20928.3987869082,24644.6723431937,22379.0147077824,17373.1535212264,20494.2913001614,24838.6274011484,24129.607572619,24206.5685404156,24946.2887092553,26581.0220781257,23987.9129742035,20443.9912558564,18557.04480401,22684.7551033586,0.444306764163584,0.128774429270844
"B2RWS6","Ep300","Histone acetyltransferase p300",0.718028074820449,12,12,24,196535.256531319,160388.386001117,161543.925053647,201907.481511095,160326.711734371,186197.267867605,161734.938965005,197369.888008873,171127.830715291,191836.1376559,194020.991647916,183656.216923337,190274.391042056,195104.057777303,182124.424080628,152351.058846439,180406.185272619,0.274693589855411,0.0912855687543053
"B2RX14","Zcchc11","Terminal uridylyltransferase 4",0.434973443761697,6,6,24,27535.4426643519,24354.0153186151,22862.6390643879,25456.9542168329,22443.0272213531,26902.8354378886,25049.5763970001,23035.1493790547,32386.2482137798,31278.8358382624,24541.8369381609,25697.7678384224,26367.6583257258,25990.3363009444,26677.7875705216,23333.8985613731,25869.6255804172,0.384358906220643,0.107803565492747
"B2RXC1","Trappc11","Trafficking protein particle complex subunit 11",0.334134238530145,6,18,24,258173.474141935,250963.844555472,261775.255131254,251208.314484371,226376.425604923,275765.139765139,277368.532799004,207419.108185907,338690.382788008,295465.236355799,291606.370529035,269762.572690125,242872.744744881,272437.981913537,253359.978072818,244824.899625563,263629.391336736,0.497938693165009,0.114497062455894
"B2RXS4","Plxnb2","Plexin-B2",0.0141649153133853,24,6,24,236593.944115587,280076.483302356,214046.816986747,236347.815709023,229228.790720788,248457.279631004,259309.706606947,259894.33679244,185726.846951361,192010.504764029,244042.199609417,197372.505753169,241729.786975123,268985.402744384,269479.001558075,296538.834827631,241240.016065505,0.459343311626131,0.132072568939442
"B2RY04","Dock5","Dedicator of cytokinesis protein 5",0.0638099276536186,12,12,24,499173.279122985,528004.091933117,430205.593023108,487528.390047727,465737.713433012,441385.130029865,424837.684744955,400272.898005434,420485.166569101,421440.484266195,440824.680537848,440218.583218956,429585.77187763,413923.619869987,387801.040041972,422547.771982135,440873.243669002,0.318012158606764,0.0840675116551337
"B2RY56","Rbm25","RNA-binding protein 25",0.0700731211262206,6,18,24,181958.916304545,146997.337289986,142185.998451794,139942.590212118,137848.104243482,149401.196375598,124492.77095658,97510.6495483209,182334.876722879,198271.514491038,198297.608751434,153266.734182129,170469.129797046,159332.512252437,173608.193563259,125018.91338945,155058.565408256,0.649992852299063,0.180449802574758
"C0HKG6","","",0.00143217958886267,24,6,24,35823.9516097946,45210.6265088119,42774.4973948152,47873.7005499069,42596.3636880505,45134.5477296809,52761.9520336424,54485.1631428422,32601.6505514592,32804.4830224934,46478.1866457303,44558.7506757897,50790.6085850989,44920.2069426702,58817.8070475108,50604.9832305933,45514.8424599307,0.575991370707944,0.161446232554677
"D0QMC3","Ifi205a;Mndal","Interferon-activable protein 205-A;Myeloid cell nuclear differentiation antigen-like protein",0.807732893034616,24,12,24,261030.784723555,217324.990810958,250935.852655071,331757.197996815,238626.448548382,304179.816613062,265218.935726194,293761.403400951,368871.062776172,340583.284686459,283111.953336799,288948.555405621,335986.933374673,317421.992847824,368094.700380742,317575.600173115,298964.344591025,0.506903497714836,0.149904327960254
"D2EAC2","Zbed6","Zinc finger BED domain-containing protein 6",0.914358260607107,6,6,24,89384.5185907517,63430.2533647025,77402.0225091491,58315.0166582144,64684.7679192614,71347.0438607375,68386.5780235008,61683.6049014989,78099.6689079412,79469.5024395304,78707.7041662905,61723.3883625194,78911.8638860707,77220.9776989774,69300.9303315272,86692.0377271311,72797.4924592378,0.426793573280486,0.127741581051708
"D3YXK2","Safb;Safb2","Scaffold attachment factor B1;Scaffold attachment factor B2",0.0144384052632304,6,18,24,8044.72992970255,4446.93961953029,5602.08112147777,6993.03853962869,5353.70038953638,5002.82826560493,3249.29203412919,4262.77349404384,7819.39709031727,5361.86918971514,5711.64193514927,4354.48432294316,5453.32007859381,4868.97047408447,5042.24949207256,3352.14501769119,5307.46631213878,0.903526770317062,0.257766531392787
"D3YYU8","Obsl1","Obscurin-like protein 1",0.0609999226870105,6,18,24,10656.4238526987,7128.03954081299,7810.51284044108,8403.02250931301,8441.01595647458,9542.4487207041,8329.86519783003,6816.83565456376,8631.53416353631,8711.8022072482,7559.48916495788,7928.24218653586,6912.56015923287,7304.50637565933,5456.79657892831,6172.68333283418,7862.8611526107,0.661289468661667,0.162122068218633
"D3Z7P3-2","Gls","Glutaminase kidney isoform, mitochondrial",0.019457651088918,24,18,24,44400.3654104692,45192.4937863454,39908.1145241321,41797.0208289436,34201.365240391,36262.4587693893,47496.3343578681,46864.0821710484,41796.3023436636,41008.4643015752,45756.2895850531,44182.0805143367,45509.9647948737,39629.1558713443,46372.722119605,42178.2573303768,42659.7169968385,0.311651601403319,0.0893651291822669
"E1U8D0","Soga1;Soga3;Mtcl1","Protein SOGA1;N-terminal form;C-terminal 80 kDa form;Protein SOGA3;Microtubule cross-linking factor 1",0.00253976190393225,6,18,24,449913.917004226,435440.413529922,430189.115943989,446151.394252678,425976.514578667,455309.619937882,362586.819372627,361651.822625933,444834.739677836,477620.249624339,450435.898163085,467584.512417112,370150.767951817,413846.157239445,372859.939766124,409108.269784317,423353.759491875,0.273927948903999,0.089874140006772
"E9PVA8","Gcn1l1","",7.38174692776199e-05,6,18,24,1545419.67990784,1429183.15031916,1388401.57734573,1492094.14705191,1302534.23217721,1464730.14115488,1295816.07035951,1187714.38239417,1494168.79247417,1582439.91295768,1449242.77970933,1402330.78038778,1162897.24509336,1299591.31671408,1149647.50613119,1176766.83410255,1363936.15926753,0.317311337400799,0.104169844185287
"E9PVX6","Mki67","",0.0559165957964263,6,18,24,938595.487825688,923281.40972277,661151.478445971,838798.585594261,689906.739476147,577486.301818594,531162.369871549,576714.193554755,495468.175260354,591105.952823399,492588.123806077,495912.944663123,421400.828543618,431580.323885569,291063.856971936,377948.355739614,583385.320500214,1.10995530415221,0.321528264137705
"E9PYK3","Parp4","",0.807305345735438,12,12,24,244026.425221055,254600.008236912,256621.702743677,212889.926602362,238790.346524983,254959.159053077,222181.34035124,210622.116115532,275067.002805199,292225.875572317,306448.060493905,297032.340211769,272388.063826871,316177.050891625,277746.749875263,293978.486674567,264109.665950022,0.399663277738829,0.124283500448101
"E9PZJ8","Ascc3","Activating signal cointegrator 1 complex subunit 3",1.42390789949773e-06,6,18,24,1432519.27112756,1251268.19443921,1201038.1950907,1139919.17443103,1104542.41461233,1165901.91710727,1060122.49849887,950417.306365631,1291314.94150314,1321824.38188771,1181801.79439696,1131982.81795262,1048283.93136745,1139592.587633,982376.864142436,948714.361974012,1146976.29078312,0.421808988591404,0.117568416795547
"E9Q1P8","Irf2bp2","Interferon regulatory factor 2-binding protein 2",0.435893574955956,12,18,24,304957.845040034,301270.982296563,340583.866768617,311440.576833213,331783.626995147,335015.780417037,333508.698261872,345851.098164238,318722.712511982,334033.414099655,343418.415825987,334515.895831372,296117.909135963,366072.440941132,323559.502165072,312862.703053777,327107.216771354,0.213858112014896,0.0568940207452236
"E9Q394","Akap13","",0.0157387947926503,6,18,24,50661.7637676361,44564.1507267285,46621.0526484313,46155.6608615678,44831.4998304945,45617.0746748208,39782.703473278,39668.445940359,48323.9279050151,56369.7873310193,49362.4840270027,51305.3032318153,43034.6398383502,52460.3105125263,41175.1775549795,46151.8498296324,46630.3645096035,0.35816450431608,0.0997174141215315
"E9Q3L2","Pi4ka","",0.403066063849701,6,6,24,84948.1797457516,75959.0800660126,87639.1940324674,71820.5447493938,79456.9285718834,81768.9270096171,85405.8199157178,74971.8523672213,87659.093253129,87668.1787478346,73911.8918486985,81571.1583946203,81330.8590666539,82704.6824396031,88845.5210990072,81459.7718477675,81695.1051972112,0.208396528880344,0.0651163698723373
"E9Q555","Rnf213","E3 ubiquitin-protein ligase RNF213",0.764532693263432,6,18,24,7428644.68979408,6301586.09510371,7332379.58755119,7145618.49411387,6189411.84964318,8144520.32675736,6681310.35960863,6637480.8580408,10502881.9831151,9820702.07963518,8739412.46716681,7990990.25067995,8483343.98441129,9197756.94649669,8464977.18372554,8440616.26249781,7968852.08864632,0.54129127827803,0.156971161999268
"E9Q5C9","Nolc1","",0.114262076323085,6,18,24,1301233.80555119,936736.442619824,758789.240802596,1236093.4188497,1105445.02418347,891525.732002217,862362.180522788,1072934.16969183,1514188.48429042,1328749.44913324,1318379.01158094,1128263.44383602,1166030.94339548,1117097.09586991,1135437.90615164,1063878.85561766,1121071.57525618,0.673818924822176,0.174685076811665
"E9Q634","Myo1e;Myo1f","Unconventional myosin-Ie;Unconventional myosin-If",0.421140086485005,18,12,24,49120.4183885148,52435.7424540492,58169.7493579881,61101.5469809199,70810.4097678239,67895.0965372915,63597.073530775,62560.7396453373,31646.7133140324,42232.4562847242,43256.9469025138,47065.1582442346,35268.6137613503,43967.8273013273,43590.3184560462,49795.0377153872,51407.1155401447,0.761834155491721,0.22499827432039
"E9Q6J5","Bod1l","",0.486836658958414,18,12,24,511195.721536488,453676.072366043,486872.909479683,525758.327027557,515043.357863227,588421.717827956,505723.66490074,451570.089038538,471606.661609797,593851.951324559,616116.124280198,578010.555001044,597461.484898957,589439.80446327,584812.301879914,623126.281329482,543292.939051716,0.315771069269527,0.108971709615207
"E9Q7D5","Arhgef5","",0.00212227394764467,6,18,24,22070.0910352243,18179.823318769,19897.0038033736,19337.6835651478,16006.9788147974,20319.8674801379,17363.7955203468,13711.0676806639,25417.0820576125,23816.0942015634,17358.6282938157,20087.6867678782,11006.0899184673,18722.6509414056,6757.03986821241,15640.1599640693,17855.7339519678,1.04504481527311,0.260616774271298
"E9Q7E2","Arid2","",0.832430111218511,18,18,24,889111.798813423,828034.97291758,736390.601317389,771198.045529969,816247.044470208,851151.332106107,808348.309656051,825262.332691063,994343.657776985,1011124.20562982,1080912.44770103,1027202.130492,1097100.90342652,1107065.06436756,1104476.90905049,1025833.23445284,935862.68689994,0.396077830902775,0.140947109962588
"E9Q7F2","Rnf169","E3 ubiquitin-protein ligase RNF169",0.00631819191522008,6,18,24,134956.941596662,162325.458304754,109755.333367271,118715.681305502,115004.148350906,118824.799482221,113805.983728708,107328.639920308,140522.40832289,135033.350288486,137276.477683335,134675.978950002,120932.305961479,122344.153926359,114203.391309689,133116.880947202,126176.370840361,0.435872564872137,0.114113387763231
"E9Q7G0","Numa1","",0.769244719120214,6,18,24,4580064.1444377,3907817.40459068,3915659.87188581,4018910.57828578,3715614.04760203,4194119.32512471,3563204.18257043,3766052.20354434,4915339.47833579,4889990.79081485,5368009.51821834,4866202.25895257,5115302.26263111,4611919.76079605,5425544.25230468,4743530.75226711,4474830.05202262,0.416181184108315,0.136106004579195
"E9Q7X6-2","Heg1","Protein HEG homolog 1",0.00579167592228507,24,6,24,51748.3597638378,62638.715802887,55819.0613299835,64620.5292306434,58274.7360651453,64060.779149732,59493.3661503806,69480.2576235039,40660.1187439732,41203.6040109648,56995.1520586912,50045.2839333774,60255.4071884919,55620.0790279331,75989.0050697923,72063.0352846108,58685.4681521218,0.602003995848532,0.167634481289022
"E9Q9R9","Dlg5","",4.11248911997617e-05,6,18,24,124365.843707457,106348.748962214,81625.6890499161,93751.6050303772,88413.5927778195,81957.8549381035,61283.9549091062,82434.3757584121,107987.805453755,110235.420416919,97391.0468555095,91488.9280598142,89528.6740380811,94105.1567382098,71834.9627199575,69017.5330406453,90735.6995285186,0.695226786437282,0.181095273711484
"E9QAM5","Helz2","Helicase with zinc finger domain 2",0.0227747965169304,12,12,24,318602.69081206,254286.820738993,369926.475667643,298069.182153458,235275.230222965,278085.066051595,265180.607743868,266747.119405346,349961.056735236,314009.718684191,332111.738779982,323648.83759387,279692.259916698,306709.474582187,288728.935051529,266408.891413848,296715.256597092,0.453806275379767,0.123493223659141
"E9QAT4-2","Sec16a","",0.513850436357357,6,12,24,76036.9563757483,75721.8067586155,73584.6228810288,75002.0685940783,60637.7486508717,79270.3133571705,69789.5315064303,62437.4774165808,79277.9257055041,78207.7515467288,74275.5035038986,82676.8847320997,75458.3381186977,65540.4535449482,82782.3577663334,82924.4572051912,74601.5123539954,0.298743388050442,0.0923287202123459
"F6ZDS4","Tpr","Nucleoprotein TPR",0.688143914051891,24,18,24,1603049.14679814,1551290.34075858,1444817.83845938,1461703.40711561,1447715.30299613,1529608.74416496,1455460.46677164,1610537.03723996,1451141.85945559,1560091.11126179,1678618.46590281,1657320.84566405,1572981.99542016,1573189.5188165,1717549.02167412,1657010.17784103,1560755.33002128,0.174743073413705,0.0577426563055888
"F8VPU2","Farp1","FERM, RhoGEF and pleckstrin domain-containing protein 1",0.170611644309342,24,12,24,380616.202161148,339338.023772008,311055.293278151,282502.421137439,338507.766619805,363992.802080063,376829.385607584,352570.916851674,451779.832918078,430423.110432594,404380.929613652,374153.82751794,429111.921090092,415062.922283179,456854.849526227,448195.930928551,384711.008488637,0.453203637384184,0.135599353796488
"F8VPZ5","Ercc6","",0.0454499664227676,6,18,24,40517.8966127219,36917.6701149066,40424.1867045003,35283.130259935,31230.8494952396,32643.4857817328,34766.5910071253,30798.1810159032,39413.2598355936,34654.5655764397,39842.9159416435,36168.5779289026,31814.4335039392,38945.1732606075,36840.5290525848,31726.8164015757,35749.2664058345,0.271885735681345,0.0959104669723004
"F8VQB6","Myo10","Unconventional myosin-X",0.121239483765108,24,12,24,223951.96953715,225904.532672139,218331.234895567,191794.059528647,233090.839415584,218675.132405126,224310.783317347,225112.034560277,222175.708022567,247945.804586455,221795.215409071,233031.293854148,235310.330518715,246801.19422782,241850.09217274,242244.816054655,228270.315073626,0.245987942145246,0.0604485084850754
"G3X9G7-2","Zfp809","Zinc finger protein 809",0.156394007283563,18,12,24,63192.5049259008,57032.9404262136,61424.2869322093,59871.0800481813,71611.7087765051,72856.7953600578,68704.1527342012,71200.6797737687,79407.4614132397,66440.078133485,78073.3097796348,77126.0959763819,85588.7530907739,87044.6910789913,90657.0280362416,75521.1961901133,72859.5476672437,0.461491852290826,0.136402846641762
"G3X9J0","Sipa1l3","",0.57470733818034,6,18,24,106282.765421848,114182.52732927,74328.8585844748,144252.680319766,144529.558351157,82661.2352877868,90505.6815120827,112526.92124009,111871.285971668,126818.34299171,111732.164458015,106577.093931795,89587.6872231774,114228.534531515,103217.374177088,93730.3422715393,107939.565850186,0.650370410643642,0.181883742157992
"G3X9K3","Arfgef1","Brefeldin A-inhibited guanine nucleotide-exchange protein 1",0.0176887737171982,6,18,24,101646.750990321,86292.078302781,101482.959194557,79946.7262090152,82740.201280077,97053.0292313078,79773.3486948241,77009.1181759857,111828.901888097,104811.971958569,103734.800498862,103554.692556296,94718.1255496732,95688.4126739133,96660.8968866679,93592.0951736824,94408.3818290394,0.368820893203796,0.110327210176124
"G5E870","Trip12","E3 ubiquitin-protein ligase TRIP12",0.114262076323085,6,18,24,361852.053084276,285383.953281379,293810.218758444,277475.710600048,251991.608109564,304538.361695043,253589.255244806,263385.590095479,362953.975275376,372073.695241618,342020.180162085,344757.424578869,324808.898015046,322114.929255216,339364.506912712,303218.728316333,312708.693039143,0.384006232653797,0.126337857730311
