"Leading.razor.protein","Gene.names","Protein.names","t1.1","t1.2","t2.1","t2.2","t3.1","t3.2","t4.1","t4.2","t5.1","t5.2","t6.1","t6.2","t7.1","t7.2","t8.1","t8.2"
"A2AI05","Ndor1","NADPH-dependent diflavin oxidoreductase 1",8146.29413309466,9074.15006218467,10183.1496537447,8715.30625075112,7816.99792401854,8566.00719451666,10796.0450821157,8997.05850847867,6620.51081963882,6887.82853218414,7116.43476264469,8987.74691260999,9455.86893610211,6668.05929880272,8544.17131543656,7974.6332965633
"A2AI08","Tprn","Taperin",313955.140143646,305250.250410884,310579.237406041,332588.558274813,334083.606237709,341878.783654675,299502.654604413,308945.402987143,293845.367693218,303683.674577031,281156.221404605,264835.356387402,267735.053258456,319507.039437527,269999.160058272,322632.059079836
"A2AIV2","Kiaa1429","Protein virilizer homolog",123727.520063166,102183.682001607,107860.893620141,109154.146549599,99989.6847086602,108972.842496071,109728.725366707,98063.1939595912,140562.917363012,121494.932275875,106080.880427735,103157.72791818,95168.49148938,97868.5742560915,80624.9711423306,84587.6433036312
"A2AIW0","Sdccag3","Serologically defined colon cancer antigen 3 homolog",36879.0076493141,29698.477606163,27759.1145683045,28573.6750167479,33362.9539210482,31088.0184872168,19129.8990234983,21942.2725876821,40941.6310908631,37289.8218511456,45568.1883777086,41864.2593857796,43545.695009017,31135.8907611411,45458.4661373366,41312.5747681075
"A2AJI0","Map7d1","MAP7 domain-containing protein 1",1195442.73605385,1229297.19688605,1153174.36252931,1205663.09121537,1134765.49128989,1061257.67856661,1054627.86094602,1075626.47532079,1120069.9138185,1243653.55278764,1129670.882963,1145635.51435108,1011281.18422564,1123841.15864139,935977.677221319,1060440.23916684
"A2AJT4","Pnisr","Arginine/serine-rich protein PNISR",7447.39547594629,4677.50374770908,4139.17055845092,5513.74357580783,4104.59262529192,4466.63179320104,4274.36276572811,5912.5560391214,5058.68371064432,5055.95053536517,5957.55702609729,4646.42275150484,6852.42900949429,4513.65665727541,6690.67648495364,4658.86419006368
"A2AKB9","Dcaf10","DDB1- and CUL4-associated factor 10",90169.7763376172,74061.6772133413,84053.9021577512,80221.8125984227,70051.9652989472,69217.3816088969,87401.3261660155,62383.0211824204,73211.3054609308,72180.7193137614,71746.3986808922,72833.7746878734,76904.7290352674,70513.0879891974,69933.5352335603,72391.7969979085
"A2AKG8","Focad","Focadhesin",696167.050173356,595516.069817966,606120.045217465,588702.409287611,644543.200423126,688857.53788742,607859.336950473,539543.722197621,845952.265687103,742205.518307084,670481.486204031,674406.550084275,658666.311568163,753574.1025053,648763.268399286,652262.944022781
"A2AKX3","Setx","Probable helicase senataxin",387558.321120038,368925.60803035,341717.932240076,372520.66438616,380868.898273267,374875.61244993,338742.952582065,301283.909095598,420657.44683465,385959.108637545,428981.32953195,425983.122736834,366717.099525804,395454.903649046,358193.812504618,316899.377545337
"A2AL36","Cntrl","Centriolin",15777.0757414269,17435.2330565127,17339.7363104361,16184.4002125691,15546.1210219839,14263.7924683388,13766.8095937101,12938.288156277,13629.4484878689,15377.5656784403,11586.2584716657,12906.3514755111,10638.2704104531,11436.4755391179,8215.42371349605,8913.51235215423
"A2ALK8","Ptpn3","Tyrosine-protein phosphatase non-receptor type 3",10974.6161330063,11834.5259256247,11879.0377191515,10776.127576427,8095.88041056029,11440.8463474974,11305.277568284,10770.2845289729,8355.69383597428,10585.9571737771,9174.2777116676,10246.2131074698,10720.547868267,10694.2095360937,8857.8797490947,11046.5753027325
"A2ALU4","Shroom2;Shroom4","Protein Shroom2;Protein Shroom4",1768967.46065574,1589786.74402349,1383728.74762817,1519445.05502626,1398590.01889265,1642963.34921428,1373366.00484611,1555467.03413026,1620409.02311093,1677016.80884634,1571653.71611743,1592659.87401856,1252218.13518823,1518939.82584555,1275809.91768224,1431565.52622598
"A2AM05","Cntln","Centlein",87992.0519089087,80731.4218797889,87159.0754590949,73832.0635812127,79542.1639569793,89497.631326947,80025.1667656665,80237.1966060001,81854.9446769556,81103.8996427127,82599.2858848877,85773.5699985657,88848.0083506539,91313.6149286047,76706.6716485365,83849.8741977602
"A2AM29","Mllt3","Protein AF-9",87206.0307322514,92009.5257614654,67082.5605110974,75152.8561422634,84300.4963117837,77116.0060998095,75286.7868238285,81803.6885709214,80714.0232750706,96744.6820568327,99055.9654734584,95335.0140316467,117967.327031071,96691.936047795,100790.481903037,100502.077453853
"A2AN08","Ubr4","E3 ubiquitin-protein ligase UBR4",12467098.8447674,11010567.8746114,11277146.6829465,11959665.1933296,11402131.9741675,11185786.8529881,11240559.3131206,10853178.3388373,14510739.7308042,11931405.3746335,11955702.5834272,12340396.6902052,12741670.6400085,11561068.8300945,11351921.3922618,11534333.2920965
"A2APB8","Tpx2","Targeting protein for Xklp2",1720958.66399217,1484689.41953189,980678.12803452,1054325.33231365,842842.116843189,717707.10341613,625506.622002463,668120.16067991,698167.572636134,772621.833562694,683215.520621015,692874.794723927,493623.662071763,506446.110818632,345598.283630904,419635.023021416
"A2APV2","Fmnl2","Formin-like protein 2",523562.668135658,580702.585720198,557518.992603402,537102.580475746,615374.786028635,619030.587288578,585699.353037753,662908.261364242,540894.5870548,548747.048656759,549831.323989053,564501.986852062,546246.081139197,573584.037583289,629908.499806933,622287.181646133
"A2APY7","Ndufaf5","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 5",93644.2946415546,91713.3529269008,100064.421737801,89547.3298240097,90442.3156118132,95366.5068829064,98531.1472395829,104733.237240426,139029.813744519,101457.62220948,120757.635017466,110521.83339121,113797.380381445,133793.850295854,151223.29572668,89222.9531770031
"A2AQ19","Rtf1","RNA polymerase-associated protein RTF1 homolog",281431.919910763,286693.727273094,320855.049121673,262986.399030284,254133.43183436,313515.758836695,272890.610439204,287896.384705665,234237.629129775,256059.859337564,276857.216012733,292396.045481132,253426.000487001,283576.355093767,267892.574361159,256871.7004885
"A2AQ25","Skt","Sickle tail protein",130720.569342814,116135.787387746,119966.350225848,123255.784401599,127723.846315222,141546.342562699,122183.763676477,113457.480798561,127319.764298644,140423.315247529,157490.290254542,144501.468501048,165128.701149526,164990.276108756,159194.054916334,160773.09255953
"A2AQH4","Bcorl1","BCL-6 corepressor-like protein 1",127318.051255776,112713.583482962,87242.8557496708,87200.3512116642,99012.5222940631,90693.7831315278,102683.310027398,82759.3710591204,108852.082352323,109459.697412874,126867.818349874,111072.827124874,116629.967880602,94261.520137343,97265.645526131,111165.296271785
"A2AR02","Ppig","Peptidyl-prolyl cis-trans isomerase G",909468.595563145,857554.816279121,833703.902016781,867825.573388918,785083.773779416,908860.659707502,856003.331366267,809530.239469325,893157.34314677,925212.247789933,919482.722052522,895364.293279702,627543.110845076,756460.618719541,770988.021808929,715095.281475191
"A2AR95-3","Ldlrad3","Low-density lipoprotein receptor class A domain-containing protein 3",15710.2667627361,19964.076088065,14861.7221146532,14758.2329444619,16228.1163225745,16669.3305420729,16317.0585394549,17311.9610465265,11317.867229268,12073.3925942132,14009.7141923461,11396.2269699667,14851.997725705,20565.7875694109,18721.3097505666,16008.9508362693
"A2ARP1","Ppip5k1","Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 1",4979.41311954749,4142.81606006167,4614.94186047117,3588.51399647225,4407.68071772398,4292.92944568767,5335.40658689528,4662.18976174883,6218.48344904308,4191.51935911453,3861.09103868035,4593.24443394519,5318.27253201223,4243.05169234826,4592.507111196,4716.45249824652
"A2ARV4","Lrp2","Low-density lipoprotein receptor-related protein 2",972847.294327743,1275655.12616468,969288.913374985,997605.736227975,1253578.47233942,1155420.65020681,1152135.27029081,1224240.36783466,1371410.46325966,1243232.18095155,1309524.84537132,1135687.93810085,1546878.53504166,1493437.67996433,1824521.13635864,1626274.95966874
"A2ARZ3","Fsip2","Fibrous sheath-interacting protein 2",13205.8328858692,32820.341986315,12938.7523439356,25306.3854697319,28631.1818030574,17696.4817168174,27491.3039847124,28355.2028393282,29382.8519285362,32683.2732278833,33077.9269059507,29838.7119976645,50969.9685254409,48071.8524054983,45151.771306475,39965.188008197
"A2ASQ1","Agrn","Agrin;Agrin N-terminal 110 kDa subunit;Agrin C-terminal 110 kDa subunit;Agrin C-terminal 90 kDa fragment;Agrin C-terminal 22 kDa fragment",82348.8374166264,89759.287898245,87419.6957933863,84814.417639121,85870.0932851772,96248.7754981209,82432.3876897979,89394.2154713837,118620.505037407,90988.6957180257,102166.519449627,102760.156686901,113558.851237691,101939.224398204,93400.5492192653,103743.291159638
"A2AT37","Upf2","",1225886.66224859,1136796.04674185,1187880.10928561,1131991.46664019,1150680.40402559,1218264.87091823,1071572.34452849,957187.832803232,1305169.44562532,1311818.98417274,1227817.7423441,1161880.40758865,1124597.81839159,1163644.71050125,1044382.92787492,1095103.19079744
"A2AUM9","Cep152","Centrosomal protein of 152 kDa",19206.1142845325,27770.426237121,24835.818733211,20769.4028771419,22017.3060955482,22886.8297569012,20802.9973187218,19619.147261956,15956.8327410675,21317.0774054359,18562.1016428616,18221.6509306398,19211.1933117184,20200.0154306331,15051.391990097,17278.5883898116
"A2AVA0","Svep1","Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1",232028.824376037,237715.749495717,237459.98880595,226842.970742512,220689.290239081,272958.3068102,282611.770278706,267143.757975178,322262.947946593,250486.886889208,322561.331363727,304809.733462929,322607.216234634,350588.182981009,405080.248171337,381211.445079409
"A2AWA9","Rabgap1;Rabgap1l","Rab GTPase-activating protein 1;Rab GTPase-activating protein 1-like",493627.618709014,488206.120286999,512241.180660931,513184.927789149,434565.258112935,481049.713964312,484635.48931959,488166.846426301,435641.162226295,402511.993817044,490825.490190574,472557.548998615,561992.670988132,460950.319001413,586040.217812231,504993.371551716
"A2AWL7","Mga","MAX gene-associated protein",76922.0749870617,79160.1292711654,68052.5294765145,70994.0677037666,75200.2245346306,78470.7102727221,58100.6188405973,62796.7739205358,74750.7018582612,77768.7297955975,86853.6975271169,90429.2487462303,95663.7737485404,89749.8560131193,89348.3901063824,85464.9417939729
"A2AWP8","Arhgef10l","Rho guanine nucleotide exchange factor 10-like protein",3983.48535443618,3675.92154595339,3959.67923971717,3420.58809344613,3524.88249200436,3383.40828171538,3517.17110107607,3584.87668188196,4471.72983936052,5830.97190711368,3842.61915075277,4383.76203029068,4202.40472931423,5235.33315209866,6023.18188737122,5013.97545612008
"A2BDX3","Mocs3","Adenylyltransferase and sulfurtransferase MOCS3;Molybdopterin-synthase adenylyltransferase;Molybdopterin-synthase sulfurtransferase",371318.66091298,383585.938114807,417857.380777176,359036.358722077,338260.344754487,393726.627063002,341589.803415948,318666.457630581,342286.164223071,334233.899940298,318588.849243301,343199.414139323,305521.865391256,345559.598853657,285774.556245627,267846.914196171
"A2BE28","Las1l","Ribosomal biogenesis protein LAS1L",634180.404505123,574510.186077002,568925.55985793,548998.037645897,561862.671349445,614784.500881969,568052.318449579,602050.366360497,765097.060873911,718290.196074798,765883.143161999,652368.547152085,786234.986589513,789734.829534006,804165.919935281,763638.821874175
"A2BH40","Arid1a;Arid1b","AT-rich interactive domain-containing protein 1A",674977.092921923,670750.613978832,657862.195909369,706026.223193888,709606.550462982,763776.187523974,735413.954435054,734110.733826122,723031.458285452,764583.95351768,849481.916780786,792580.821960965,929474.206815958,923646.3816037,906741.714430186,911624.116211462
"A2CG49","Arhgef25;Kalrn","Rho guanine nucleotide exchange factor 25;Kalirin",109717.835225922,111762.260572486,105233.214949579,96771.4155628452,105025.298400978,108493.441430703,112040.770040512,112124.781426454,114151.556200307,143387.64923501,105998.223393877,133750.454319995,102183.857902225,147319.733946003,123347.791528296,121450.049119821
"A2CG63","Arid4b","AT-rich interactive domain-containing protein 4B",223789.539367197,253119.890063938,225349.627341459,242090.835202502,228479.727926286,227002.499270835,166671.278612951,196419.458822195,243059.597578351,242277.962000799,305226.2108826,288876.059998132,289782.608264643,298717.234223588,290494.710927721,276785.577767843
"A2RSJ4","Uhrf1bp1l","UHRF1-binding protein 1-like",486036.561358281,561764.191068336,593305.10741688,543393.017440278,558456.104352068,486288.646420392,551656.047432532,504727.107646162,465635.083578565,505979.086037777,474894.13989958,476760.731783071,409170.650245516,480887.699599325,429612.828810493,443588.864839104
"A2RSQ0","Dennd5b","DENN domain-containing protein 5B",58912.6539627264,61118.5865031334,61251.0811085142,49677.1975129768,52374.5265505353,60183.7276432051,58090.4684648699,54773.6140263093,61039.9547276639,67064.5143449274,56384.0385134857,70324.6138420991,43154.1492038763,57988.4047562683,52676.1647752898,54713.8830950301
"A2RSY1","Kansl3","KAT8 regulatory NSL complex subunit 3",165345.90249136,185486.402106344,152330.066682053,163148.242677962,178677.588566709,185883.627326161,176330.217967474,168420.70382444,209369.176140977,214312.130105652,235088.918883399,194567.326370883,232889.30978151,231275.778257388,255465.171565911,242140.770945613
"A2RSY6","Trmt1l","TRMT1-like protein",1582732.57987607,1490844.9721213,1527304.84771143,1501309.34619727,1436930.56840007,1645119.34797575,1558862.01209543,1484917.97031488,1735674.76655271,1830595.46739215,1694162.72867058,1570113.8391462,1503809.68265185,1591126.35695061,1429686.96031849,1492203.19022063
"A2RT67","Dennd3","DENN domain-containing protein 3",129687.851498221,136918.111314574,150847.341128111,127230.672323945,134506.125226357,148214.24891722,122766.553430904,124310.069959571,185539.640639031,158805.623234707,148305.936967641,151305.062282099,119560.037452974,155783.539937025,133785.775870864,115605.08535533
"A2RTL5","Rsrc2","Arginine/serine-rich coiled-coil protein 2",406921.752492907,333283.065509045,388648.151337654,406153.672598149,369300.879103382,429822.758495894,374550.841687117,351808.327093022,411104.196587249,387139.03161824,440286.591405445,433553.392426216,324043.459302293,425621.8540519,371750.405350115,394038.76664661
"A3KFM7","Chd6","Chromodomain-helicase-DNA-binding protein 6",260691.004764415,234589.943651987,226646.432234747,253195.693371901,255124.439478786,255991.810297168,250189.361036397,241299.439385843,271110.785858711,321296.076169835,284808.029684761,274536.129358903,317190.814624495,329204.052599009,287221.061725257,278958.892650294
"A3KGB4","Tbc1d8b","TBC1 domain family member 8B",198391.970694301,239134.225930765,207647.329172281,234856.83750492,193076.250847207,201290.807878483,194982.390216478,188671.628083211,167363.557944344,146388.197262301,198330.701538786,220954.337687406,219881.923056283,173372.86265729,178976.222187045,163479.633257054
"A3KGF9","","Uncharacterized protein C15orf52 homolog",183671.086222413,162643.931473994,103143.877671468,129058.899433223,138535.463847344,114008.120921657,128586.146122302,115016.335273132,196017.320397006,166491.285937729,144764.092396073,148878.419515297,139670.028419842,141619.950827804,137145.191416096,105459.762085337
"A3KGS3","Ralgapa2;Ralgapa1","Ral GTPase-activating protein subunit alpha-2;Ral GTPase-activating protein subunit alpha-1",304098.107314651,346246.888317672,297509.299974204,309997.568338427,330529.055396072,346683.590845241,290088.642497961,331939.229913945,279375.630237624,352658.969138325,309626.251903895,354277.706373272,289626.798698725,369153.941779137,311388.03327006,338434.510419346
"A3KGV1","Odf2","Outer dense fiber protein 2",12409.880644812,12629.1587668939,12118.4478532971,9935.72820042291,10378.2712570197,9511.05244760446,8499.79281106645,8872.57215954927,10567.7070939302,9625.36442289033,10780.5856224608,8665.53346138651,7672.18423138356,8488.09591774823,7933.18631752938,8128.95399346504
"A3KGW5","Cercam","Probable inactive glycosyltransferase 25 family member 3",144901.565040958,128516.938004997,146477.642206826,131479.438252029,154929.817113095,161152.157000629,154997.871963416,171764.311711773,231374.922240693,182363.879126451,215792.326464508,175583.627529992,196811.237617935,185505.775939243,217862.241143713,170365.57805161
"A3KMP2","Ttc38","Tetratricopeptide repeat protein 38",194904.361441837,199405.399198429,201363.939942841,178322.008028881,190289.968983187,173710.183709502,182413.588604724,233480.451904463,140404.582927736,166775.678679738,230906.995407431,217391.041128036,194898.259765223,184969.689665807,285721.152670047,212731.410040261
"A6H5X4","Phf11","PHD finger protein 11",9976.88271982221,7802.18345898807,11644.1347525369,10406.1131941144,9220.07539852459,12325.3787527046,9623.61077406985,8009.49779968658,20682.3341115314,14784.5352016682,14248.9158117719,11443.3801579506,13160.403386613,14222.0367454052,12545.9326825098,13453.1078623592
"A6H5Z3","Exoc6b","Exocyst complex component 6B",413637.183381373,443569.946173743,458703.056271682,430215.770431132,465463.440894738,503262.979129552,440070.198776894,487975.292475772,437906.055125776,349970.434730865,336252.265550777,336344.999700112,325092.577765034,378227.462883982,319477.622929953,410127.163398501
"A6H611","Mipep","Mitochondrial intermediate peptidase",49778.1060688295,53391.1782388795,57629.0417423678,47358.7614925153,43570.8440844664,49930.5003533931,55017.8047268173,54590.029630929,56756.602267709,54503.6644069468,54412.117831035,53714.3794504508,48067.7201642296,53075.0080158099,53320.4142893179,52071.3083363524
"A6H619","Phrf1","PHD and RING finger domain-containing protein 1",6778.40286500239,6465.91469284987,7539.56333307379,8413.32832313165,6675.09611151191,5157.26187865271,5348.72071609616,8413.00396689695,5574.89456821815,5925.80358763254,9134.53516491433,6474.83127594076,3527.68644157927,6505.14600119405,5536.83863059172,5319.78234740642
"A6H687","Sac3d1","SAC3 domain-containing protein 1",120220.387240915,102547.19755673,115754.256348021,144166.168051195,110326.514461432,127850.413107133,81909.3137821831,90787.8439901124,127061.658869857,120317.771382962,113540.257917762,121187.709871737,94476.7246222474,99079.5599388983,83837.5318644357,91085.8401306126
"A6H6A9","Rabgap1l","Rab GTPase-activating protein 1-like",18519.0651928614,20147.8609040381,16554.0309587855,19325.2401111173,16037.3912177967,23049.6484986807,17907.7674213066,14976.2172584822,12881.9272597857,19313.2338692942,16809.8844759132,19826.7803779,14565.0510477982,24718.3213316959,16939.1532799574,15692.6642701837
"A6H8H2","Dennd4c","DENN domain-containing protein 4C",1564187.10708015,1568052.95078897,1511141.0976917,1588804.54450021,1627797.3277742,1634131.58178151,1512787.13658287,1494839.02284228,1645454.48587865,1430297.97233943,1439033.77052538,1456191.64965632,1349745.84381725,1520106.78603617,1278265.88099295,1275697.20093052
"A6PWY4","Wdr76","WD repeat-containing protein 76",401050.236372429,364052.832915669,393039.855841591,359859.917391473,339168.572994177,313654.720714705,314140.814633943,285067.761881961,242446.55912382,288618.634016158,248804.1090849,243819.966389433,214566.885548825,224511.792724524,165221.344771058,211296.293431316
"A8C756","Thada","Thyroid adenoma-associated protein homolog",281651.080445589,271655.579751388,307779.756114299,264782.291982876,235272.743954431,270464.480926752,259944.926694923,246754.78963616,266473.302194831,213447.392030759,244982.66730061,259940.506191796,240802.287673835,221816.559683248,248693.337677169,219927.852628156
