"Leading.razor.protein","Gene.names","Protein.names","pVal","phase","peak.shape","period","S1T","S2T","S3T","S4T","S5T","S6T","S7T","S8T","Av_expr","Amplitude","CV"
"A2ARV4","Lrp2","Low-density lipoprotein receptor-related protein 2",0.917960088691796,6,12,24,27374.9989233015,23696.1962957958,23462.772510033,26596.1619418915,21873.5413674919,21349.6897889771,18718.1684188106,17697.1924777743,22596.0902155095,0.428295618986534,0.151388904445639
"A2AWA9","Rabgap1","Rab GTPase-activating protein 1",0.00317348377997179,18,12,24,91739.3043312896,92269.718297183,101846.183064552,96760.1104849459,89745.4828017469,100916.767277195,107021.134589025,93650.6264623261,96743.6659135329,0.17857139921407,0.0621029873101489
"A2RSJ4","Uhrf1bp1l","UHRF1-binding protein 1-like",0.254573170731707,24,12,24,52431.8793924202,67740.8853662359,66326.4633111829,68946.3979036992,67986.7338403432,65366.6551982679,65373.8454743417,72317.8099668425,65811.3338066667,0.302165742953045,0.0890249067579175
"A2RTL5","Rsrc2","Arginine/serine-rich coiled-coil protein 2",0.0193935119887165,6,12,24,87416.975405378,69270.2627967269,63575.4136544578,67029.4915506789,69379.6638819174,68105.8121563211,51980.1755426577,60822.111849854,67197.488354749,0.527353041465514,0.149247157150499
"A3KGB4","Tbc1d8b","TBC1 domain family member 8B",0.473946784922395,18,12,24,8057.84325683407,8789.29097904826,9575.60833727047,7099.25072614474,8286.79881867247,9147.87095132508,9122.50612199677,9608.09057835555,8710.90747120593,0.2880113077201,0.0982080603664302
"A6H687","Sac3d1","SAC3 domain-containing protein 1",0.764966740576497,12,6,24,3800.23858913152,4656.96944512686,3667.13795016912,2255.82717069765,3734.00203954777,4488.07419963292,3264.08921219098,4856.5586047494,3840.36215140578,0.677209943103867,0.220177200298051
"A6H8H2","Dennd4c","DENN domain-containing protein 4C",0.828159645232816,6,18,24,141663.655751997,114931.055742003,118948.938852346,112216.464431276,106967.722510324,115169.536595101,98368.3885645483,98056.1038915208,113290.23329239,0.384918898948067,0.122088650879235
"A8Y5H7","Sec14l1","",0.00152439024390244,24,6,24,12654.0127672607,17082.1802953508,17601.6433216133,18039.5250293889,15157.0160283276,16703.359487417,17256.1112493322,18115.1451358882,16576.1241643223,0.329457737797463,0.110989227685698
"B0V2N1","Ptprs","Receptor-type tyrosine-protein phosphatase S",0.753526093088858,6,18,24,109701.920435267,103462.765020153,98032.3802243496,110219.645822274,113162.787100624,112155.279298637,118347.786662925,111663.616789016,109593.272669156,0.185370926004777,0.0568658384951884
"B1AZI6","Thoc2","THO complex subunit 2",0.442350332594235,6,18,24,24966.593397819,27793.4297121861,24770.0187468328,21471.5736825778,28052.6909653406,24803.3583657636,28611.1435151332,24419.5122613582,25611.0400808764,0.278769226474581,0.0934011337874423
"B2RQC6","Cad","CAD protein;Glutamine-dependent carbamoyl-phosphate synthase;Aspartate carbamoyltransferase;Dihydroorotase",0.212860310421286,6,18,24,22967.6785472164,20351.3173994902,20515.9427588905,19464.1165692868,22373.5164433673,20498.8733945468,21694.7842770681,19560.7997901499,20928.378647502,0.167407233830213,0.0613411116485543
"B2RQE8","Arhgap42","Rho GTPase-activating protein 42",0.143394452280207,6,6,24,3110.59367915223,2276.40700966252,1805.51493142134,2988.16521102831,2696.79850317965,2063.16141172766,2787.07803071197,3078.79825552506,2600.81462905109,0.501796142313706,0.189987813179493
"B2RUR8","Otud7b","OTU domain-containing protein 7B",0.212860310421286,6,18,24,10130.681989648,8476.5945470257,7132.52400765576,6152.5522572513,7669.08572025076,7435.53587841229,7523.04550078199,7487.77315358894,7750.97413182684,0.513242550515271,0.149142932483565
"B2RXC1","Trappc11","Trafficking protein particle complex subunit 11",0.963137472283814,6,18,24,113163.78097607,96504.8770986448,88948.852189716,104484.533853998,116980.825845006,99556.5545623577,127195.026952084,87140.3086773486,104246.845019403,0.384229549271061,0.134538216707742
"B2RXS4","Plxnb2","Plexin-B2",0.258110014104372,6,18,24,982363.029549868,885612.787984804,833496.570060285,822310.350451774,836829.016434391,799050.21598083,797208.310177623,797388.542862305,844282.352937735,0.219304263233724,0.0747632371426205
"B2RY56","Rbm25","RNA-binding protein 25",0.314174894217207,6,18,24,259854.354115637,256345.166345425,220244.870729606,245714.876392091,229865.512097673,233143.739871831,216806.49252641,209930.184203102,233988.149535222,0.213361958764583,0.0789192321985257
"B5TVM2","Ildr2","Immunoglobulin-like domain-containing receptor 2",0.753526093088858,6,6,24,36768.6089058295,42924.8822426149,46207.6915498599,42830.5985092021,49195.2602815964,41986.9739905198,37095.2605339122,43209.6381194668,42527.3642666252,0.292203657340672,0.098039146440476
"B9EJ86","Osbpl8","Oxysterol-binding protein",0.710920177383592,12,6,24,22140.8331533856,22364.6472202578,21841.7438576573,23274.3210810383,21660.2440816133,23510.8120315522,20908.1977034605,23214.259873441,22364.3823753007,0.116373181446139,0.0407152811350977
"B9EJR8","Dnaaf5","Dynein assembly factor 5, axonemal",0.51410437235543,24,6,24,40602.3770890404,45771.371777209,46737.6241834689,45437.9704608832,42941.0234547993,41304.7413515015,41584.7829352365,46264.2310185956,43830.5152838418,0.139976613432384,0.0567830990457404
"B9EKI3","Tmf1","TATA element modulatory factor",0.881513303769401,6,18,24,33340.9317394915,32309.5236085135,36796.178740046,36486.0197678598,38037.4384098247,37476.2194538225,37703.8008712617,32842.3608968513,35624.0591859589,0.160787819585951,0.0667943953472036
"C0HKG6","","",1,6,18,24,53049.701857143,54767.2788329533,51200.4862029829,52072.4657304186,58653.5480928156,54284.2729971529,61479.7380305417,59912.0519883951,55677.4429665504,0.184621478284021,0.0689519415662221
"D3Z7P3-2","Gls","Glutaminase kidney isoform, mitochondrial",0.753526093088858,6,18,24,194710.742487597,212394.003742107,204367.519694617,198085.591361724,191530.912968692,184859.93480079,181211.013155739,190253.075624166,194676.599229429,0.160178422623966,0.052333924329012
"D3Z7Q2","Smim20","",0.923579946146942,24,18,24,24041.2793381443,25453.0083342551,23882.4486264509,24323.2558724802,28294.3787957286,26121.5719564296,25494.1687000318,29456.995648663,25883.3884090229,0.215371609548185,0.0783767783710947
"E2JF22","Piezo1","Piezo-type mechanosensitive ion channel component 1",0.881513303769401,6,18,24,153458.694489318,143371.36639021,148064.910580118,145645.469986353,158088.982776634,156751.281813303,168863.518603409,148554.426108217,152849.831343445,0.166779066677015,0.0543207466506845
"E9PVA8","Gcn1l1","",0.51410437235543,6,6,24,325586.181296637,288094.891155761,289775.786550248,329412.642122286,308788.886668095,304725.41493478,309494.161631093,290122.632509089,305750.074608499,0.135135701992651,0.0522834473243892
"E9PVX6","Mki67","",0.442350332594235,6,6,24,25693.569167836,16661.7296562411,16718.5597854202,18260.4937767715,17548.0768703109,16247.2214585096,17285.0237992968,14137.5691765466,17819.0304613666,0.648520132245351,0.191061671661717
"E9Q3L2","Pi4ka","",0.0736953455571227,18,12,24,21960.2963696654,26654.1015882032,27039.4567973615,24905.9535214788,23586.0707947713,25168.9977997237,26440.1139061743,26886.8175726685,25330.2260437558,0.200517769518609,0.0714573010096324
"E9Q4N7","Arid1b","",0.0881374722838137,6,18,24,8436.60625357432,7418.80392692985,5941.88770381784,5049.24947360582,7060.05352680267,5706.8385623316,6874.94545221103,4940.86709185852,6428.65649889146,0.543774451523207,0.190371192096862
"E9Q555","Rnf213","E3 ubiquitin-protein ligase RNF213",0.753526093088858,6,18,24,2057090.20002532,2052302.52977195,2263887.47547799,2058373.32078603,1959196.12920366,1880639.94118002,1818970.98787811,1839128.63032565,1991198.65183109,0.223441537182008,0.0742431933091978
"E9Q634","Myo1e;Myo1f","Unconventional myosin-Ie;Unconventional myosin-If",0.920310296191819,18,6,24,25648.6451156015,27396.4548440186,33588.3226149958,25390.6623473198,28496.6733377784,31304.3327301654,27422.4981038595,28627.4493667426,28484.3798075602,0.287794936139007,0.0974600003834941
"E9Q6J5","Bod1l","",0.0289634146341463,12,6,24,11255.0161385257,10430.5026302928,6949.56419863298,7664.8595985241,9461.14679189915,10826.5196486069,7644.84535412481,8252.28292495473,9060.59216069515,0.475184387900139,0.181991673334776
"E9Q735","Ube4a","Ubiquitin conjugation factor E4 A",0.51410437235543,12,6,24,22460.9053509071,22405.1335097167,18509.1710061454,21028.2829147509,19384.5820961655,25599.7217009383,22054.6766847224,20700.4002770957,21517.8591925553,0.329519337000127,0.101113911668548
"E9Q7D5","Arhgef5","",0.923579946146942,12,6,24,65756.0170552797,67230.9882736705,65334.8766355276,71762.6875579793,72024.2210108547,74840.7584979036,71211.7023486171,69745.1703291806,69738.3027136266,0.13630790387043,0.0481916293617802
"E9Q7E2","Arid2","",0.662527716186253,12,12,24,72221.2512919395,78816.4486187605,75163.3839252327,71288.6468701434,66664.8451368764,69993.0389533919,65948.3332528441,65364.4110817295,70682.5448913648,0.190316259236365,0.0668495875436605
"E9Q7G0","Numa1","",0.881513303769401,12,6,24,95074.6116688127,95708.855970756,77082.4558495703,100065.820726019,78780.8587153162,88160.4951995214,88598.1495374722,74183.6839672535,87206.8664543402,0.296790124574845,0.110114433913339
"E9Q8D0","Dnajc21","",0.258110014104372,6,18,24,14293.2269892335,12840.9537812569,11588.0734106413,10611.636385255,11944.7346449784,12233.6118101441,13686.3750803729,10718.6651506397,12239.6596565652,0.300791909847243,0.107626383076019
"E9QAM5","Helz2","Helicase with zinc finger domain 2",0.473946784922395,18,12,24,2358.18585212174,2290.99044312653,3219.92348942005,3602.47215781965,2283.19929814946,2548.90538062445,3462.16312591653,2114.56352436902,2735.05040894343,0.544015067724262,0.217593655251009
"E9QAT4-2","Sec16a","",0.923579946146942,6,6,24,362686.817241331,316439.583022146,331248.945672473,351492.131746758,327784.387484455,342177.131524452,344213.453059028,324870.75496187,337614.150589064,0.136982511362434,0.045247082752567
"F6ZDS4","Tpr","Nucleoprotein TPR",0.51410437235543,6,18,24,187342.973767853,169442.413102338,152742.870791028,169327.59052054,168781.475220225,178348.460655345,174085.189377121,152347.651611683,169052.328130767,0.207008815217855,0.0704055911839047
"F8VPU2","Farp1","FERM, RhoGEF and pleckstrin domain-containing protein 1",0.184312638580931,6,18,24,237676.983978397,216538.335162411,201393.832322262,203249.71099909,202802.93812326,210280.380587414,202412.145472571,195800.143302655,208769.308743507,0.200589066121743,0.0634266625817123
"F8VQB6","Myo10","Unconventional myosin-X",0.920310296191819,12,18,24,87938.5053589701,97406.4555031849,100859.753382217,103519.857596985,101513.91363813,111053.561675432,109076.587426824,93618.0107702328,100623.330668997,0.229718656327323,0.0760406039787317
"G5E829","Atp2b1","Plasma membrane calcium-transporting ATPase 1",0.930570953436807,18,18,24,116613.873469926,117359.500799393,121741.141315768,127708.477616679,129222.461301807,109202.785420072,129558.513179347,108571.074814182,119997.228489647,0.174899359171248,0.0707480349843733
"G5E8P1","Brd1","",0.930570953436807,6,18,24,9123.59868313061,9921.12861640257,8263.87551628184,9379.17010850381,9720.18776865664,6795.29223841458,9602.7298090274,5696.87421896476,8562.85711992278,0.493323004025075,0.180240321399686
"O08528","Hk2","Hexokinase-2",0.0736953455571227,6,12,24,31402.5662923476,27345.506981056,26562.3317753538,28439.0136369266,29642.8646830967,30710.8976608145,25222.0878369842,25943.8343239078,28158.6378988109,0.21948783451718,0.0805994927853415
"O08529","Capn2","Calpain-2 catalytic subunit",0.00317348377997179,24,12,24,191821.967153677,178078.996492954,198382.313246908,208134.384688156,199723.19215337,188459.42579472,194708.125766185,228953.953289476,198532.794823181,0.256254674910675,0.0761175310433657
"O08547","Sec22b","Vesicle-trafficking protein SEC22b",0.662527716186253,12,6,24,418971.424448155,421193.410828378,351496.53912694,425017.630331017,409820.152385985,417441.728821247,370747.004983818,301516.688642227,389525.572445971,0.317054772330564,0.114255685375561
"O08553","Dpysl2","Dihydropyrimidinase-related protein 2",0.750554323725055,6,18,24,485728.939657512,476390.764948064,434028.235108426,397741.769707526,439655.781675532,377622.549547466,390804.9717894,379885.632578004,422732.330626491,0.255732486677401,0.10106250506226
"O08573","Lgals9","Galectin-9",0.753526093088858,6,18,24,607304.165682017,535569.574250177,557096.167665679,593406.108614134,591600.944924659,640286.965516602,609775.40805538,568612.765611522,587956.512540021,0.178103973734447,0.0564195555034392
"O08579","Emd","Emerin",0.750554323725055,12,18,24,133214.291441177,134810.974639421,130790.633194486,141896.113372853,124819.631054711,153102.400335355,147453.086960595,140121.320965776,138276.056495547,0.204538442861616,0.0666907916305563
"O08586","Pten","Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN",0.51410437235543,6,6,24,28250.6910516826,22388.8134550511,26254.7686937224,24130.4391559443,25674.1663204599,24026.2733170937,18326.4263132589,22458.980958328,23938.8199081926,0.414567834859199,0.125421912136905
"O08599","Stxbp1","Syntaxin-binding protein 1",0.846614950634697,18,12,24,16555.9609050065,18828.2169131013,19765.3114391396,17835.3487214588,18858.1831079453,17958.0681343026,16564.3211252592,19423.5677271912,18223.6222591756,0.176109364455093,0.0666941293521665
"O08600","Endog","Endonuclease G, mitochondrial",0.562915742793792,6,12,24,3475.30973731435,3025.06859430053,2707.42149323413,2192.99381342896,2773.6444384251,2889.4141911051,2521.08257103789,4070.91017256464,2956.98062642634,0.635079020252236,0.197535491842748
"O08663","Metap2","Methionine aminopeptidase 2",0.739421720733427,12,12,24,594858.055077488,495979.224407672,430973.067241608,468453.546892951,395919.701684377,446527.337327784,432461.255919628,353400.664947541,452321.606687381,0.533817944047118,0.159277796178401
"O08664","Bcl7c;Bcl7b;Bcl7a","B-cell CLL/lymphoma 7 protein family member C;B-cell CLL/lymphoma 7 protein family member B;B-cell CLL/lymphoma 7 protein family member A",0.923579946146942,12,18,24,4827.70116425098,8488.10227787966,7590.78474809723,6314.45112938364,6636.56051590435,5688.00578244775,5436.01832270431,6966.32208386694,6493.49325306686,0.563702920904689,0.18407047530589
"O08665","Sema3a","Semaphorin-3A",0.753526093088858,6,18,24,46466.9739454081,44830.9809349705,40227.6420954708,48528.1744363488,52805.3731583471,54456.0968007169,53311.0706997572,46835.3133254369,48432.703174557,0.293777835483704,0.100522203347925
"O08709","Prdx6","Peroxiredoxin-6",0.914315937940762,12,12,24,560295.207796656,539713.30936079,512777.895328564,538994.436312184,515108.613607851,572536.860021625,569517.665270581,551251.760918476,545024.468577091,0.109644553847418,0.0417715071503687
"O08734","Bak1","Bcl-2 homologous antagonist/killer",0.750554323725055,6,12,24,88293.975094531,84606.6157057972,90653.9604611883,85477.2704168726,89291.1647809723,85225.8215857922,78049.5663081752,80069.0625274079,85208.4296100921,0.147924263018224,0.051336239352144
"O08736","Casp12","Caspase-12",0.473946784922395,24,12,24,210096.062912961,199171.620990909,197480.870814494,225937.333879377,206236.469956925,199682.142581421,214707.349613109,204378.336992376,207211.273467697,0.137330670231701,0.0461510379276543
"O08738","Casp6","Caspase-6;Caspase-6 subunit p18;Caspase-6 subunit p11",0.846614950634697,18,12,24,292655.45005073,321392.091918749,356914.476309401,308258.811027864,328886.741126015,298140.118317221,301346.788622822,308970.092241034,314570.571201729,0.204275390457496,0.066256207582984
"O08749","Dld","Dihydrolipoyl dehydrogenase, mitochondrial",0.51410437235543,18,18,24,126778.290527489,129066.524628595,145980.041320528,135658.216011561,135523.481448821,121360.053595633,127834.774486221,132458.684625238,131832.508330511,0.186752023735841,0.0564482707147543
"O08784","Tcof1","Treacle protein",0.846614950634697,6,12,24,54577.5866191082,44186.5480071489,40083.2462824983,49812.30215918,41022.0409681176,47044.4866528774,47656.1430701782,41197.3114563513,45697.4581519325,0.317180449915177,0.110148286992681
"O08788","Dctn1","Dynactin subunit 1",0.0176304654442877,18,12,24,310699.228319763,353989.099567142,388930.328521126,353452.896000465,342783.119946048,330216.0887651,368661.079236215,347693.43165656,349553.159001552,0.223803156077373,0.0673820027074083
"O08795","Prkcsh","Glucosidase 2 subunit beta",0.00317348377997179,6,12,24,1259805.38360833,1185982.24333234,1099964.19076025,1113500.83212493,1221774.65073252,1109118.1969393,1080900.17793335,1152060.19415079,1152888.23369773,0.155180008300689,0.0555620373700324
"O08807","Prdx4","Peroxiredoxin-4",0.828159645232816,18,12,24,61267.4411169408,71894.8623573097,66307.5887156301,66861.4683770992,64787.1012806082,60320.4827044424,66101.6156605928,63489.3164815727,65128.7345867745,0.177715408203519,0.0556492987469613
"O08808","Diaph1","Protein diaphanous homolog 1",0.254573170731707,18,12,24,152837.976711457,159567.032946866,160633.328420976,163300.546931337,152476.803701928,159256.56804568,159076.75811921,158609.495259348,158219.8137671,0.0684095308400601,0.0235712870224354
"O08810","Eftud2","116 kDa U5 small nuclear ribonucleoprotein component",0.750554323725055,6,12,24,324346.987273667,315395.727217957,309411.244897579,322134.700084556,300151.386219351,322381.044824388,311193.209924408,320133.274402782,315643.446855586,0.0766548499433477,0.0262933666765779
"O08832","Galnt4","Polypeptide N-acetylgalactosaminyltransferase 4",0.739421720733427,12,18,24,2828.4874426148,3239.45762010978,5594.61577361901,3710.73400275989,3470.88918121583,3714.81645784263,2939.80972322324,2744.4361290339,3530.40579130238,0.807323524000244,0.259494069975811
"O08848","Trove2","60 kDa SS-A/Ro ribonucleoprotein",0.846262341325811,18,12,24,61902.7288576883,56644.1897352339,51894.8237836477,62532.0811491015,54516.4297773974,64224.8419791806,64648.4617207861,58807.733885349,59396.4113610481,0.214720681685867,0.0792293734501736
"O08856","Ell","RNA polymerase II elongation factor ELL",0.51410437235543,12,18,24,14885.0850329142,16628.8803154398,15399.2977541837,17161.3792250836,16020.341557889,18459.465585834,20004.6392134248,15378.401387065,16742.1862589793,0.305787673205753,0.104469924133551
"O08915","Aip","AH receptor-interacting protein",0.914315937940762,24,12,24,69165.9487539991,68298.9056969178,71147.8395063343,70456.1369895263,66015.0768005282,65226.9281217102,62926.2833874994,66354.7178535463,67448.9796387577,0.121892965065859,0.0415735929982586
"O08919","Numbl","Numb-like protein",0.812361419068736,18,18,24,5431.70084367081,5625.39730435497,5446.81634505503,5092.85054874872,5097.12937342815,4450.58076742329,5428.67545287204,6989.60435463796,5445.34437377387,0.466274199193578,0.132657466861039
"O08967","Cyth3;Cyth1;Cyth2","Cytohesin-3;Cytohesin-1;Cytohesin-2",0.923579946146942,12,6,24,113701.748836509,139001.880984963,127621.14509974,113174.127375342,123698.564085065,116149.6511611,105966.790266984,135031.016567692,121793.115547174,0.271239392879998,0.0946927605881441
"O08970-2","Tuft1","Tuftelin",0.416574279379157,6,12,24,61172.5495637801,47483.4082810729,37810.9718856434,47546.1130655497,41399.1665105341,42692.3932241263,38382.4656155095,38120.7696323547,44325.9797223213,0.52704030062019,0.177158245711324
"O08983","Hps1","Hermansky-Pudlak syndrome 1 protein homolog",0.201692524682652,24,12,24,24686.373784681,25975.9823937,29339.888377746,30113.2889956707,26423.652437493,23586.0317744324,25349.3305925902,28186.0093077187,26707.569708004,0.2443972736045,0.0860873003984412
"O08989","Mras","Ras-related protein M-Ras",0.201692524682652,18,12,24,21116.1724942059,25691.5322101371,26770.9837250991,21857.2367493662,21820.087092355,21183.8398241935,23171.3436144652,25722.2937738401,23416.6861854578,0.241486399318318,0.0982619721921009
"O08997","Atox1","Copper transport protein ATOX1",0.473946784922395,18,12,24,359216.018588679,391599.743086119,458261.668700267,422370.47017574,446620.865062294,475745.87893491,450274.268774214,432656.489039076,429593.175295162,0.271256311895938,0.0885415040287302
"O08999","Ltbp2","Latent-transforming growth factor beta-binding protein 2",0.963137472283814,24,6,24,84153.8641019034,80433.9124981519,59984.4960655649,120554.009398453,75433.6854253411,100096.731340209,111422.267194744,91937.4821068715,90502.0560164049,0.669261185866418,0.218406848752395
"O09005","Degs1","Sphingolipid delta(4)-desaturase DES1",0.846262341325811,24,12,24,93207.6016809354,83352.2730427157,99667.1471069309,99730.9893612438,97080.5875971147,102039.241458874,87594.9299466379,96736.296577506,94926.1333464948,0.19685799639545,0.0683564218452296
"O09044","Snap23","Synaptosomal-associated protein 23",0.314174894217207,6,18,24,245270.381649052,211271.476905171,188536.581599512,190628.760454298,194135.184460775,219520.349907462,201207.483426476,197100.319662372,205958.81725814,0.275461865652648,0.0924325283547624
"O09061","Psmb1","Proteasome subunit beta type-1",0.846614950634697,12,12,24,755460.981432874,793828.382082453,769565.736426182,773424.200717923,785365.458208493,743108.081220321,762363.363889684,735890.014379258,764875.777294648,0.075748728647313,0.0259705112353803
"O09106","Hdac1","Histone deacetylase 1",0.917960088691796,6,12,24,15904.0484630163,12658.3888620456,11930.6731048918,13569.1405774243,13013.6468761603,13462.1975688037,13358.5985496475,11120.9253531239,13127.2024193892,0.364367285357588,0.106809789336881
"O09131","Gsto1;Gsto2","Glutathione S-transferase omega-1;Glutathione S-transferase omega-2",0.0193935119887165,6,12,24,1633286.2084189,1463000.73430969,1305911.29750892,1435152.79896476,1454721.01773804,1424293.67842801,1291271.19576701,1356208.30333171,1420480.65430838,0.240774143325742,0.0764024206563055
"O09159","Man2b1","Lysosomal alpha-mannosidase",0.753526093088858,6,12,24,4258.16505089051,3274.88050799296,3863.82567541093,5180.46757106805,4360.46535156563,5294.03617745809,4471.25701261659,3900.75472230426,4325.48150866338,0.466804832114303,0.156150101011476
"O09164","Sod3","Extracellular superoxide dismutase [Cu-Zn]",0.473946784922395,24,12,24,72874.7514862956,57244.3702071354,45731.5360425965,71078.9389350995,74169.2362428074,70685.7004973997,76117.1983259397,77224.5228905656,68140.7818284799,0.462175308279283,0.160848691589226
"O09167","Rpl21","60S ribosomal protein L21",0.822028465187845,18,6,24,1309195.50305652,1253816.6551657,1282666.25325687,1327119.7263173,1339724.58439224,1385296.3576183,1442000.67124676,1268586.72857886,1326050.80995407,0.141913126305906,0.0475485794078057
"O09172","Gclm","Glutamate--cysteine ligase regulatory subunit",0.258110014104372,6,18,24,330059.159902911,302952.522461307,248152.455782532,282597.000172916,248868.203683622,290377.165447892,285689.954422959,237654.54813311,278293.876250906,0.332039687738189,0.113084527377689
"O35074","Ptgis","Prostacyclin synthase",0.442350332594235,12,6,24,1838368.03728377,1955914.41429518,1717808.82179597,1831245.13624603,1747314.55857632,1773069.59327046,1653379.72742959,1815857.59042975,1791619.73491588,0.168860992636808,0.0508945297870337
"O35126","Atn1","Atrophin-1",0.450332594235033,6,12,24,28408.2521246965,26119.6197979044,22543.7963003295,24384.7952241205,22963.3328212151,20316.2156799744,19118.5383964153,20883.1712309016,23092.2151969447,0.402287682193016,0.134761955594682
"O35129","Phb2","Prohibitin-2",0.881513303769401,12,18,24,18686.5377856196,17490.8616642688,17340.3384700663,17404.5238704489,15775.3355771966,20592.3690340348,20242.7868392599,22068.0029134862,18700.0945192976,0.336504573802868,0.112257950275189
"O35166","Gosr2","Golgi SNAP receptor complex member 2",0.416574279379157,12,12,24,149655.186998257,149524.445462087,134799.9892214,146395.10423932,147875.230979688,151394.793707714,156311.433340376,132770.995261792,146090.897401329,0.16113555667959,0.0558056222809893
"O35226-2","Psmd4","26S proteasome non-ATPase regulatory subunit 4",0.258110014104372,6,18,24,285512.432348236,302483.843968345,264840.486167495,279278.023904675,298384.882702266,279946.235428351,289958.915371697,248629.010567022,281129.228807261,0.191566112246,0.0627351259745933
"O35250","Exoc7","Exocyst complex component 7",0.846614950634697,12,12,24,143132.980470821,141809.976544798,123192.009816542,146069.528472054,139289.625362073,151383.554790687,157782.577311272,138673.717575195,142666.74629293,0.242457113472729,0.0712659887957283
"O35286","Dhx15","Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15",0.110014104372355,24,18,24,434577.629246772,412805.509501516,408283.926241535,459136.706368532,415217.734638141,422802.530240939,432059.242974898,439170.417114499,428006.712040854,0.118813043572417,0.0391356336618911
"O35295","Purb","Transcriptional activator protein Pur-beta",0.828159645232816,24,12,24,30490.7294483433,29978.4758004417,34545.2542955378,30621.9023529675,30220.7253235557,32145.1252256252,27922.0886100727,32528.5117842553,31056.6016050999,0.213261121409288,0.0640728455807312
"O35343","Kpna4","Importin subunit alpha-3",0.258110014104372,6,18,24,78999.0859502814,63508.0281109449,57478.8161510266,70507.5020984396,75014.4548947292,77061.5077516271,73943.6170697141,62359.5622412965,69859.0717835074,0.308052615785476,0.11205454840429
