"Leading.razor.protein","Gene.names","Protein.names","S1","S2","S3","S4","S5","S6","S7","S8"
"A2A791","Zmym4","Zinc finger MYM-type protein 4",99402.9235771323,90421.4443279566,93116.8829606622,93324.9419591167,85149.9414361058,86649.37510699,89418.8580385945,76395.3758598715
"A2A7S8","Kiaa1522","Uncharacterized protein KIAA1522",7265.95385534786,6228.9180248271,5787.16782575494,4682.93342380337,5405.99751767254,5794.60187377134,7359.62335823606,8214.92925534916
"A2A870","Fbf1","Fas-binding factor 1",15542.0658732025,13712.3753910301,15915.269207742,15679.1234216735,15317.3798278751,14708.9532145102,13813.7483762624,11504.8594158971
"A2A8L1","Chd5","Chromodomain-helicase-DNA-binding protein 5",27403.8587716996,22930.900191659,20199.4200961671,24116.1839542047,20769.2848670469,27680.4578006216,23512.7827668599,25304.3940997854
"A2A8L5","Ptprf","Receptor-type tyrosine-protein phosphatase F",34465.961558782,31572.2103312927,27801.4025440856,30638.2664405054,26811.0241852567,25604.6767084371,23849.6653150513,22503.0156453828
"A2A8U2","Tmem201","Transmembrane protein 201",43749.0755750628,44145.4063203837,40521.6327114671,42490.297103739,46531.1416508489,46462.2653179554,47356.4684626778,44382.1126131441
"A2A8Z1","Osbpl9","Oxysterol-binding protein-related protein 9",58554.3813578239,62027.338083578,66224.0031014903,63040.6033507597,71005.6965115616,64717.307422661,60106.3045861183,63804.3810892038
"A2A9C3","Szt2","Protein SZT2",57008.6778478502,50588.2381897421,46874.5992628714,53161.251851066,48162.4920777585,59539.4228261411,53800.9340957888,52361.3802772418
"A2AAY5","Sh3pxd2b","SH3 and PX domain-containing protein 2B",296573.135110797,291356.15452214,255401.240565266,253036.77687745,289088.603671461,270303.327249998,268537.800208034,246111.408695768
"A2ABV5","Med14","Mediator of RNA polymerase II transcription subunit 14",170841.30511648,150339.313878703,149890.627777113,153252.350837875,154746.345812954,151409.450184205,141122.04971319,125368.684922245
"A2ADY9","Ddi2","Protein DDI1 homolog 2",137756.350999676,142932.20985371,167273.627550047,141041.909743715,149485.722113362,139401.078851289,131107.291427073,150397.832846696
"A2AF47","Dock11;Dock9","Dedicator of cytokinesis protein 11;Dedicator of cytokinesis protein 9",684207.730618731,600993.954698346,610860.98439204,592667.30098208,554275.344514455,607515.25214911,554674.190183428,539642.554589529
"A2AG58-2","","Uncharacterized protein CXorf23 homolog",33586.2272354887,24377.0490727291,21155.5996629903,23072.5480713144,21438.1247870172,17585.1843452679,24061.0678534849,23764.0820455654
"A2AGH6","Med12","Mediator of RNA polymerase II transcription subunit 12",27670.9259499326,26257.073740406,26886.4918090436,27335.4600149082,26116.2215845884,28228.8805428179,23146.1861107859,22313.1942331084
"A2AGT5","Ckap5","Cytoskeleton-associated protein 5",914373.316906323,881189.346302828,875181.423341679,982710.65147294,896405.309394035,953276.838408086,1016829.46693176,945358.524320097
"A2AH22","Ambra1","Activating molecule in BECN1-regulated autophagy protein 1",10739.3124260626,11220.6214473844,12256.9444366482,7741.86277932114,11080.5626330298,9937.24990939389,12101.8293868321,9321.96445010978
"A2AHC3","Camsap1","Calmodulin-regulated spectrin-associated protein 1",1753.71328855712,2524.12112089783,1826.77954145147,2457.23426844746,2541.59169588714,1792.4529780502,1444.30803020345,1821.60872297665
"A2AI05","Ndor1","NADPH-dependent diflavin oxidoreductase 1",16800.1685727481,15257.4931410056,17867.6804017167,21235.0775149675,20203.6079167378,20484.5112250505,22515.5662670251,17567.453824777
"A2AI08","Tprn","Taperin",246559.166664072,244201.638126841,243315.556710629,224465.837600233,238039.181856874,238639.764416887,237559.508825437,229650.2722106
"A2AIG8","Accs","1-aminocyclopropane-1-carboxylate synthase-like protein 1",20629.6167144402,20238.8224682897,21291.8780657274,23983.088290048,17005.1260115328,28045.7353049363,22242.159676849,21733.4749226886
"A2AIV2","Kiaa1429","Protein virilizer homolog",10173.6535601324,12324.4251844421,12225.1055836277,8493.63606336337,9048.51003812776,8340.19912375165,9176.23168132062,6892.02476137862
"A2AJ15","Man1b1","Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase",266393.151545132,257176.519084906,293849.798913668,291648.046267744,302971.760313621,300464.349533609,281714.489150592,295909.533327522
"A2AJ88","Pnpla7","Patatin-like phospholipase domain-containing protein 7",100818.463167287,94844.1286247844,89300.8848887825,104304.445631139,103946.492415806,111874.511673118,110541.081030113,110223.582031738
"A2AJI0","Map7d1","MAP7 domain-containing protein 1",139228.237401506,122289.005151674,93742.1006922669,119055.947565608,120139.553917822,118353.963283764,131722.456254969,101748.481559241
"A2AJT4","Pnisr","Arginine/serine-rich protein PNISR",83441.7376796954,73586.0512959127,58561.5876714057,63490.679964626,66147.9242084971,65282.0592646065,60671.4246007387,59917.1134017969
"A2AKG8","Focad","Focadhesin",68088.855994619,59586.0022429595,58325.1284190376,69004.1777258819,61621.1330997624,70327.0622665173,68884.7535972097,67947.0411294621
"A2AKM2","Hacd4","Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 4",10938.8933899837,9036.56316953874,8766.3313308274,11005.0762069013,9803.9208834721,10305.9715166334,8645.51747582739,9940.24283725307
"A2ALU4","Shroom2;Shroom4","Protein Shroom2;Protein Shroom4",727301.809318712,749819.065630987,741614.697185277,699578.950469417,758992.31977442,717887.800666453,722772.031748025,703587.57552412
"A2ALW5","Dnajc25","DnaJ homolog subfamily C member 25",37433.0342796242,29358.6896228714,34080.7544225828,41676.3203564782,38550.2823795735,38494.9409843819,40682.5694392912,34539.0878735875
"A2AN08","Ubr4","E3 ubiquitin-protein ligase UBR4",1540455.42177475,1430489.90006789,1392442.11161454,1495899.42241984,1408879.74074255,1505434.10244344,1496583.77501934,1429953.21802256
"A2APB8","Tpx2","Targeting protein for Xklp2",28656.1132848605,26480.9155941136,21326.9616426225,18565.2653793617,20901.6773447788,16849.7670736858,20855.0720030014,14737.5662657757
"A2APV2","Fmnl2","Formin-like protein 2",32839.0518035812,27520.08871762,29647.5490311641,36860.0937972063,35598.7038484244,37970.7282598038,39545.0618728284,35068.7624248555
"A2APY7","Ndufaf5","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 5",170819.026311205,159091.938060617,145673.906306709,154310.007183903,148596.801191448,137684.09224615,147411.873193513,137461.057504496
"A2AQ19","Rtf1","RNA polymerase-associated protein RTF1 homolog",25346.7824179824,25546.2096100074,27346.9384063866,22892.8491775717,25286.9632467949,24917.274283512,22952.5384417682,20025.800067371
"A2AQ25","Skt","Sickle tail protein",256452.905601596,229978.442284563,218891.607527234,221061.037242088,216507.109992152,213833.714398416,228511.516978136,193450.272617296
"A2AQH4","Bcorl1","BCL-6 corepressor-like protein 1",20103.8369099522,17700.2813549623,15557.4370029362,18025.1813415746,15056.6354220563,16811.2741586443,25511.8154736319,16581.4284984571
"A2AR02","Ppig","Peptidyl-prolyl cis-trans isomerase G",111819.737212041,106113.197097094,105176.203433817,94825.2302505564,106767.741728616,104821.171218061,107405.276710014,106383.056969785
"A2ARV4","Lrp2","Low-density lipoprotein receptor-related protein 2",106639.636500557,94232.7831903406,84999.5978023943,97188.3694389287,78168.9892482718,85260.5912511511,74702.6471288101,69164.7285683308
"A2ARZ3","Fsip2","Fibrous sheath-interacting protein 2",185758.821815142,189949.684450451,214608.065024535,186185.826335491,201666.411859425,169855.052477795,199866.473020383,182642.860756708
"A2ASQ1","Agrn","Agrin;Agrin N-terminal 110 kDa subunit;Agrin C-terminal 110 kDa subunit;Agrin C-terminal 90 kDa fragment;Agrin C-terminal 22 kDa fragment",175253.622501177,191822.59248877,191377.565841301,183087.995131548,202634.742477236,211830.056873362,183000.04623078,204810.863657835
"A2AT37","Upf2","",427359.747536926,409254.738813286,384782.982706663,423953.232763263,410629.110717282,466591.86967536,454712.785066941,394652.663018523
"A2ATU0","Dhtkd1","Probable 2-oxoglutarate dehydrogenase E1 component DHKTD1, mitochondrial",34403.1167622357,32302.8578613771,43949.7848827,39425.1474018994,44877.6111854622,44416.7720720798,43906.9641181849,47369.2104503824
"A2AVZ9","Slc43a3","Solute carrier family 43 member 3",9094.76528335252,11653.2212202726,10788.7068833501,10172.7346276426,10564.7477847237,12788.7645368092,13473.4620448151,13231.0959544247
"A2AWA9","Rabgap1","Rab GTPase-activating protein 1",469846.357479744,475529.853947387,479591.887770356,499419.362961001,507021.494679645,498940.201207631,516770.745376675,492359.51752258
"A2AWP8","Arhgef10l","Rho guanine nucleotide exchange factor 10-like protein",28801.8538027006,26060.9722174586,27441.2381939948,29943.5623655748,31675.3301430664,29135.9964749139,32591.6846458903,33934.0385313839
"A2BDX3","Mocs3","Adenylyltransferase and sulfurtransferase MOCS3;Molybdopterin-synthase adenylyltransferase;Molybdopterin-synthase sulfurtransferase",49620.376220201,40447.4563193347,42844.348017641,44908.8269950727,44797.9177913989,45091.7149481888,43490.3226488351,43937.6577234644
"A2BE28","Las1l","Ribosomal biogenesis protein LAS1L",28836.7572642979,30390.7461170205,29832.3867546384,28123.5680203226,30662.5964637304,30785.9648890237,25745.664582726,25115.5981948706
"A2BH40","Arid1a;Arid1b","AT-rich interactive domain-containing protein 1A",71482.2893514099,68065.787719191,73265.1553071926,70701.3449151913,62984.4317438355,67464.9114388932,72410.7050737471,65023.9349514671
"A2CG49","Kalrn;Arhgef25","Kalirin;Rho guanine nucleotide exchange factor 25",226534.985765813,230348.475888859,253437.594514875,225393.538075962,227311.969588763,220862.024328981,230608.707434477,235330.906148298
"A2CG63","Arid4b","AT-rich interactive domain-containing protein 4B",72112.7795406901,60596.6466044648,62269.2930839676,60324.622422454,60263.5084190206,61775.8611900514,64233.1617985341,56587.5986571658
"A2RSJ4","Uhrf1bp1l","UHRF1-binding protein 1-like",261551.317360406,269537.253602804,277217.344331998,286397.975236437,261257.727561962,363865.523412715,294053.663423916,270467.721241541
"A2RSY1","Kansl3","KAT8 regulatory NSL complex subunit 3",5776.43006600911,5711.4581526049,6138.91617329574,5642.44652786462,8317.68636721934,4504.6840313022,6998.17837411699,6280.10451986527
"A2RSY6","Trmt1l","TRMT1-like protein",178932.595878908,160899.520421001,155283.663049714,162003.193284864,157314.244066104,150683.524455095,157637.574047354,145106.625073758
"A2RT67","Dennd3","DENN domain-containing protein 3",9459.20940630801,10711.2533694752,13567.001701055,10355.3955910624,13972.5645491996,10741.5492394712,8858.75989710201,11033.4336826582
"A2RTL5","Rsrc2","Arginine/serine-rich coiled-coil protein 2",93616.0039069729,73256.6737709918,65781.199690216,70968.3261287519,72970.5212379011,71290.7020054374,54793.9188650891,65566.7359969389
"A3KGB4","Tbc1d8b","TBC1 domain family member 8B",433691.198339347,428096.378130194,438275.094914347,457009.041738543,384588.456007971,402731.211947233,440038.43149179,421658.168726524
"A3KGF9","","Uncharacterized protein C15orf52 homolog",10007.8249862028,12769.4738716581,10676.1555239468,9567.58379261571,12436.2959926611,10712.1730674659,11035.617280459,10002.080931041
"A3KGS3","Ralgapa2","Ral GTPase-activating protein subunit alpha-2",16752.8261115389,17238.5303743566,15084.2041655745,15740.1025627589,16391.6588155282,15447.3790112942,15048.8157303705,15242.3107331302
"A3KGV1","Odf2","Outer dense fiber protein 2",908.92884103891,1724.48585724732,1291.09590926407,1994.26277792027,1801.56932685059,1234.8121956729,839.18896261923,1871.6534821284
"A3KMP2","Ttc38","Tetratricopeptide repeat protein 38",176784.176423563,185700.973731353,201976.557775602,199223.869697427,188574.257287143,210586.938311811,213916.186371007,213680.14864924
"A6H5Y1","Mphosph9","M-phase phosphoprotein 9",2861.80536591825,2171.81684542337,2076.62327980273,3636.03926426834,2717.82843572507,3830.55153235199,3239.20573576393,2218.68517263974
"A6H5Y3","Mtr","Methionine synthase",105266.70512549,107354.167121853,109248.818605137,104432.505776845,104035.728384563,105491.859614087,107997.718984824,93067.2541074513
"A6H5Z3","Exoc6b","Exocyst complex component 6B",100021.531736932,106975.284414289,102636.294423281,111112.466576934,122770.553520749,105760.823793082,96840.1634690759,117093.66093562
"A6H611","Mipep","Mitochondrial intermediate peptidase",97652.9234227876,104300.230581263,123247.135366997,100592.478647482,108305.80704021,102254.200270518,96688.3271376204,111636.474796519
"A6H630","Armt1","Protein-glutamate O-methyltransferase",315177.515597392,309174.389340357,360501.051031358,342014.792723365,353698.625909733,320748.160725576,324022.411091643,356741.717201423
"A6H687","Sac3d1","SAC3 domain-containing protein 1",44965.9624848498,35109.5693375141,33977.8358371825,32693.0640490595,34747.0075647295,35135.5224727087,31093.2840601608,33921.8349938039
"A6H6E9","Ttc23l","Tetratricopeptide repeat protein 23-like",4149.42748245307,3352.18140559662,4050.32797420509,3504.3258992943,3722.46382194267,3368.83914614386,4184.07756877155,3761.04824157904
"A6H8H2","Dennd4c","DENN domain-containing protein 4C",265061.250303113,223572.64593533,218877.006269798,235401.798848002,218849.150117058,233514.027590534,217666.511560007,210677.770752343
"A6X919","Dpy19l1","Probable C-mannosyltransferase DPY19L1",20704.4363688218,16733.4156755094,17990.979908955,16247.9395353282,19851.1344370619,17276.2280534875,14925.1296063827,16286.082378873
"A8C756","Thada","Thyroid adenoma-associated protein homolog",17536.4830870841,20457.6847562663,20756.3972287822,19932.0630640211,22593.8939237885,20358.6697820083,20582.953330814,21195.2886603353
"A8Y5H7","Sec14l1","",12576.9425478219,16939.3414666804,17304.3152189734,18031.5991592083,15040.3872543347,16710.8886881019,17295.2666821891,18112.613537176
"B0V2N1","Ptprs","Receptor-type tyrosine-protein phosphatase S",167840.999844436,153028.071891584,140374.491457655,158568.870965605,157432.795512073,157509.969435411,162025.0506642,158188.817359559
"B1AQJ2","Usp36","Ubiquitin carboxyl-terminal hydrolase 36",29851.6496729257,23595.5684758065,32998.537612752,22676.4206198333,19613.17185371,23626.0395781599,21992.8555518903,14309.6220445866
"B1AR13","Cisd3","CDGSH iron-sulfur domain-containing protein 3, mitochondrial",20626.5533787149,19639.3035024573,18801.9580823858,20401.0574295584,19330.5912859797,22896.8014324134,20534.288429669,21677.2771193788
"B1ARW8","","Uncharacterized protein C1orf122 homolog",22058.802072826,30650.2644843723,27180.6463078086,25593.2693665072,29477.9588892823,29188.7722873787,27588.1232597269,22253.5097047758
"B1AUE5","Pex10","Peroxisome biogenesis factor 10",973.119648737261,1616.59526640709,1568.31700530805,1272.20892630472,1610.88977126009,1271.27916781747,647.086795187966,1591.68997293928
"B1AVY7","Kif16b","Kinesin-like protein KIF16B",52927.2007214857,48009.3107235165,49548.4545308596,47993.0326785015,55457.5755082109,41760.7609342174,41835.3480333344,43893.8685592066
"B1AVZ0","Uprt","Uracil phosphoribosyltransferase homolog",61232.7393279743,53674.7390153947,49915.9195096684,51333.4573889975,58403.0502303217,59041.7499535127,52356.166094875,52786.3505270878
"B1AXP6","Tomm5","Mitochondrial import receptor subunit TOM5 homolog",27320.3132519187,27850.2961701628,34772.2861983765,21673.4638271749,30680.6671772494,21913.611344538,21028.9409314781,28386.043715585
"B1AY13","Usp24","Ubiquitin carboxyl-terminal hydrolase 24",157197.764766121,128272.368341387,152095.924638071,157583.884062321,147243.388998634,156997.203288201,144091.06865375,149969.632248667
"B1AZ99","Otud3","OTU domain-containing protein 3",1559.05222746755,2236.44745897478,2195.76548457657,1945.6848352162,2528.52438639672,2230.36053521952,2002.25250174383,1659.88621235715
"B1AZA5","Tmem245","Transmembrane protein 245",2440.55028951172,1698.13565525365,1685.02566717587,2338.55401005256,2530.07183094164,2472.2581171118,2601.68633134928,2318.15938652745
"B1AZI6","Thoc2","THO complex subunit 2",235610.090003511,233343.54981287,192166.287236903,197653.153262632,227681.903401054,223635.104577142,221525.868206166,190200.542345247
"B1AZP2","Dlgap4","Disks large-associated protein 4",28877.0447705034,28241.3995619586,33682.2617717223,37049.5675208834,31374.4381482212,30597.8155721867,31392.081033543,37293.6006416533
"B2RPU2","Plekhd1","Pleckstrin homology domain-containing family D member 1",16880.1866150272,18068.0430323937,15690.977669904,14839.475403878,15232.4423161873,22118.839359996,17343.7475950501,14298.0338114224
"B2RPY5","Gpr161","G-protein coupled receptor 161",6384.73427836963,8291.80686988293,7345.95345468108,6265.8634592335,5370.23435485665,6012.79592376965,4452.33248699277,5592.50183520849
"B2RQC6","Cad","CAD protein;Glutamine-dependent carbamoyl-phosphate synthase;Aspartate carbamoyltransferase;Dihydroorotase",1230088.39222649,1117778.4006996,1058658.23864454,1158519.82443065,1054171.02040612,1115151.57012862,1096246.69424831,1036966.62502577
"B2RQE8","Arhgap42","Rho GTPase-activating protein 42",5605.25457881351,4265.69311305994,3542.3765913842,6439.73694927794,4523.6102505035,5723.75465066603,5955.79275053513,5736.58561924171
"B2RR83","Ythdc2","Probable ATP-dependent RNA helicase YTHDC2",32580.6176623922,30671.9463434931,30103.9397236637,32632.3317471138,28524.827615668,32103.4659440344,30358.342859314,32228.7223429935
"B2RRE7","Otud4","OTU domain-containing protein 4",42664.6547283063,45855.9908899651,51670.6053425291,49562.9296073525,58102.4161429006,47994.9924166204,48948.9790557257,57621.925380126
"B2RSH2","Gnai1","Guanine nucleotide-binding protein G(i) subunit alpha-1",83857.5158831385,95961.7299085554,94728.9023406575,100328.459503598,80453.1893348542,85356.8235387548,93417.2914287068,80147.8098396294
"B2RUR8","Otud7b","OTU domain-containing protein 7B",54339.8440669549,58252.2981805546,50623.5633674524,60772.4873576281,54932.5619617766,54795.9105164355,58541.3922356858,53753.8244252713
"B2RWS6","Ep300","Histone acetyltransferase p300",2848.90222452986,3080.58759134688,3062.20815674036,4039.67062559808,4083.01840090866,3237.15285784404,1793.79377585586,2354.0521441158
"B2RX14","Zcchc11","Terminal uridylyltransferase 4",43106.5269824277,39600.5981740011,41651.4861236832,39556.0807551918,42674.9098449122,41158.4582406775,42377.5615065841,37510.7620801364
"B2RXC1","Trappc11","Trafficking protein particle complex subunit 11",327845.42993342,347004.046458478,312888.824634148,379043.22094032,337535.395699778,360680.032098742,383454.674598953,377180.273725987
"B2RXR6","Ankrd44","Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B",448664.876192973,432521.033505124,428060.602759196,490865.20194057,431838.7295265,461407.076613562,471488.928805535,417347.653641635
"B2RXS4","Plxnb2","Plexin-B2",1639849.75872901,1535676.9083131,1469870.96757607,1496152.9459635,1484816.62720392,1539845.5630545,1477465.84679952,1502898.98197091
"B2RY04","Dock5","Dedicator of cytokinesis protein 5",691082.134471372,753031.715455161,727483.214927647,758570.54280153,741498.201286693,741767.589592452,725941.873900682,726071.721834085
"B2RY56","Rbm25","RNA-binding protein 25",466527.558120624,433824.434835236,421531.812732832,424023.236343298,406609.79545014,403493.169070765,362700.796152208,379857.05303619
"B5TVM2","Ildr2","Immunoglobulin-like domain-containing receptor 2",62046.008548864,69253.7253689136,80484.6659283818,71364.3548445771,84679.174417885,70832.2311278644,70563.4627013595,78882.6414100081
"B7ZMP1","Xpnpep3","Probable Xaa-Pro aminopeptidase 3",86111.8524918941,80707.3489961318,76679.9229924424,89332.0720344165,79509.4201007367,88609.67745405,79038.6070261081,84517.1890469629
"B7ZNG0","Kif7","Kinesin-like protein KIF7",12030.5548484545,15123.3560891244,14865.9052271425,13984.9183020411,16659.1002174608,15320.180186511,17083.3121789032,14986.7645541748
"B8ZXI1","Qtrtd1","Queuine tRNA-ribosyltransferase subunit QTRTD1",93933.1055687192,96585.9392211378,98044.9290224957,86152.2606153772,95097.0869091242,84682.09338665,80797.7834063101,92322.8280599954
"B9EHT4","Clip3","CAP-Gly domain-containing linker protein 3",2656.46904396778,2199.82690266074,2468.42368767176,2506.50336074284,2435.41980627746,2183.8651457352,2276.94700990864,1749.51555559205
"B9EJ80","Pdzd8","",310740.505870182,284114.4135758,251751.230399101,304583.404547541,298165.827402811,308463.075982085,303528.048119625,283408.496062444
"B9EJ86","Osbpl8","Oxysterol-binding protein",294809.303531511,280074.014689786,303221.494321892,331310.751657745,277576.905794389,346305.166997649,316914.13412832,277429.880451248
"B9EJR8","Dnaaf5","Dynein assembly factor 5, axonemal",72996.0413414852,79072.5990629968,76117.4703882888,78659.8337235627,72850.5942856699,74629.0507109826,70718.3808365737,77517.2809113473
"B9EKI3","Tmf1","TATA element modulatory factor",147467.153097387,177326.765422716,168597.119999248,176293.234384341,176966.282568634,172107.495790591,175159.265911373,176051.125060387
"C0HKD9","","",101863.15347797,104049.893288227,114028.519947324,93469.6884306699,109352.747840902,89341.9747735708,77551.705708135,110464.309629346
"C0HKG6","","",58388.9426629866,62602.5816664713,57110.3849184498,60126.1637540898,64513.994707346,60093.416911304,68082.9694527485,69207.1845730211
"D3YXG0","Hmcn1","",300295.83064388,306312.695159273,292356.029439381,301941.4358669,282675.821539036,293997.671492928,287184.276848671,276551.123194749
"D3YXJ0","Dgkh","Diacylglycerol kinase",5484.20640348647,8990.19096366798,11691.1457109988,7766.44795764088,8170.50719716932,8232.82415021487,8550.85550365673,9771.23922437993
"D3YXK1","Samd1","Atherin",5646.19188350617,3562.98302154601,2567.48916347095,2821.17389610436,2760.89897555863,2432.95482491154,2669.94598475126,2935.82246925494
"D3YXK2","Safb","Scaffold attachment factor B1",254190.028784152,247064.2659765,200491.488217204,232131.476453197,200880.653907172,219446.082708609,225572.396133743,188430.824294669
"D3YYU8","Obsl1","Obscurin-like protein 1",7430.26004425037,5326.06051320926,7220.82879026328,4408.64577170601,6419.83160201827,4414.52957238925,4710.37605544632,4567.71233069317
"D3YZP9","Ccdc6","Coiled-coil domain-containing protein 6",114126.707498258,111942.193749143,99479.2896305895,101999.856686717,98217.4228648108,112332.445675823,100475.569575826,120061.581785232
"D3Z4S3","Ptrhd1","Putative peptidyl-tRNA hydrolase PTRHD1",151359.418187119,176249.654232796,195361.275578453,150661.527226991,165279.972768496,145467.562261827,142629.189742415,155181.722128807
"D3Z7P3-2","Gls","Glutaminase kidney isoform, mitochondrial",648874.288079557,718278.496290278,664832.058402677,650231.06712062,611217.813420313,738003.185095684,690783.36870328,679745.247267012
"D3Z7Q2","Smim20","",23894.854112545,25240.173799451,23479.0247525118,24312.5691737949,28076.6618847172,26133.3465073884,25552.0169137083,29452.8790218466
"E1U8D0","Soga1","Protein SOGA1;N-terminal form;C-terminal 80 kDa form",7883.07676146303,6302.15913745518,7429.09950397006,8124.85838856724,8523.23858426933,7330.87437250597,9216.89309210724,6526.63648912924
"E2JF22","Piezo1","Piezo-type mechanosensitive ion channel component 1",444734.532911892,447387.392132048,479515.940952164,457815.909518579,472474.442740861,506201.261587909,529030.804687835,495229.933132435
"E9PUQ8","Dgkd","Diacylglycerol kinase",1689.01192490456,1730.60657345845,1740.79435877213,2225.2054770764,1702.36093769304,2235.93187818605,1673.18945562677,1700.7014052719
"E9PVA8","Gcn1l1","",1878675.58076874,1817996.09507599,1802546.20965595,1903946.93343114,1848005.12872364,1875119.98759386,1844814.82176774,1903688.65021233
"E9PVB5","Ttc17","Tetratricopeptide repeat protein 17",30621.1967384634,30580.2393412789,25924.9381683029,28319.3608259774,27738.3733133698,28082.7087628051,27386.8400769189,26047.5792833361
"E9PVX6","Mki67","",39571.7995860161,23885.8149133573,25340.1780875108,28188.4669669474,26239.1058752832,25407.2181839887,26848.5823517775,22408.2074899816
"E9PXF8","Sbf2","",7524.38799653689,6680.39865111239,5601.91437203426,6489.40098419694,6230.09770698299,7865.014217279,6057.53827164373,6202.0634097946
"E9PY46","Ift140","",47754.6191067821,34933.7284226351,34430.576215323,35937.8040354203,46891.0084766838,46142.8754202559,37565.8079065974,40939.2793052698
"E9PYH6","Setd1a","Histone-lysine N-methyltransferase",22109.4028093067,22086.6563183342,22785.5968412039,19412.6838932768,22669.9766139136,18605.4491881569,17825.9992865108,18654.1737187426
"E9PYK3","Parp4","",60197.3318528226,64140.9562545193,60171.2749061161,65259.3317688089,60679.169217614,67545.7465604803,66338.7237218013,62646.7063410228
"E9PYL2","Prr12","",6297.19713931027,5575.5575045273,5456.00319529421,3617.57569661456,4585.07818659331,4562.82859244382,4499.52548186503,3951.69005974115
"E9PZJ8","Ascc3","Activating signal cointegrator 1 complex subunit 3",678229.306051563,677509.339276524,705003.869321404,727043.556722246,666969.145484635,751151.149308118,672585.989065308,667752.759101593
"E9Q1P8","Irf2bp2","Interferon regulatory factor 2-binding protein 2",157291.150091565,177302.624903015,194016.236134773,191035.721753426,179825.091799316,190835.717118301,180568.861842308,193523.493842776
"E9Q394","Akap13","",230512.541548406,257652.05723813,255375.931719043,245691.535227889,247580.449819589,251871.298773818,249093.182390961,251425.075079883
"E9Q3L2","Pi4ka","",249378.178158192,222724.04494199,243849.110992773,271222.008717243,241139.744910043,269115.111740955,266041.907140044,265499.343185426
"E9Q414","Apob","Apolipoprotein B-100;Apolipoprotein B-48",28275.5170280807,31210.4656291197,31921.999069702,42409.9262798343,33791.0307125355,45750.8554697018,45370.5909182191,47941.4435570766
"E9Q4N7","Arid1b","",149265.247622619,144810.730277572,141801.226964643,135524.324326304,129701.14498556,132124.398451276,134660.749152084,119531.907233964
"E9Q4Z2","Acacb","Acetyl-CoA carboxylase 2;Biotin carboxylase",3842.35128308048,4321.64060886777,4188.33013650057,3814.15838751659,4736.55581371255,5162.10250135283,4238.07813015559,4706.46347645613
"E9Q555","Rnf213","E3 ubiquitin-protein ligase RNF213",5249068.75411448,5307102.99524815,5507609.00755687,5252244.7461403,4978305.33774243,5086514.43005273,4871626.10146081,4844989.12340577
"E9Q557","Dsp","Desmoplakin",1682.51394003271,3532.58692239582,4772.17763870292,22755.6066158672,3323.05119107095,8409.79026226086,4274.78379283401,3177.63710466443
"E9Q5C9","Nolc1","",291876.762958844,310712.971410311,331630.653927231,289973.193336669,297681.9930751,267470.957782959,262585.503234897,280428.371675252
"E9Q5F9","Setd2","Histone-lysine N-methyltransferase SETD2",80509.7540771611,67650.4089444561,62548.6435300543,65990.8938640879,66985.3496147221,67806.1815198794,64954.7638487835,59482.605933506
