"Leading.razor.protein","Gene.names.syn","Protein.names.syn","pVal.syn","phase.syn","peak.shape.syn","period.syn","S1H","S2H","S3H","S4H","S5H","S6H","S7H","S8H","Av_expr.syn","Amplitude.syn","CV.syn","Gene.names.tot","Protein.names.tot","pVal.tot","phase.tot","peak.shape.tot","period.tot","S1T","S2T","S3T","S4T","S5T","S6T","S7T","S8T","Av_expr.tot","Amplitude.tot","CV.tot"
"A2AJT4","Pnisr","Arginine/serine-rich protein PNISR",0.51410437235543,6,18,24,6899.25101573263,5766.94239385866,5519.83937047254,4377.39384902051,4956.86604855511,3869.73126011304,3285.01639121296,3379.72416936711,4756.84556229157,0.759796503205907,0.26622307242236,"Pnisr","Arginine/serine-rich protein PNISR",0.212860310421286,6,18,24,41645.0634074327,34583.3466095206,32440.994741063,31462.8084533107,33311.2834385623,28536.8253507816,27484.728925688,27059.5371496658,32065.5735095031,0.454865597630564,0.148471671358168
"A2ALU4","Shroom2","Protein Shroom2",0.828159645232816,6,18,24,160933.645833479,156410.985452301,140465.152663643,148025.353772982,150678.678125807,146714.442900557,156823.506725304,141041.329638975,150136.636889131,0.136332434200928,0.0499311489687909,"Shroom2","Protein Shroom2",0.923579946146942,6,18,24,524590.579770361,557790.176064863,544156.652585481,527354.707516219,563522.419170265,501189.88594669,521930.269819207,511886.87699338,531552.695983308,0.117265011906801,0.0410733868601975
"A2AN08","Ubr4","E3 ubiquitin-protein ligase UBR4",0.562915742793792,6,12,24,70380.2057251043,66488.216554915,67760.3137339997,68362.613685089,69933.1798687079,72709.819328895,68345.2295378437,66700.526241791,68835.0130845432,0.0903842753155088,0.030219390182509,"Ubr4","E3 ubiquitin-protein ligase UBR4",0.833148558758315,6,18,24,330023.295378882,285809.037345225,276070.87052143,299672.145282459,288230.043234481,311345.137063955,302745.238182379,265885.583506328,294972.668814392,0.217436117489623,0.0691441543919234
"A2ARV4","Lrp2","Low-density lipoprotein receptor-related protein 2",0.662527716186253,12,12,24,4772.87700902917,4877.91787752286,3995.12272534949,4218.75468572305,3322.22218585935,4112.63362001286,4527.15460921477,2879.61689060303,4088.28745041432,0.488786811386591,0.169434871184795,"Lrp2","Low-density lipoprotein receptor-related protein 2",0.917960088691796,6,12,24,27374.9989233015,23696.1962957958,23462.772510033,26596.1619418915,21873.5413674919,21349.6897889771,18718.1684188106,17697.1924777743,22596.0902155095,0.428295618986534,0.151388904445639
"A2AWA9","Rabgap1","Rab GTPase-activating protein 1",0.739421720733427,18,12,24,28183.4450691277,26533.3750299717,27943.3745865693,29802.7276448567,23478.6424298284,26962.6682064037,28817.7351578642,24854.0804607273,27072.0060731686,0.23360238609344,0.0772719614160363,"Rabgap1","Rab GTPase-activating protein 1",0.00317348377997179,18,12,24,91739.3043312896,92269.718297183,101846.183064552,96760.1104849459,89745.4828017469,100916.767277195,107021.134589025,93650.6264623261,96743.6659135329,0.17857139921407,0.0621029873101489
"A2RSJ4","Uhrf1bp1l","UHRF1-binding protein 1-like",0.201692524682652,24,12,24,9421.9093335198,10163.1048115408,10507.8895897407,10706.6618367445,10766.2281543991,9246.48991695343,9249.26241247638,10996.0010985023,10132.1933942346,0.172668553932692,0.0716459044730778,"Uhrf1bp1l","UHRF1-binding protein 1-like",0.254573170731707,24,12,24,52431.8793924202,67740.8853662359,66326.4633111829,68946.3979036992,67986.7338403432,65366.6551982679,65373.8454743417,72317.8099668425,65811.3338066667,0.302165742953045,0.0890249067579175
"A2RTL5","Rsrc2","Arginine/serine-rich coiled-coil protein 2",0.143394452280207,6,18,24,30621.2053339394,27101.7523184222,25259.9846822084,21932.9015059577,25242.2003304556,26790.1356423064,20428.7817321114,20986.8645161416,24795.4782576928,0.41105977049125,0.140882817826264,"Rsrc2","Arginine/serine-rich coiled-coil protein 2",0.0193935119887165,6,12,24,87416.975405378,69270.2627967269,63575.4136544578,67029.4915506789,69379.6638819174,68105.8121563211,51980.1755426577,60822.111849854,67197.488354749,0.527353041465514,0.149247157150499
"A3KGB4","Tbc1d8b","TBC1 domain family member 8B",0.442350332594235,12,6,24,3236.96008803657,4137.23847346809,2541.26316844936,2541.58510064984,3408.0782420355,3351.12105277379,3050.41170007185,3763.52265934562,3253.77256060383,0.490499958215442,0.169539232480824,"Tbc1d8b","TBC1 domain family member 8B",0.473946784922395,18,12,24,8057.84325683407,8789.29097904826,9575.60833727047,7099.25072614474,8286.79881867247,9147.87095132508,9122.50612199677,9608.09057835555,8710.90747120593,0.2880113077201,0.0982080603664302
"A6H687","Sac3d1","SAC3 domain-containing protein 1",0.739421720733427,12,18,24,923.137904961437,1059.44354870942,1051.0983785733,801.206797896655,1262.0233807446,1378.33673418768,1532.27336224949,1339.80750256259,1168.41595123565,0.625690331923065,0.213411209646574,"Sac3d1","SAC3 domain-containing protein 1",0.764966740576497,12,6,24,3800.23858913152,4656.96944512686,3667.13795016912,2255.82717069765,3734.00203954777,4488.07419963292,3264.08921219098,4856.5586047494,3840.36215140578,0.677209943103867,0.220177200298051
"A6H8H2","Dennd4c","DENN domain-containing protein 4C",0.914315937940762,6,12,24,21419.1530044948,20024.6024589729,19340.9940287334,18648.1027909553,15484.2393625126,14372.2460935139,14477.844662419,14951.4230028372,17339.8256755549,0.40640010129487,0.162694972096673,"Dennd4c","DENN domain-containing protein 4C",0.828159645232816,6,18,24,141663.655751997,114931.055742003,118948.938852346,112216.464431276,106967.722510324,115169.536595101,98368.3885645483,98056.1038915208,113290.23329239,0.384918898948067,0.122088650879235
"A8Y5H7","Sec14l1","",0.00762195121951219,24,6,24,10220.4553763588,13250.6289996578,14024.9590342848,15081.586209375,11299.9045479864,12941.9673373884,13792.663121195,13876.0282493832,13061.0241094537,0.37218603933957,0.120821909309139,"Sec14l1","",0.00152439024390244,24,6,24,12654.0127672607,17082.1802953508,17601.6433216133,18039.5250293889,15157.0160283276,16703.359487417,17256.1112493322,18115.1451358882,16576.1241643223,0.329457737797463,0.110989227685698
"B0V2N1","Ptprs","Receptor-type tyrosine-protein phosphatase S",0.220028208744711,6,12,24,76942.4796504787,71005.8378409739,59708.7000627874,69663.928963595,73801.5540002125,65571.486992381,69934.4101412933,67025.2472517514,69206.7056129342,0.249018927213181,0.0758947845103833,"Ptprs","Receptor-type tyrosine-protein phosphatase S",0.753526093088858,6,18,24,109701.920435267,103462.765020153,98032.3802243496,110219.645822274,113162.787100624,112155.279298637,118347.786662925,111663.616789016,109593.272669156,0.185370926004777,0.0568658384951884
"B1AZI6","Thoc2","THO complex subunit 2",0.881513303769401,12,6,24,8994.33696110849,11691.6453161516,8900.5579116241,9267.8461128399,10850.4381307898,9022.52158844222,10783.8304215484,10151.5828815079,9957.84491550155,0.280290306608668,0.106816933865958,"Thoc2","THO complex subunit 2",0.442350332594235,6,18,24,24966.593397819,27793.4297121861,24770.0187468328,21471.5736825778,28052.6909653406,24803.3583657636,28611.1435151332,24419.5122613582,25611.0400808764,0.278769226474581,0.0934011337874423
"B2RQC6","Cad","CAD protein;Glutamine-dependent carbamoyl-phosphate synthase;Aspartate carbamoyltransferase;Dihydroorotase",0.963137472283814,6,18,24,10752.8194049181,8838.35575878013,10222.9141388528,9678.6682050903,10119.9252491781,10709.371657609,10471.8502395498,9045.72630241965,9979.95386954974,0.191830911361151,0.0730137154402227,"Cad","CAD protein;Glutamine-dependent carbamoyl-phosphate synthase;Aspartate carbamoyltransferase;Dihydroorotase",0.212860310421286,6,18,24,22967.6785472164,20351.3173994902,20515.9427588905,19464.1165692868,22373.5164433673,20498.8733945468,21694.7842770681,19560.7997901499,20928.378647502,0.167407233830213,0.0613411116485543
"B2RQE8","Arhgap42","Rho GTPase-activating protein 42",0.110014104372355,18,18,24,1074.34796851188,911.171667442916,1131.85689397148,1514.87559671846,1261.50356607552,929.448313020584,1789.54916399774,1208.7293437725,1227.68531418889,0.71547446760423,0.242707023783627,"Arhgap42","Rho GTPase-activating protein 42",0.143394452280207,6,6,24,3110.59367915223,2276.40700966252,1805.51493142134,2988.16521102831,2696.79850317965,2063.16141172766,2787.07803071197,3078.79825552506,2600.81462905109,0.501796142313706,0.189987813179493
"B2RUR8","Otud7b","OTU domain-containing protein 7B",0.026330376940133,12,6,24,2633.61418900269,2211.68125439575,1863.01540694431,1688.23283930068,2131.15350744398,2718.40039957914,1572.20021696247,2094.17358855722,2114.05892527328,0.542179864957408,0.194486605424643,"Otud7b","OTU domain-containing protein 7B",0.212860310421286,6,18,24,10130.681989648,8476.5945470257,7132.52400765576,6152.5522572513,7669.08572025076,7435.53587841229,7523.04550078199,7487.77315358894,7750.97413182684,0.513242550515271,0.149142932483565
"B2RXC1","Trappc11","Trafficking protein particle complex subunit 11",0.442350332594235,6,18,24,57974.4427101085,46669.0793995528,46664.6011580514,51176.4409170492,55801.2383678032,48881.188949077,52754.8483099625,42141.9357462236,50257.9719447285,0.315024788133051,0.103910105874521,"Trappc11","Trafficking protein particle complex subunit 11",0.963137472283814,6,18,24,113163.78097607,96504.8770986448,88948.852189716,104484.533853998,116980.825845006,99556.5545623577,127195.026952084,87140.3086773486,104246.845019403,0.384229549271061,0.134538216707742
"B2RXS4","Plxnb2","Plexin-B2",0.917960088691796,6,12,24,453319.831762395,389348.590314894,370312.860655252,373344.923438622,368365.538977416,331913.772745276,334981.446390657,339259.198298355,370105.770322858,0.328030711088918,0.106875347258865,"Plxnb2","Plexin-B2",0.258110014104372,6,18,24,982363.029549868,885612.787984804,833496.570060285,822310.350451774,836829.016434391,799050.21598083,797208.310177623,797388.542862305,844282.352937735,0.219304263233724,0.0747632371426205
"B2RY56","Rbm25","RNA-binding protein 25",0.421808885754584,6,18,24,73229.9410302624,66891.3009820086,61518.804718264,68219.7791706879,64917.0549478779,70088.3166193634,65626.8991259364,60840.5735623597,66416.583769595,0.186540269985618,0.0626849499571865,"Rbm25","RNA-binding protein 25",0.314174894217207,6,18,24,259854.354115637,256345.166345425,220244.870729606,245714.876392091,229865.512097673,233143.739871831,216806.49252641,209930.184203102,233988.149535222,0.213361958764583,0.0789192321985257
"B5TVM2","Ildr2","Immunoglobulin-like domain-containing receptor 2",0.0736953455571227,24,12,24,20028.0951375891,21652.3186803978,22409.1987746659,22601.6357123859,25899.76588684,19602.2913199687,22148.8489903213,27608.4654015003,22743.8274879586,0.352015248346847,0.120464781105328,"Ildr2","Immunoglobulin-like domain-containing receptor 2",0.753526093088858,6,6,24,36768.6089058295,42924.8822426149,46207.6915498599,42830.5985092021,49195.2602815964,41986.9739905198,37095.2605339122,43209.6381194668,42527.3642666252,0.292203657340672,0.098039146440476
"B9EJ86","Osbpl8","Oxysterol-binding protein",0.750554323725055,12,6,24,1138.79203512695,1207.47481378534,910.436228764812,1411.55270455835,1255.43906160294,1405.37088595644,722.923892161818,826.151378120756,1109.76762500968,0.620516220583141,0.235932130274064,"Osbpl8","Oxysterol-binding protein",0.710920177383592,12,6,24,22140.8331533856,22364.6472202578,21841.7438576573,23274.3210810383,21660.2440816133,23510.8120315522,20908.1977034605,23214.259873441,22364.3823753007,0.116373181446139,0.0407152811350977
"B9EJR8","Dnaaf5","Dynein assembly factor 5, axonemal",0.739421720733427,18,12,24,19796.6568809628,23516.571078739,24267.882307221,23346.6273497393,21907.6758640947,19725.1093952328,20735.8972628462,23082.7817108799,22047.4002312145,0.206045740738021,0.0804957229204289,"Dnaaf5","Dynein assembly factor 5, axonemal",0.51410437235543,24,6,24,40602.3770890404,45771.371777209,46737.6241834689,45437.9704608832,42941.0234547993,41304.7413515015,41584.7829352365,46264.2310185956,43830.5152838418,0.139976613432384,0.0567830990457404
"B9EKI3","Tmf1","TATA element modulatory factor",0.963137472283814,18,18,24,18652.3544111542,18271.1381240347,21214.8391216506,19464.4129064536,21353.9866057479,20893.2480055555,21114.4222026999,19242.232684358,20025.8292577068,0.153943611624811,0.0626253025750187,"Tmf1","TATA element modulatory factor",0.881513303769401,6,18,24,33340.9317394915,32309.5236085135,36796.178740046,36486.0197678598,38037.4384098247,37476.2194538225,37703.8008712617,32842.3608968513,35624.0591859589,0.160787819585951,0.0667943953472036
"C0HKG6","","",0.473946784922395,24,12,24,8678.56103469463,6986.13416996802,7121.60149580306,6900.80360343951,7283.72977890718,6027.80583239514,9103.96537567028,9392.60136738686,7686.90033228308,0.437731125621651,0.157379205228689,"","",1,6,18,24,53049.701857143,54767.2788329533,51200.4862029829,52072.4657304186,58653.5480928156,54284.2729971529,61479.7380305417,59912.0519883951,55677.4429665504,0.184621478284021,0.0689519415662221
"D3Z7P3-2","Gls","Glutaminase kidney isoform, mitochondrial",1,6,18,24,153890.563132837,166527.32703028,160165.898546411,155912.861362834,149498.698826998,140314.335285189,142213.03147654,147037.283600531,151944.999907702,0.172516316831839,0.0588552185844935,"Gls","Glutaminase kidney isoform, mitochondrial",0.753526093088858,6,18,24,194710.742487597,212394.003742107,204367.519694617,198085.591361724,191530.912968692,184859.93480079,181211.013155739,190253.075624166,194676.599229429,0.160178422623966,0.052333924329012
"D3Z7Q2","Smim20","",0.881513303769401,24,18,24,9406.03180986102,10256.735894398,9877.08616678374,10326.3624726753,11818.8528592832,10778.2226808402,10499.3860014208,10871.8973644366,10479.3219062124,0.230245913907064,0.0686781733184479,"Smim20","",0.923579946146942,24,18,24,24041.2793381443,25453.0083342551,23882.4486264509,24323.2558724802,28294.3787957286,26121.5719564296,25494.1687000318,29456.995648663,25883.3884090229,0.215371609548185,0.0783767783710947
"E2JF22","Piezo1","Piezo-type mechanosensitive ion channel component 1",0.846614950634697,24,12,24,45253.3707546889,45813.8457656336,41368.8847172855,42632.3489446081,46876.6269501714,42155.7602489412,49218.0632693755,47407.1135877646,45090.7517798086,0.17407513164606,0.0619662244915358,"Piezo1","Piezo-type mechanosensitive ion channel component 1",0.881513303769401,6,18,24,153458.694489318,143371.36639021,148064.910580118,145645.469986353,158088.982776634,156751.281813303,168863.518603409,148554.426108217,152849.831343445,0.166779066677015,0.0543207466506845
"E9PVA8","Gcn1l1","",0.750554323725055,6,12,24,158045.617677143,139448.590173566,130892.019683166,147173.1868603,134678.089525343,124079.871516279,133879.057788656,121026.166591047,136152.824976937,0.271896312782101,0.088711362152212,"Gcn1l1","",0.51410437235543,6,6,24,325586.181296637,288094.891155761,289775.786550248,329412.642122286,308788.886668095,304725.41493478,309494.161631093,290122.632509089,305750.074608499,0.135135701992651,0.0522834473243892
"E9PVX6","Mki67","",0.0807926829268293,6,18,24,15055.6283164492,8783.53711362128,7593.56952449027,8163.29871309383,8666.17689132165,8381.09330583891,8404.0063089089,6233.90492274014,8910.15188705802,0.99007553468562,0.293376373863478,"Mki67","",0.442350332594235,6,6,24,25693.569167836,16661.7296562411,16718.5597854202,18260.4937767715,17548.0768703109,16247.2214585096,17285.0237992968,14137.5691765466,17819.0304613666,0.648520132245351,0.191061671661717
"E9Q3L2","Pi4ka","",0.0736953455571227,18,12,24,14954.7593426169,17554.5203390382,18078.3557841554,16533.6383267303,16153.2408416167,16017.9880517513,17617.38044508,17750.9365741796,16832.602463146,0.185568241653507,0.0645852625444314,"Pi4ka","",0.0736953455571227,18,12,24,21960.2963696654,26654.1015882032,27039.4567973615,24905.9535214788,23586.0707947713,25168.9977997237,26440.1139061743,26886.8175726685,25330.2260437558,0.200517769518609,0.0714573010096324
"E9Q4N7","Arid1b","",0.0315964523281596,6,18,24,5018.23144815642,4374.08849758956,3484.99294609097,3156.78105894161,4639.2592857481,3403.06307471151,4109.25352988555,3203.41481493818,3923.63558200774,0.474419795189618,0.180675085135637,"Arid1b","",0.0881374722838137,6,18,24,8436.60625357432,7418.80392692985,5941.88770381784,5049.24947360582,7060.05352680267,5706.8385623316,6874.94545221103,4940.86709185852,6428.65649889146,0.543774451523207,0.190371192096862
"E9Q555","Rnf213","E3 ubiquitin-protein ligase RNF213",0.881513303769401,6,18,24,960381.065030268,914091.07414483,996140.703002782,910810.408138664,830555.893007951,755717.700618512,769390.673890914,723869.480545255,857619.624797397,0.317473171771049,0.118711689078903,"Rnf213","E3 ubiquitin-protein ligase RNF213",0.753526093088858,6,18,24,2057090.20002532,2052302.52977195,2263887.47547799,2058373.32078603,1959196.12920366,1880639.94118002,1818970.98787811,1839128.63032565,1991198.65183109,0.223441537182008,0.0742431933091978
"E9Q634","Myo1e;Myo1f","Unconventional myosin-Ie;Unconventional myosin-If",0.753526093088858,12,18,24,3107.23138002449,3031.45015413773,4022.24851021503,5281.2222077825,3934.56386603392,4442.30851948506,3514.11392997986,2695.92285117184,3753.6326773538,0.688745963931989,0.225790320707244,"Myo1e;Myo1f","Unconventional myosin-Ie;Unconventional myosin-If",0.920310296191819,18,6,24,25648.6451156015,27396.4548440186,33588.3226149958,25390.6623473198,28496.6733377784,31304.3327301654,27422.4981038595,28627.4493667426,28484.3798075602,0.287794936139007,0.0974600003834941
"E9Q6J5","Bod1l","",0.0734478935698448,6,18,24,3789.03092537237,4482.57501482187,3208.37182438225,2824.88343211753,3305.41484489248,3287.33260478009,2830.67632034109,2879.3091953946,3325.94927026278,0.498411565541818,0.17098412855511,"Bod1l","",0.0289634146341463,12,6,24,11255.0161385257,10430.5026302928,6949.56419863298,7664.8595985241,9461.14679189915,10826.5196486069,7644.84535412481,8252.28292495473,9060.59216069515,0.475184387900139,0.181991673334776
"E9Q735","Ube4a","Ubiquitin conjugation factor E4 A",0.917960088691796,12,12,24,9695.56312363889,8572.63179178873,8115.86980798504,9260.93157894773,7602.37617105234,9794.26055766124,8614.83845896802,7274.4275525723,8616.36238032679,0.292447426635899,0.107886501108172,"Ube4a","Ubiquitin conjugation factor E4 A",0.51410437235543,12,6,24,22460.9053509071,22405.1335097167,18509.1710061454,21028.2829147509,19384.5820961655,25599.7217009383,22054.6766847224,20700.4002770957,21517.8591925553,0.329519337000127,0.101113911668548
"E9Q7D5","Arhgef5","",0.254573170731707,6,12,24,9136.30070205764,8118.80873320263,7657.61938153021,9960.18851355715,9544.23050317354,8658.01617133536,7803.63491424771,7250.42732631496,8516.1532806774,0.31819074856138,0.11360071669376,"Arhgef5","",0.923579946146942,12,6,24,65756.0170552797,67230.9882736705,65334.8766355276,71762.6875579793,72024.2210108547,74840.7584979036,71211.7023486171,69745.1703291806,69738.3027136266,0.13630790387043,0.0481916293617802
"E9Q7E2","Arid2","",0.917960088691796,12,12,24,26930.1480692615,27352.8300825086,28126.2415697123,25797.1381611237,24243.289808043,25636.8810031823,23516.458496582,22439.1858999192,25505.2716362916,0.22297569502067,0.0775203142154559,"Arid2","",0.662527716186253,12,12,24,72221.2512919395,78816.4486187605,75163.3839252327,71288.6468701434,66664.8451368764,69993.0389533919,65948.3332528441,65364.4110817295,70682.5448913648,0.190316259236365,0.0668495875436605
"E9Q7G0","Numa1","",0.562915742793792,6,12,24,28042.2285057625,25639.2243426191,22906.2297908905,30470.967956007,29085.5367220662,25550.0072121051,27021.1184816529,22586.366774617,26412.709973215,0.298515418879234,0.106046065172975,"Numa1","",0.881513303769401,12,6,24,95074.6116688127,95708.855970756,77082.4558495703,100065.820726019,78780.8587153162,88160.4951995214,88598.1495374722,74183.6839672535,87206.8664543402,0.296790124574845,0.110114433913339
"E9Q8D0","Dnajc21","",0.212860310421286,12,18,24,1174.65655915621,1431.56171823241,1334.4235915986,1268.02673676805,1232.22067305076,1577.90345005368,1026.3496308059,1236.7296077394,1285.23399592563,0.429146615321633,0.129594695879838,"Dnajc21","",0.258110014104372,6,18,24,14293.2269892335,12840.9537812569,11588.0734106413,10611.636385255,11944.7346449784,12233.6118101441,13686.3750803729,10718.6651506397,12239.6596565652,0.300791909847243,0.107626383076019
"E9QAM5","Helz2","Helicase with zinc finger domain 2",0.750554323725055,18,12,24,970.770475937796,789.126950949936,1046.04452511926,1132.10675625915,1009.99990201967,1177.35249725515,1628.18959943355,922.757417060027,1084.54351550432,0.773655124472757,0.231131498103539,"Helz2","Helicase with zinc finger domain 2",0.473946784922395,18,12,24,2358.18585212174,2290.99044312653,3219.92348942005,3602.47215781965,2283.19929814946,2548.90538062445,3462.16312591653,2114.56352436902,2735.05040894343,0.544015067724262,0.217593655251009
"E9QAT4-2","Sec16a","",0.920310296191819,24,6,24,88737.891976591,81809.50479814,85783.2834098935,97868.0163725825,81254.4834539048,90400.0772331287,95002.0498899429,81822.8226503749,87834.7662230698,0.189145296709564,0.0719264731315712,"Sec16a","",0.923579946146942,6,6,24,362686.817241331,316439.583022146,331248.945672473,351492.131746758,327784.387484455,342177.131524452,344213.453059028,324870.75496187,337614.150589064,0.136982511362434,0.045247082752567
"F6ZDS4","Tpr","Nucleoprotein TPR",0.613540197461213,6,18,24,78353.048192045,65186.1272703631,54011.2641563454,64973.2573397315,65062.3344843075,68756.9605833806,71892.7168112112,60503.6678221455,66092.4220824412,0.368299167570778,0.110208279198194,"Tpr","Nucleoprotein TPR",0.51410437235543,6,18,24,187342.973767853,169442.413102338,152742.870791028,169327.59052054,168781.475220225,178348.460655345,174085.189377121,152347.651611683,169052.328130767,0.207008815217855,0.0704055911839047
"F8VPU2","Farp1","FERM, RhoGEF and pleckstrin domain-containing protein 1",0.662527716186253,12,6,24,32300.019967861,29455.941127084,25641.3443382554,25705.1847382634,22195.618536453,27709.6916833128,24811.6122347729,24990.2971294981,26601.2137194376,0.379847383581024,0.117841676552926,"Farp1","FERM, RhoGEF and pleckstrin domain-containing protein 1",0.184312638580931,6,18,24,237676.983978397,216538.335162411,201393.832322262,203249.71099909,202802.93812326,210280.380587414,202412.145472571,195800.143302655,208769.308743507,0.200589066121743,0.0634266625817123
"F8VQB6","Myo10","Unconventional myosin-X",0.920310296191819,12,18,24,75128.7060654573,81404.6419035508,83077.9247139876,86307.705937322,83923.4718722887,92595.6148621691,90120.8771689397,77565.3466164337,83765.5361425186,0.208521423022872,0.0704725566740104,"Myo10","Unconventional myosin-X",0.920310296191819,12,18,24,87938.5053589701,97406.4555031849,100859.753382217,103519.857596985,101513.91363813,111053.561675432,109076.587426824,93618.0107702328,100623.330668997,0.229718656327323,0.0760406039787317
