"Leading.razor.protein","Gene.names","Protein.names","pVal","phase","peak.shape","period","S1","S2","S3","S4","S5","S6","S7","S8","Av_expr","Amplitude","CV"
"A2A791","Zmym4","Zinc finger MYM-type protein 4",0.76163610719323,6,6,24,99402.9235771323,90421.4443279566,93116.8829606622,93324.9419591167,85149.9414361058,86649.37510699,89418.8580385945,76395.3758598715,89234.9679083037,0.257831075155459,0.0763413669323258
"A2A7S8","Kiaa1522","Uncharacterized protein KIAA1522",0.753526093088858,12,18,24,7265.95385534786,6228.9180248271,5787.16782575494,4682.93342380337,5405.99751767254,5794.60187377134,7359.62335823606,8214.92925534916,6342.5156418453,0.556876172010226,0.185081362859168
"A2A870","Fbf1","Fas-binding factor 1",0.923579946146942,18,18,24,15542.0658732025,13712.3753910301,15915.269207742,15679.1234216735,15317.3798278751,14708.9532145102,13813.7483762624,11504.8594158971,14524.2218410241,0.303658938848453,0.101618102762907
"A2A8L1","Chd5","Chromodomain-helicase-DNA-binding protein 5",0.963137472283814,12,6,24,27403.8587716996,22930.900191659,20199.4200961671,24116.1839542047,20769.2848670469,27680.4578006216,23512.7827668599,25304.3940997854,23989.6603185055,0.311844253112815,0.114817600763936
"A2A8L5","Ptprf","Receptor-type tyrosine-protein phosphatase F",0.920310296191819,6,18,24,34465.961558782,31572.2103312927,27801.4025440856,30638.2664405054,26811.0241852567,25604.6767084371,23849.6653150513,22503.0156453828,27905.7778410992,0.428690645411086,0.145934233762637
"A2A8U2","Tmem201","Transmembrane protein 201",0.846614950634697,12,12,24,43749.0755750628,44145.4063203837,40521.6327114671,42490.297103739,46531.1416508489,46462.2653179554,47356.4684626778,44382.1126131441,44454.7999694099,0.153747981228436,0.0514991191493997
"A2A8Z1","Osbpl9","Oxysterol-binding protein-related protein 9",1,6,18,24,58554.3813578239,62027.338083578,66224.0031014903,63040.6033507597,71005.6965115616,64717.307422661,60106.3045861183,63804.3810892038,63685.0019378996,0.195514089265149,0.0603531876577626
"A2A9C3","Szt2","Protein SZT2",0.881513303769401,12,6,24,57008.6778478502,50588.2381897421,46874.5992628714,53161.251851066,48162.4920777585,59539.4228261411,53800.9340957888,52361.3802772418,52687.1245535575,0.240377960850675,0.0804818365447479
"A2AAY5","Sh3pxd2b","SH3 and PX domain-containing protein 2B",0.00762195121951219,6,18,24,296573.135110797,291356.15452214,255401.240565266,253036.77687745,289088.603671461,270303.327249998,268537.800208034,246111.408695768,271301.055862614,0.185999004886227,0.0708569631113947
"A2ABV5","Med14","Mediator of RNA polymerase II transcription subunit 14",0.080394922425952,6,12,24,170841.30511648,150339.313878703,149890.627777113,153252.350837875,154746.345812954,151409.450184205,141122.04971319,125368.684922245,149621.266030346,0.303918162174971,0.0858126697265604
"A2ADY9","Ddi2","Protein DDI1 homolog 2",0.846614950634697,24,12,24,137756.350999676,142932.20985371,167273.627550047,141041.909743715,149485.722113362,139401.078851289,131107.291427073,150397.832846696,144924.502923196,0.249552942349167,0.0756815018495685
"A2AF47","Dock11;Dock9","Dedicator of cytokinesis protein 11;Dedicator of cytokinesis protein 9",0.750554323725055,12,12,24,684207.730618731,600993.954698346,610860.98439204,592667.30098208,554275.344514455,607515.25214911,554674.190183428,539642.554589529,593104.664015965,0.243743111123656,0.0773376636717474
"A2AG58-2","","Uncharacterized protein CXorf23 homolog",0.846614950634697,6,12,24,33586.2272354887,24377.0490727291,21155.5996629903,23072.5480713144,21438.1247870172,17585.1843452679,24061.0678534849,23764.0820455654,23629.9853842322,0.677149927519547,0.194369260190922
"A2AGH6","Med12","Mediator of RNA polymerase II transcription subunit 12",0.920310296191819,12,6,24,27670.9259499326,26257.073740406,26886.4918090436,27335.4600149082,26116.2215845884,28228.8805428179,23146.1861107859,22313.1942331084,25994.3042481989,0.227576251059668,0.0824388360530262
"A2AGT5","Ckap5","Cytoskeleton-associated protein 5",0.828159645232816,24,12,24,914373.316906323,881189.346302828,875181.423341679,982710.65147294,896405.309394035,953276.838408086,1016829.46693176,945358.524320097,933165.609634719,0.15179303879997,0.0540013955437759
"A2AH22","Ambra1","Activating molecule in BECN1-regulated autophagy protein 1",0.0315964523281596,18,6,24,10739.3124260626,11220.6214473844,12256.9444366482,7741.86277932114,11080.5626330298,9937.24990939389,12101.8293868321,9321.96445010978,10550.0434335977,0.427968063425057,0.142666470424972
"A2AHC3","Camsap1","Calmodulin-regulated spectrin-associated protein 1",0.914315937940762,6,12,24,1753.71328855712,2524.12112089783,1826.77954145147,2457.23426844746,2541.59169588714,1792.4529780502,1444.30803020345,1821.60872297665,2020.22620580891,0.543148912002321,0.209020015254265
"A2AI05","Ndor1","NADPH-dependent diflavin oxidoreductase 1",0.920310296191819,18,18,24,16800.1685727481,15257.4931410056,17867.6804017167,21235.0775149675,20203.6079167378,20484.5112250505,22515.5662670251,17567.453824777,18991.4448580035,0.382175931335774,0.130787858646889
"A2AI08","Tprn","Taperin",0.110014104372355,6,18,24,246559.166664072,244201.638126841,243315.556710629,224465.837600233,238039.181856874,238639.764416887,237559.508825437,229650.2722106,237803.865801447,0.0929056766566012,0.0315150949145982
"A2AIG8","Accs","1-aminocyclopropane-1-carboxylate synthase-like protein 1",0.750554323725055,24,6,24,20629.6167144402,20238.8224682897,21291.8780657274,23983.088290048,17005.1260115328,28045.7353049363,22242.159676849,21733.4749226886,21896.237681814,0.504224034002577,0.145404918739439
"A2AIV2","Kiaa1429","Protein virilizer homolog",0.51410437235543,18,6,24,10173.6535601324,12324.4251844421,12225.1055836277,8493.63606336337,9048.51003812776,8340.19912375165,9176.23168132062,6892.02476137862,9584.22324951803,0.566806540460821,0.198237554058283
"A2AJ15","Man1b1","Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase",0.846614950634697,6,12,24,266393.151545132,257176.519084906,293849.798913668,291648.046267744,302971.760313621,300464.349533609,281714.489150592,295909.533327522,286265.956017099,0.159974458248118,0.0578838940812094
"A2AJ88","Pnpla7","Patatin-like phospholipase domain-containing protein 7",0.881513303769401,12,18,24,100818.463167287,94844.1286247844,89300.8848887825,104304.445631139,103946.492415806,111874.511673118,110541.081030113,110223.582031738,103231.698682846,0.218669527600116,0.0775747653521433
"A2AJI0","Map7d1","MAP7 domain-containing protein 1",0.828159645232816,6,18,24,139228.237401506,122289.005151674,93742.1006922669,119055.947565608,120139.553917822,118353.963283764,131722.456254969,101748.481559241,118284.968228356,0.384547059449053,0.12437614745459
"A2AJT4","Pnisr","Arginine/serine-rich protein PNISR",0.0650406504065041,6,12,24,83441.7376796954,73586.0512959127,58561.5876714057,63490.679964626,66147.9242084971,65282.0592646065,60671.4246007387,59917.1134017969,66387.3222609099,0.374772609603198,0.125785266609952
"A2AKG8","Focad","Focadhesin",0.822028465187845,24,18,24,68088.855994619,59586.0022429595,58325.1284190376,69004.1777258819,61621.1330997624,70327.0622665173,68884.7535972097,67947.0411294621,65473.0193094312,0.183311140589951,0.0732991103154612
"A2AKM2","Hacd4","Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 4",0.0881374722838137,24,18,24,10938.8933899837,9036.56316953874,8766.3313308274,11005.0762069013,9803.9208834721,10305.9715166334,8645.51747582739,9940.24283725307,9805.31460130464,0.24064079807903,0.0944901426674307
"A2ALU4","Shroom2;Shroom4","Protein Shroom2;Protein Shroom4",0.212860310421286,6,18,24,727301.809318712,749819.065630987,741614.697185277,699578.950469417,758992.31977442,717887.800666453,722772.031748025,703587.57552412,727694.281289676,0.0816460577369194,0.0291744120731959
"A2ALW5","Dnajc25","DnaJ homolog subfamily C member 25",0.917960088691796,24,12,24,37433.0342796242,29358.6896228714,34080.7544225828,41676.3203564782,38550.2823795735,38494.9409843819,40682.5694392912,34539.0878735875,36851.9599197988,0.334246285961825,0.109048753096953
"A2AN08","Ubr4","E3 ubiquitin-protein ligase UBR4",0.881513303769401,6,18,24,1540455.42177475,1430489.90006789,1392442.11161454,1495899.42241984,1408879.74074255,1505434.10244344,1496583.77501934,1429953.21802256,1462517.21151311,0.101204491130109,0.0366072641258091
"A2APB8","Tpx2","Targeting protein for Xklp2",0.442350332594235,6,18,24,28656.1132848605,26480.9155941136,21326.9616426225,18565.2653793617,20901.6773447788,16849.7670736858,20855.0720030014,14737.5662657757,21046.667323525,0.661318336301505,0.220783978499939
"A2APV2","Fmnl2","Formin-like protein 2",0.846614950634697,18,12,24,32839.0518035812,27520.08871762,29647.5490311641,36860.0937972063,35598.7038484244,37970.7282598038,39545.0618728284,35068.7624248555,34381.2549694355,0.349753758724004,0.120180112196361
"A2APY7","Ndufaf5","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 5",0.828159645232816,6,18,24,170819.026311205,159091.938060617,145673.906306709,154310.007183903,148596.801191448,137684.09224615,147411.873193513,137461.057504496,150131.087749755,0.222192280804036,0.0742925550046709
"A2AQ19","Rtf1","RNA polymerase-associated protein RTF1 homolog",0.254573170731707,12,12,24,25346.7824179824,25546.2096100074,27346.9384063866,22892.8491775717,25286.9632467949,24917.274283512,22952.5384417682,20025.800067371,24289.4194564243,0.301412652210559,0.0925202801612475
"A2AQ25","Skt","Sickle tail protein",0.923579946146942,6,18,24,256452.905601596,229978.442284563,218891.607527234,221061.037242088,216507.109992152,213833.714398416,228511.516978136,193450.272617296,222335.825830185,0.283366986625088,0.0800006933114332
"A2AQH4","Bcorl1","BCL-6 corepressor-like protein 1",0.753526093088858,12,18,24,20103.8369099522,17700.2813549623,15557.4370029362,18025.1813415746,15056.6354220563,16811.2741586443,25511.8154736319,16581.4284984571,18168.4862702769,0.575456859533751,0.184636513047112
"A2AR02","Ppig","Peptidyl-prolyl cis-trans isomerase G",0.710920177383592,6,18,24,111819.737212041,106113.197097094,105176.203433817,94825.2302505564,106767.741728616,104821.171218061,107405.276710014,106383.056969785,105413.951827498,0.161216866144007,0.0454654397926016
"A2ARV4","Lrp2","Low-density lipoprotein receptor-related protein 2",0.739421720733427,6,12,24,106639.636500557,94232.7831903406,84999.5978023943,97188.3694389287,78168.9892482718,85260.5912511511,74702.6471288101,69164.7285683308,86294.6678910981,0.434266784357044,0.144748988971869
"A2ARZ3","Fsip2","Fibrous sheath-interacting protein 2",0.710920177383592,18,18,24,185758.821815142,189949.684450451,214608.065024535,186185.826335491,201666.411859425,169855.052477795,199866.473020383,182642.860756708,191316.649467491,0.233921159874507,0.0717123851470051
"A2ASQ1","Agrn","Agrin;Agrin N-terminal 110 kDa subunit;Agrin C-terminal 110 kDa subunit;Agrin C-terminal 90 kDa fragment;Agrin C-terminal 22 kDa fragment",0.930570953436807,12,18,24,175253.622501177,191822.59248877,191377.565841301,183087.995131548,202634.742477236,211830.056873362,183000.04623078,204810.863657835,192977.185650251,0.189537609064709,0.0650799868762015
"A2AT37","Upf2","",0.914315937940762,12,12,24,427359.747536926,409254.738813286,384782.982706663,423953.232763263,410629.110717282,466591.86967536,454712.785066941,394652.663018523,421492.14128728,0.194093504848855,0.0665863944553213
"A2ATU0","Dhtkd1","Probable 2-oxoglutarate dehydrogenase E1 component DHKTD1, mitochondrial",0.914315937940762,24,12,24,34403.1167622357,32302.8578613771,43949.7848827,39425.1474018994,44877.6111854622,44416.7720720798,43906.9641181849,47369.2104503824,41331.4330917902,0.364525288913778,0.13099291535546
"A2AVZ9","Slc43a3","Solute carrier family 43 member 3",0.416574279379157,18,12,24,9094.76528335252,11653.2212202726,10788.7068833501,10172.7346276426,10564.7477847237,12788.7645368092,13473.4620448151,13231.0959544247,11470.9372919238,0.381720922190502,0.137824110712788
"A2AWA9","Rabgap1","Rab GTPase-activating protein 1",0.881513303769401,18,18,24,469846.357479744,475529.853947387,479591.887770356,499419.362961001,507021.494679645,498940.201207631,516770.745376675,492359.51752258,492434.927618127,0.095290535388911,0.0330762970260058
"A2AWP8","Arhgef10l","Rho guanine nucleotide exchange factor 10-like protein",0.450332594235033,24,12,24,28801.8538027006,26060.9722174586,27441.2381939948,29943.5623655748,31675.3301430664,29135.9964749139,32591.6846458903,33934.0385313839,29948.0845468729,0.262890479743466,0.0885490816007793
"A2BDX3","Mocs3","Adenylyltransferase and sulfurtransferase MOCS3;Molybdopterin-synthase adenylyltransferase;Molybdopterin-synthase sulfurtransferase",0.416574279379157,6,12,24,49620.376220201,40447.4563193347,42844.348017641,44908.8269950727,44797.9177913989,45091.7149481888,43490.3226488351,43937.6577234644,44392.3275830171,0.206633001698598,0.0585138835298594
"A2BE28","Las1l","Ribosomal biogenesis protein LAS1L",0.0736953455571227,12,12,24,28836.7572642979,30390.7461170205,29832.3867546384,28123.5680203226,30662.5964637304,30785.9648890237,25745.664582726,25115.5981948706,28686.6602858288,0.197665627077345,0.0771303227837745
"A2BH40","Arid1a;Arid1b","AT-rich interactive domain-containing protein 1A",0.254573170731707,18,12,24,71482.2893514099,68065.787719191,73265.1553071926,70701.3449151913,62984.4317438355,67464.9114388932,72410.7050737471,65023.9349514671,68924.820062616,0.149158511462451,0.0531838891873134
"A2CG49","Kalrn;Arhgef25","Kalirin;Rho guanine nucleotide exchange factor 25",0.51410437235543,18,18,24,226534.985765813,230348.475888859,253437.594514875,225393.538075962,227311.969588763,220862.024328981,230608.707434477,235330.906148298,231228.525218253,0.140880413241171,0.0429406953273069
"A2CG63","Arid4b","AT-rich interactive domain-containing protein 4B",0.442350332594235,18,6,24,72112.7795406901,60596.6466044648,62269.2930839676,60324.622422454,60263.5084190206,61775.8611900514,64233.1617985341,56587.5986571658,62270.4339645435,0.249318655661919,0.0728060496866534
"A2RSJ4","Uhrf1bp1l","UHRF1-binding protein 1-like",0.220028208744711,18,12,24,261551.317360406,269537.253602804,277217.344331998,286397.975236437,261257.727561962,363865.523412715,294053.663423916,270467.721241541,285543.565771472,0.359341999437216,0.117841417926468
"A2RSY1","Kansl3","KAT8 regulatory NSL complex subunit 3",0.710920177383592,6,6,24,5776.43006600911,5711.4581526049,6138.91617329574,5642.44652786462,8317.68636721934,4504.6840313022,6998.17837411699,6280.10451986527,6171.23802653477,0.617866677564889,0.180943315406697
"A2RSY6","Trmt1l","TRMT1-like protein",0.914315937940762,6,12,24,178932.595878908,160899.520421001,155283.663049714,162003.193284864,157314.244066104,150683.524455095,157637.574047354,145106.625073758,158482.6175346,0.213436472285455,0.062577630588176
"A2RT67","Dennd3","DENN domain-containing protein 3",0.753526093088858,6,18,24,9459.20940630801,10711.2533694752,13567.001701055,10355.3955910624,13972.5645491996,10741.5492394712,8858.75989710201,11033.4336826582,11087.3959295415,0.461226845744029,0.163097384824147
"A2RTL5","Rsrc2","Arginine/serine-rich coiled-coil protein 2",0.0650406504065041,6,12,24,93616.0039069729,73256.6737709918,65781.199690216,70968.3261287519,72970.5212379011,71290.7020054374,54793.9188650891,65566.7359969389,71030.5102002874,0.546555063907266,0.154215394374385
"A3KGB4","Tbc1d8b","TBC1 domain family member 8B",0.314174894217207,18,18,24,433691.198339347,428096.378130194,438275.094914347,457009.041738543,384588.456007971,402731.211947233,440038.43149179,421658.168726524,425760.997661994,0.170096805786015,0.0536153880343535
"A3KGF9","","Uncharacterized protein C15orf52 homolog",0.0736953455571227,12,12,24,10007.8249862028,12769.4738716581,10676.1555239468,9567.58379261571,12436.2959926611,10712.1730674659,11035.617280459,10002.080931041,10900.9006807563,0.293727112356393,0.105944912123278
"A3KGS3","Ralgapa2","Ral GTPase-activating protein subunit alpha-2",0.0440687361419069,6,12,24,16752.8261115389,17238.5303743566,15084.2041655745,15740.1025627589,16391.6588155282,15447.3790112942,15048.8157303705,15242.3107331302,15868.228438069,0.137993642613111,0.0522154239071537
"A3KGV1","Odf2","Outer dense fiber protein 2",0.212860310421286,24,18,24,908.92884103891,1724.48585724732,1291.09590926407,1994.26277792027,1801.56932685059,1234.8121956729,839.18896261923,1871.6534821284,1458.24966909271,0.792096058571164,0.307751711302301
"A3KMP2","Ttc38","Tetratricopeptide repeat protein 38",0.201692524682652,18,12,24,176784.176423563,185700.973731353,201976.557775602,199223.869697427,188574.257287143,210586.938311811,213916.186371007,213680.14864924,198805.388530893,0.186775671534043,0.0701111265212861
"A6H5Y1","Mphosph9","M-phase phosphoprotein 9",0.846262341325811,6,12,24,2861.80536591825,2171.81684542337,2076.62327980273,3636.03926426834,2717.82843572507,3830.55153235199,3239.20573576393,2218.68517263974,2844.06945398668,0.616696702005884,0.237907343276033
"A6H5Y3","Mtr","Methionine synthase",0.00762195121951219,18,6,24,105266.70512549,107354.167121853,109248.818605137,104432.505776845,104035.728384563,105491.859614087,107997.718984824,93067.2541074513,104611.844715031,0.154681953480174,0.0478409033254201
"A6H5Z3","Exoc6b","Exocyst complex component 6B",0.442350332594235,24,18,24,100021.531736932,106975.284414289,102636.294423281,111112.466576934,122770.553520749,105760.823793082,96840.1634690759,117093.66093562,107901.347358745,0.240315720669001,0.0809083305167968
"A6H611","Mipep","Mitochondrial intermediate peptidase",0.753526093088858,12,18,24,97652.9234227876,104300.230581263,123247.135366997,100592.478647482,108305.80704021,102254.200270518,96688.3271376204,111636.474796519,105584.697157925,0.251540317340231,0.0828544924317595
"A6H630","Armt1","Protein-glutamate O-methyltransferase",0.258110014104372,18,18,24,315177.515597392,309174.389340357,360501.051031358,342014.792723365,353698.625909733,320748.160725576,324022.411091643,356741.717201423,335259.832952606,0.153095171703008,0.0607616559945121
"A6H687","Sac3d1","SAC3 domain-containing protein 1",0.0886917960088692,6,18,24,44965.9624848498,35109.5693375141,33977.8358371825,32693.0640490595,34747.0075647295,35135.5224727087,31093.2840601608,33921.8349938039,35205.5101000011,0.394048499376482,0.118518505019179
"A6H6E9","Ttc23l","Tetratricopeptide repeat protein 23-like",0.212860310421286,18,18,24,4149.42748245307,3352.18140559662,4050.32797420509,3504.3258992943,3722.46382194267,3368.83914614386,4184.07756877155,3761.04824157904,3761.58644249828,0.221155668197917,0.0899769652188337
"A6H8H2","Dennd4c","DENN domain-containing protein 4C",0.739421720733427,6,12,24,265061.250303113,223572.64593533,218877.006269798,235401.798848002,218849.150117058,233514.027590534,217666.511560007,210677.770752343,227952.520172023,0.238573714867157,0.0751117361685614
"A6X919","Dpy19l1","Probable C-mannosyltransferase DPY19L1",0.212860310421286,6,18,24,20704.4363688218,16733.4156755094,17990.979908955,16247.9395353282,19851.1344370619,17276.2280534875,14925.1296063827,16286.082378873,17501.9182455524,0.330209905071847,0.110847121132936
"A8C756","Thada","Thyroid adenoma-associated protein homolog",0.764966740576497,18,12,24,17536.4830870841,20457.6847562663,20756.3972287822,19932.0630640211,22593.8939237885,20358.6697820083,20582.953330814,21195.2886603353,20426.6792291375,0.247588498354167,0.0692934151296583
"A8Y5H7","Sec14l1","",0.00152439024390244,24,6,24,12576.9425478219,16939.3414666804,17304.3152189734,18031.5991592083,15040.3872543347,16710.8886881019,17295.2666821891,18112.613537176,16501.4193193107,0.335466354877486,0.112173599116785
"B0V2N1","Ptprs","Receptor-type tyrosine-protein phosphatase S",0.917960088691796,6,6,24,167840.999844436,153028.071891584,140374.491457655,158568.870965605,157432.795512073,157509.969435411,162025.0506642,158188.817359559,156871.133391315,0.175089627983153,0.0504911249255212
"B1AQJ2","Usp36","Ubiquitin carboxyl-terminal hydrolase 36",0.828159645232816,18,6,24,29851.6496729257,23595.5684758065,32998.537612752,22676.4206198333,19613.17185371,23626.0395781599,21992.8555518903,14309.6220445866,23582.983176208,0.792474617334245,0.244670855641756
"B1AR13","Cisd3","CDGSH iron-sulfur domain-containing protein 3, mitochondrial",0.881513303769401,12,6,24,20626.5533787149,19639.3035024573,18801.9580823858,20401.0574295584,19330.5912859797,22896.8014324134,20534.288429669,21677.2771193788,20488.4788325697,0.19986077948931,0.0642980164710658
"B1ARW8","","Uncharacterized protein C1orf122 homolog",0.220028208744711,12,12,24,22058.802072826,30650.2644843723,27180.6463078086,25593.2693665072,29477.9588892823,29188.7722873787,27588.1232597269,22253.5097047758,26748.9182965847,0.321189153007479,0.120771410327457
"B1AUE5","Pex10","Peroxisome biogenesis factor 10",0.923579946146942,12,6,24,973.119648737261,1616.59526640709,1568.31700530805,1272.20892630472,1610.88977126009,1271.27916781747,647.086795187966,1591.68997293928,1318.89831924524,0.735089625236568,0.269723882794796
"B1AVY7","Kif16b","Kinesin-like protein KIF16B",0.442350332594235,6,6,24,52927.2007214857,48009.3107235165,49548.4545308596,47993.0326785015,55457.5755082109,41760.7609342174,41835.3480333344,43893.8685592066,47678.1939611666,0.287276287880146,0.104945662232523
"B1AVZ0","Uprt","Uracil phosphoribosyltransferase homolog",0.0650406504065041,6,12,24,61232.7393279743,53674.7390153947,49915.9195096684,51333.4573889975,58403.0502303217,59041.7499535127,52356.166094875,52786.3505270878,54843.021505979,0.206349313140454,0.0753392394909064
"B1AXP6","Tomm5","Mitochondrial import receptor subunit TOM5 homolog",0.846262341325811,6,12,24,27320.3132519187,27850.2961701628,34772.2861983765,21673.4638271749,30680.6671772494,21913.611344538,21028.9409314781,28386.043715585,26703.2028270604,0.514670294642379,0.182307192344637
"B1AY13","Usp24","Ubiquitin carboxyl-terminal hydrolase 24",0.920310296191819,24,18,24,157197.764766121,128272.368341387,152095.924638071,157583.884062321,147243.388998634,156997.203288201,144091.06865375,149969.632248667,149181.404374644,0.196482368856933,0.0656743086812786
"B1AZ99","Otud3","OTU domain-containing protein 3",0.254573170731707,12,12,24,1559.05222746755,2236.44745897478,2195.76548457657,1945.6848352162,2528.52438639672,2230.36053521952,2002.25250174383,1659.88621235715,2044.74670524404,0.474128241137556,0.157248396690981
"B1AZA5","Tmem245","Transmembrane protein 245",0.914315937940762,6,12,24,2440.55028951172,1698.13565525365,1685.02566717587,2338.55401005256,2530.07183094164,2472.2581171118,2601.68633134928,2318.15938652745,2260.5551609905,0.405502453552941,0.160649215626653
"B1AZI6","Thoc2","THO complex subunit 2",0.026330376940133,6,18,24,235610.090003511,233343.54981287,192166.287236903,197653.153262632,227681.903401054,223635.104577142,221525.868206166,190200.542345247,215227.062355691,0.210984376970303,0.0873859052735524
"B1AZP2","Dlgap4","Disks large-associated protein 4",0.0193935119887165,24,12,24,28877.0447705034,28241.3995619586,33682.2617717223,37049.5675208834,31374.4381482212,30597.8155721867,31392.081033543,37293.6006416533,32313.526127584,0.280136591839397,0.106029238055482
"B2RPU2","Plekhd1","Pleckstrin homology domain-containing family D member 1",0.00352609308885755,12,12,24,16880.1866150272,18068.0430323937,15690.977669904,14839.475403878,15232.4423161873,22118.839359996,17343.7475950501,14298.0338114224,16808.9682254823,0.465275764916807,0.149137672268531
"B2RPY5","Gpr161","G-protein coupled receptor 161",0.914315937940762,12,12,24,6384.73427836963,8291.80686988293,7345.95345468108,6265.8634592335,5370.23435485665,6012.79592376965,4452.33248699277,5592.50183520849,6214.52783287434,0.617822381063234,0.191099026855352
"B2RQC6","Cad","CAD protein;Glutamine-dependent carbamoyl-phosphate synthase;Aspartate carbamoyltransferase;Dihydroorotase",0.828159645232816,6,12,24,1230088.39222649,1117778.4006996,1058658.23864454,1158519.82443065,1054171.02040612,1115151.57012862,1096246.69424831,1036966.62502577,1108447.59572626,0.174227241725564,0.0571789310785866
"B2RQE8","Arhgap42","Rho GTPase-activating protein 42",0.473946784922395,24,12,24,5605.25457881351,4265.69311305994,3542.3765913842,6439.73694927794,4523.6102505035,5723.75465066603,5955.79275053513,5736.58561924171,5224.10056293524,0.554614200662671,0.19016045169041
"B2RR83","Ythdc2","Probable ATP-dependent RNA helicase YTHDC2",0.442350332594235,24,18,24,32580.6176623922,30671.9463434931,30103.9397236637,32632.3317471138,28524.827615668,32103.4659440344,30358.342859314,32228.7223429935,31150.5242798341,0.131859871588257,0.0472392335985218
"B2RRE7","Otud4","OTU domain-containing protein 4",0.473946784922395,24,12,24,42664.6547283063,45855.9908899651,51670.6053425291,49562.9296073525,58102.4161429006,47994.9924166204,48948.9790557257,57621.925380126,50302.8116954407,0.306896590752471,0.106816335355446
"B2RSH2","Gnai1","Guanine nucleotide-binding protein G(i) subunit alpha-1",0.562915742793792,18,12,24,83857.5158831385,95961.7299085554,94728.9023406575,100328.459503598,80453.1893348542,85356.8235387548,93417.2914287068,80147.8098396294,89281.4652222368,0.22603403308554,0.0867202984269639
"B2RUR8","Otud7b","OTU domain-containing protein 7B",0.76163610719323,12,6,24,54339.8440669549,58252.2981805546,50623.5633674524,60772.4873576281,54932.5619617766,54795.9105164355,58541.3922356858,53753.8244252713,55751.4852639699,0.182038629861124,0.057967609800664
"B2RWS6","Ep300","Histone acetyltransferase p300",0.710920177383592,6,12,24,2848.90222452986,3080.58759134688,3062.20815674036,4039.67062559808,4083.01840090866,3237.15285784404,1793.79377585586,2354.0521441158,3062.42322211744,0.747520658973441,0.252462339630819
"B2RX14","Zcchc11","Terminal uridylyltransferase 4",0.212860310421286,6,18,24,43106.5269824277,39600.5981740011,41651.4861236832,39556.0807551918,42674.9098449122,41158.4582406775,42377.5615065841,37510.7620801364,40954.5479634517,0.136633540853265,0.0468691391795011
