"Leading.razor.protein","Gene.names","Protein.names","pVal","phase","peak.shape","period","S1H","S2H","S3H","S4H","S5H","S6H","S7H","S8H","FCav","anova_pval"
"A2AJT4","Pnisr","Arginine/serine-rich protein PNISR",0.51410437235543,6,18,24,6899.25101573263,5766.94239385866,5519.83937047254,4377.39384902051,4956.86604855511,3869.73126011304,3285.01639121296,3379.72416936711,1.52841777528507,0.534943670602918
"A2ALU4","Shroom2","Protein Shroom2",0.828159645232816,6,18,24,160933.645833479,156410.985452301,140465.152663643,148025.353772982,150678.678125807,146714.442900557,156823.506725304,141041.329638975,1.07799460069633,0.598819110736544
"A2AN08","Ubr4","E3 ubiquitin-protein ligase UBR4",0.562915742793792,6,12,24,70380.2057251043,66488.216554915,67760.3137339997,68362.613685089,69933.1798687079,72709.819328895,68345.2295378437,66700.526241791,1.03887252783975,0.654694697938847
"A2ARV4","Lrp2","Low-density lipoprotein receptor-related protein 2",0.662527716186253,12,12,24,4772.87700902917,4877.91787752286,3995.12272534949,4218.75468572305,3322.22218585935,4112.63362001286,4527.15460921477,2879.61689060303,1.26656535247046,0.656331980072928
"A2AWA9","Rabgap1","Rab GTPase-activating protein 1",0.739421720733427,18,12,24,28183.4450691277,26533.3750299717,27943.3745865693,29802.7276448567,23478.6424298284,26962.6682064037,28817.7351578642,24854.0804607273,1.09869950078151,0.765772827405198
"A2RSJ4","Uhrf1bp1l","UHRF1-binding protein 1-like",0.201692524682652,24,12,24,9421.9093335198,10163.1048115408,10507.8895897407,10706.6618367445,10766.2281543991,9246.48991695343,9249.26241247638,10996.0010985023,1.11814096269544,0.513554705859057
"A2RTL5","Rsrc2","Arginine/serine-rich coiled-coil protein 2",0.143394452280207,6,18,24,30621.2053339394,27101.7523184222,25259.9846822084,21932.9015059577,25242.2003304556,26790.1356423064,20428.7817321114,20986.8645161416,1.30157759097827,0.154638575812063
"A3KGB4","Tbc1d8b","TBC1 domain family member 8B",0.442350332594235,12,6,24,3236.96008803657,4137.23847346809,2541.26316844936,2541.58510064984,3408.0782420355,3351.12105277379,3050.41170007185,3763.52265934562,1.33919795093921,0.472425915952532
"A6H687","Sac3d1","SAC3 domain-containing protein 1",0.739421720733427,12,18,24,923.137904961437,1059.44354870942,1051.0983785733,801.206797896655,1262.0233807446,1378.33673418768,1532.27336224949,1339.80750256259,1.20661115634242,0.857462829357784
"A6H8H2","Dennd4c","DENN domain-containing protein 4C",0.914315937940762,6,12,24,21419.1530044948,20024.6024589729,19340.9940287334,18648.1027909553,15484.2393625126,14372.2460935139,14477.844662419,14951.4230028372,1.09833075006747,0.968998256519005
"A8Y5H7","Sec14l1","",0.00762195121951219,24,6,24,10220.4553763588,13250.6289996578,14024.9590342848,15081.586209375,11299.9045479864,12941.9673373884,13792.663121195,13876.0282493832,1.3455915496097,0.0113059052326172
"B0V2N1","Ptprs","Receptor-type tyrosine-protein phosphatase S",0.220028208744711,6,12,24,76942.4796504787,71005.8378409739,59708.7000627874,69663.928963595,73801.5540002125,65571.486992381,69934.4101412933,67025.2472517514,1.16276162623215,0.271533143748009
"B1AZI6","Thoc2","THO complex subunit 2",0.881513303769401,12,6,24,8994.33696110849,11691.6453161516,8900.5579116241,9267.8461128399,10850.4381307898,9022.52158844222,10783.8304215484,10151.5828815079,1.06667229559751,0.974065297050469
"B2RQC6","Cad","CAD protein;Glutamine-dependent carbamoyl-phosphate synthase;Aspartate carbamoyltransferase;Dihydroorotase",0.963137472283814,6,18,24,10752.8194049181,8838.35575878013,10222.9141388528,9678.6682050903,10119.9252491781,10709.371657609,10471.8502395498,9045.72630241965,1.11473536010602,0.500727131087199
"B2RQE8","Arhgap42","Rho GTPase-activating protein 42",0.110014104372355,18,18,24,1074.34796851188,911.171667442916,1131.85689397148,1514.87559671846,1261.50356607552,929.448313020584,1789.54916399774,1208.7293437725,1.58718588789499,0.238545744899684
"B2RUR8","Otud7b","OTU domain-containing protein 7B",0.026330376940133,12,6,24,2633.61418900269,2211.68125439575,1863.01540694431,1688.23283930068,2131.15350744398,2718.40039957914,1572.20021696247,2094.17358855722,1.43515930111195,0.156397096901826
"B2RXC1","Trappc11","Trafficking protein particle complex subunit 11",0.442350332594235,6,18,24,57974.4427101085,46669.0793995528,46664.6011580514,51176.4409170492,55801.2383678032,48881.188949077,52754.8483099625,42141.9357462236,1.21922053454119,0.22009041901919
"B2RXS4","Plxnb2","Plexin-B2",0.917960088691796,6,12,24,453319.831762395,389348.590314894,370312.860655252,373344.923438622,368365.538977416,331913.772745276,334981.446390657,339259.198298355,1.16502481663492,0.520867351714856
"B2RY56","Rbm25","RNA-binding protein 25",0.421808885754584,6,18,24,73229.9410302624,66891.3009820086,61518.804718264,68219.7791706879,64917.0549478779,70088.3166193634,65626.8991259364,60840.5735623597,1.0865250795058,0.548083607094594
"B5TVM2","Ildr2","Immunoglobulin-like domain-containing receptor 2",0.0736953455571227,24,12,24,20028.0951375891,21652.3186803978,22409.1987746659,22601.6357123859,25899.76588684,19602.2913199687,22148.8489903213,27608.4654015003,1.21707855469825,0.52831265147182
"B9EJ86","Osbpl8","Oxysterol-binding protein",0.750554323725055,12,6,24,1138.79203512695,1207.47481378534,910.436228764812,1411.55270455835,1255.43906160294,1405.37088595644,722.923892161818,826.151378120756,1.59967521324047,0.283006711286654
"B9EJR8","Dnaaf5","Dynein assembly factor 5, axonemal",0.739421720733427,18,12,24,19796.6568809628,23516.571078739,24267.882307221,23346.6273497393,21907.6758640947,19725.1093952328,20735.8972628462,23082.7817108799,1.11329941050601,0.678335255170504
"B9EKI3","Tmf1","TATA element modulatory factor",0.963137472283814,18,18,24,18652.3544111542,18271.1381240347,21214.8391216506,19464.4129064536,21353.9866057479,20893.2480055555,21114.4222026999,19242.232684358,1.09359157008426,0.59581347291536
"C0HKG6","","",0.473946784922395,24,12,24,8678.56103469463,6986.13416996802,7121.60149580306,6900.80360343951,7283.72977890718,6027.80583239514,9103.96537567028,9392.60136738686,1.25199631839917,0.52914711875581
"D3Z7P3-2","Gls","Glutaminase kidney isoform, mitochondrial",1,6,18,24,153890.563132837,166527.32703028,160165.898546411,155912.861362834,149498.698826998,140314.335285189,142213.03147654,147037.283600531,1.01475874093535,0.998440310157877
"D3Z7Q2","Smim20","",0.881513303769401,24,18,24,9406.03180986102,10256.735894398,9877.08616678374,10326.3624726753,11818.8528592832,10778.2226808402,10499.3860014208,10871.8973644366,1.0416368689308,0.964549198024476
"E2JF22","Piezo1","Piezo-type mechanosensitive ion channel component 1",0.846614950634697,24,12,24,45253.3707546889,45813.8457656336,41368.8847172855,42632.3489446081,46876.6269501714,42155.7602489412,49218.0632693755,47407.1135877646,1.04729351282528,0.944136035730353
"E9PVA8","Gcn1l1","",0.750554323725055,6,12,24,158045.617677143,139448.590173566,130892.019683166,147173.1868603,134678.089525343,124079.871516279,133879.057788656,121026.166591047,1.11078592925193,0.710150398104628
"E9PVX6","Mki67","",0.0807926829268293,6,18,24,15055.6283164492,8783.53711362128,7593.56952449027,8163.29871309383,8666.17689132165,8381.09330583891,8404.0063089089,6233.90492274014,1.64766754765685,0.31267470299087
"E9Q3L2","Pi4ka","",0.0736953455571227,18,12,24,14954.7593426169,17554.5203390382,18078.3557841554,16533.6383267303,16153.2408416167,16017.9880517513,17617.38044508,17750.9365741796,1.14747769119942,0.182025550445577
"E9Q4N7","Arid1b","",0.0315964523281596,6,18,24,5018.23144815642,4374.08849758956,3484.99294609097,3156.78105894161,4639.2592857481,3403.06307471151,4109.25352988555,3203.41481493818,1.51842662166525,0.0807429961114795
"E9Q555","Rnf213","E3 ubiquitin-protein ligase RNF213",0.881513303769401,6,18,24,960381.065030268,914091.07414483,996140.703002782,910810.408138664,830555.893007951,755717.700618512,769390.673890914,723869.480545255,1.09558878801653,0.906347520420531
"E9Q634","Myo1e;Myo1f","Unconventional myosin-Ie;Unconventional myosin-If",0.753526093088858,12,18,24,3107.23138002449,3031.45015413773,4022.24851021503,5281.2222077825,3934.56386603392,4442.30851948506,3514.11392997986,2695.92285117184,1.1328283172419,0.99221284116477
"E9Q6J5","Bod1l","",0.0734478935698448,6,18,24,3789.03092537237,4482.57501482187,3208.37182438225,2824.88343211753,3305.41484489248,3287.33260478009,2830.67632034109,2879.3091953946,1.36213976753285,0.215597368197898
"E9Q735","Ube4a","Ubiquitin conjugation factor E4 A",0.917960088691796,12,12,24,9695.56312363889,8572.63179178873,8115.86980798504,9260.93157894773,7602.37617105234,9794.26055766124,8614.83845896802,7274.4275525723,1.11076464704287,0.846547011461513
"E9Q7D5","Arhgef5","",0.254573170731707,6,12,24,9136.30070205764,8118.80873320263,7657.61938153021,9960.18851355715,9544.23050317354,8658.01617133536,7803.63491424771,7250.42732631496,1.20821576618996,0.517169090381026
"E9Q7E2","Arid2","",0.917960088691796,12,12,24,26930.1480692615,27352.8300825086,28126.2415697123,25797.1381611237,24243.289808043,25636.8810031823,23516.458496582,22439.1858999192,1.09854372440637,0.768499066658363
"E9Q7G0","Numa1","",0.562915742793792,6,12,24,28042.2285057625,25639.2243426191,22906.2297908905,30470.967956007,29085.5367220662,25550.0072121051,27021.1184816529,22586.366774617,1.14421789268638,0.71427464969325
"E9Q8D0","Dnajc21","",0.212860310421286,12,18,24,1174.65655915621,1431.56171823241,1334.4235915986,1268.02673676805,1232.22067305076,1577.90345005368,1026.3496308059,1236.7296077394,1.27477944078885,0.198622756985975
"E9QAM5","Helz2","Helicase with zinc finger domain 2",0.750554323725055,18,12,24,970.770475937796,789.126950949936,1046.04452511926,1132.10675625915,1009.99990201967,1177.35249725515,1628.18959943355,922.757417060027,1.35990952104469,0.564419092880819
"E9QAT4-2","Sec16a","",0.920310296191819,24,6,24,88737.891976591,81809.50479814,85783.2834098935,97868.0163725825,81254.4834539048,90400.0772331287,95002.0498899429,81822.8226503749,1.06349083505662,0.867106402119596
"F6ZDS4","Tpr","Nucleoprotein TPR",0.613540197461213,6,18,24,78353.048192045,65186.1272703631,54011.2641563454,64973.2573397315,65062.3344843075,68756.9605833806,71892.7168112112,60503.6678221455,1.14296220194536,0.687592259712645
"F8VPU2","Farp1","FERM, RhoGEF and pleckstrin domain-containing protein 1",0.662527716186253,12,6,24,32300.019967861,29455.941127084,25641.3443382554,25705.1847382634,22195.618536453,27709.6916833128,24811.6122347729,24990.2971294981,1.13304822340099,0.779584809152388
"F8VQB6","Myo10","Unconventional myosin-X",0.920310296191819,12,18,24,75128.7060654573,81404.6419035508,83077.9247139876,86307.705937322,83923.4718722887,92595.6148621691,90120.8771689397,77565.3466164337,1.09398223288602,0.622368836918929
"G5E829","Atp2b1","Plasma membrane calcium-transporting ATPase 1",0.710920177383592,6,6,24,72862.8900421505,71987.1334356114,73146.7932572055,74250.2405152146,81467.9540113397,62990.5861362549,79782.1164450999,68297.0541132516,1.14338014113003,0.356141975651878
"G5E8P1","Brd1","",0.886212457165894,24,6,24,4572.54001933448,5150.4418672916,3734.79770253337,5225.11570420034,3307.66737512515,3787.21128374024,4965.06500883693,3864.9595130572,1.15353248489989,0.904562405772244
"O08528","Hk2","Hexokinase-2",0.710920177383592,24,12,24,2389.66070784534,2235.63825771899,2456.48219826123,2629.69601824718,2727.72747598982,2634.86790815881,2510.06826628949,2841.05242448012,1.12324022522643,0.541204450705354
"O08529","Capn2","Calpain-2 catalytic subunit",0.881513303769401,12,18,24,54791.4662025118,59317.1217654033,65945.5677845348,64212.3128848984,65777.3482252029,65263.6824179352,58237.218498483,56273.3510186016,1.03398861032229,0.968482795013921
"O08547","Sec22b","Vesicle-trafficking protein SEC22b",0.416574279379157,6,12,24,12095.8711120554,11612.3465889943,10196.4071931858,11735.9395961216,11018.3382689022,11656.0732270393,10487.4538379433,10283.1738656454,1.12495533503221,0.294409480121215
"O08553","Dpysl2","Dihydropyrimidinase-related protein 2",0.212860310421286,6,18,24,232523.532066986,212728.774094222,191152.414891375,172563.058975175,205351.052303928,171735.714754848,175390.870954934,165249.762987352,1.29620474979924,0.186325373416688
"O08573","Lgals9","Galectin-9",0.764966740576497,6,18,24,212060.20598675,183244.921489031,197038.400787599,200919.562466957,201739.206711613,214989.345069814,204501.678404979,184966.871943383,1.07233469694439,0.777443132470977
"O08579","Emd","Emerin",0.254573170731707,18,12,24,67054.5182989745,69217.9549292089,68856.1748145945,79385.7636159836,65283.5242895783,82820.6933419154,83369.1083581651,75831.4841169451,1.17288456665109,0.423729671702592
"O08586","Pten","Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN",0.442350332594235,6,18,24,7397.89865581652,4878.23172472797,5936.21501116535,5914.59351230511,6822.22098854358,5345.3706903673,4207.92334325672,4154.193008979,1.41229726286287,0.27423476941551
"O08599","Stxbp1","Syntaxin-binding protein 1",0.753526093088858,6,18,24,10763.0930966973,11676.4760345714,13562.170453708,10428.0061208901,12731.8206897415,11847.4385710204,9554.72579749892,12622.5805353193,1.02053431248592,0.995214280217528
"O08600","Endog","Endonuclease G, mitochondrial",0.212860310421286,12,6,24,1337.0742864658,1403.10623830263,800.777922798849,1082.71722845794,1258.47131383923,1449.51654202827,1080.96222518343,1573.65586096746,1.51594936388516,0.207178953964307
"O08663","Metap2","Methionine aminopeptidase 2",0.51410437235543,12,6,24,182366.43482888,166790.958682571,148643.112671206,165081.533303849,152214.730472934,182768.078712616,179928.764511279,150277.314145272,1.1084484872478,0.799087506360715
"O08664","Bcl7c;Bcl7b;Bcl7a","B-cell CLL/lymphoma 7 protein family member C;B-cell CLL/lymphoma 7 protein family member B;B-cell CLL/lymphoma 7 protein family member A",0.881513303769401,12,18,24,2243.40069578852,4935.8749947328,3923.85307766092,3329.64440624582,3904.76115834008,3005.54966705554,2860.32315728889,3986.90938066395,1.2916746257185,0.820747513838131
"O08665","Sema3a","Semaphorin-3A",0.753526093088858,6,18,24,32936.5218721824,29958.8080422549,28872.9742025129,34232.8695095689,38701.0684706817,36893.0107864515,39657.9221053753,33930.5762839897,1.07158775330287,0.963511949675498
"O08709","Prdx6","Peroxiredoxin-6",0.833148558758315,12,18,24,102209.970801071,109034.3898367,98075.1832689093,117761.031601295,97446.1905810333,107215.319633297,107164.687694246,102447.529906197,1.10293897259727,0.452557721423879
"O08734","Bak1","Bcl-2 homologous antagonist/killer",0.212860310421286,6,6,24,30195.3141110919,24173.2440475599,30252.1604961329,28364.2082581189,29695.2793288954,23545.4299210269,25957.4120005753,26226.5036553832,1.25507664943526,0.0826715459410017
"O08736","Casp12","Caspase-12",0.143394452280207,6,6,24,160988.750180294,145656.487890602,143457.240188166,162698.982482719,147558.057395772,136264.275095113,145095.107885707,145324.446940285,1.09444513525135,0.383762430709305
"O08738","Casp6","Caspase-6;Caspase-6 subunit p18;Caspase-6 subunit p11",0.753526093088858,6,18,24,38405.8617866443,40860.8137903549,48306.5878312814,40139.8570345927,40742.2074045969,35694.1929701889,35194.3751060826,36894.7067918408,1.09073157290086,0.925289130025106
"O08749","Dld","Dihydrolipoyl dehydrogenase, mitochondrial",0.961650876839347,6,6,24,30709.9326720326,29521.5142698045,33444.1330817562,30498.0334172421,32045.7079909124,26823.5486388746,29256.7469879611,28867.9644546634,1.11377354861873,0.383384583130508
"O08784","Tcof1","Treacle protein",0.920310296191819,6,6,24,19543.3636800061,13113.5823867607,12311.8058532327,16549.4429756267,14279.3089595885,14570.0915337991,15116.2154084622,13414.4854367421,1.2331430079074,0.596873151853268
"O08788","Dctn1","Dynactin subunit 1",0.930570953436807,24,6,24,115591.174151904,142288.698148323,135354.262863482,143882.066285739,125548.151313425,112570.41046812,121166.714391534,122398.794915842,1.10426145004651,0.854266493606566
"O08795","Prkcsh","Glucosidase 2 subunit beta",0.0176304654442877,6,12,24,386104.016502487,377501.695247949,361677.475340165,367680.339716046,383004.646323785,352279.297908064,345572.8936226,369294.763503931,1.08746307754385,0.173833561282015
"O08807","Prdx4","Peroxiredoxin-4",0.442350332594235,12,18,24,18627.8843452801,23031.9909940523,20815.6878386481,20440.2511967497,20524.0158507857,21378.1414618124,20067.3289646178,20955.5821699515,1.13430337310492,0.189372880653919
"O08808","Diaph1","Protein diaphanous homolog 1",0.110014104372355,24,6,24,42276.2416714685,43761.8081229028,46821.373754993,44281.6628360014,41346.0587785099,42434.5056415232,42622.6058001554,42955.2767471668,1.06961873894694,0.451034532541256
"O08810","Eftud2","116 kDa U5 small nuclear ribonucleoprotein component",0.450332594235033,6,12,24,146611.559110065,136326.333561417,131703.936711537,140841.153059019,131835.049828596,130627.097568051,121265.659562524,130454.460602611,1.1007117576177,0.475608172992525
"O08832","Galnt4","Polypeptide N-acetylgalactosaminyltransferase 4",0.846614950634697,12,12,24,2152.15163334949,2265.66297367432,3426.51264183712,2273.00484846691,2534.35641909259,2491.90078344912,1516.02726274558,1696.63137926896,1.24508635578473,0.92148192292256
"O08848","Trove2","60 kDa SS-A/Ro ribonucleoprotein",0.963137472283814,24,18,24,26264.2260475724,22079.1508793446,20288.6431212985,27143.4966889844,23031.2552713081,28384.8468421489,27107.1218445633,27454.6177972866,1.15196187941258,0.766399083507046
"O08856","Ell","RNA polymerase II elongation factor ELL",0.212860310421286,12,18,24,5378.1842492209,6379.15367528924,5968.60092921775,7119.50043254323,5827.64225503991,7275.2243709386,7198.67422594135,5995.23600606991,1.21850700089244,0.373437581581303
"O08915","Aip","AH receptor-interacting protein",0.764966740576497,6,6,24,30817.3394497244,29887.8785739005,32577.448784322,30178.1868352015,29979.7045886596,26606.667915696,26154.4762696989,27267.8468057711,1.07615775001539,0.87329888077007
"O08919","Numbl","Numb-like protein",0.881513303769401,18,18,24,1203.32949894002,1501.02656629631,1732.85289553625,1055.65176722289,1456.60733853635,979.172927004244,1398.81670304793,2242.07241874135,1.32962053853811,0.836706430186574
"O08967","Cyth3;Cyth1;Cyth2","Cytohesin-3;Cytohesin-1;Cytohesin-2",0.739421720733427,24,12,24,52567.6789183018,61162.5433314381,62837.963609634,59593.40424493,55728.4643141323,51856.9706737355,52034.3292076708,61495.9643563102,1.11813186496723,0.69525157894158
"O08970-2","Tuft1","Tuftelin",0.258110014104372,12,6,24,41393.7315476339,33443.4535605686,23935.4625177851,28926.656200719,28286.6682114706,28725.1531496201,27276.0996365785,25092.9545075365,1.36063804398451,0.370794113116971
"O08983","Hps1","Hermansky-Pudlak syndrome 1 protein homolog",0.201692524682652,24,12,24,19749.3045015804,19906.3866783822,23359.9420632233,23850.4005333115,20150.4423752746,18605.571507191,19808.676374776,21748.2050268606,1.18401160856198,0.225106630082499
"O08989","Mras","Ras-related protein M-Ras",0.473946784922395,18,12,24,10882.6415101281,14243.4323251493,13738.230205668,12022.3988573685,10695.1868162917,10597.9950023819,12204.7675199661,12805.2489240557,1.20229882883393,0.500490072836972
"O08997","Atox1","Copper transport protein ATOX1",0.753526093088858,12,18,24,81852.6505405573,100545.346017205,107434.919865786,93177.2953591912,108655.993919713,104239.436657133,93960.0966607434,110971.302570055,1.074936957609,0.908765581082904
"O08999","Ltbp2","Latent-transforming growth factor beta-binding protein 2",0.923579946146942,24,18,24,33765.888990359,30130.0640005088,24357.407711264,38191.5389418909,24858.0572900065,33170.0942082287,31650.2471956633,27239.8465418042,1.16825790318177,0.836140595167504
"O09005","Degs1","Sphingolipid delta(4)-desaturase DES1",0.764966740576497,24,6,24,57587.7783104181,59645.3013262112,63828.1063271597,65262.0379087851,60314.0960531871,63821.860990268,57925.1465306115,63463.1623888563,1.09179943908828,0.399235055948405
"O09044","Snap23","Synaptosomal-associated protein 23",0.442350332594235,12,6,24,149061.927996606,146399.259609357,116723.386814974,127671.929366106,119773.963333522,140294.084984239,125333.609449603,134380.754027215,1.18440428914614,0.37506448204693
"O09061","Psmb1","Proteasome subunit beta type-1",0.920310296191819,24,6,24,68774.894686003,79882.4829587772,74524.7418724287,75929.4844604555,73089.4079035749,67430.4646196259,70680.629287998,75522.7632578229,1.06758532593248,0.798999924205088
"O09106","Hdac1","Histone deacetylase 1",0.846262341325811,12,12,24,6207.73816179349,5959.74919352998,5464.76268181018,6903.96453321878,5483.95812300079,6815.13753334595,6448.87543019341,4194.60364635247,1.15103917191681,0.858117370456918
"O09131","Gsto1;Gsto2","Glutathione S-transferase omega-1;Glutathione S-transferase omega-2",0.846614950634697,12,12,24,245767.254742374,242409.304281282,202908.090584931,232537.75037473,216093.888798218,239763.56325251,262010.117072609,221427.728491341,1.06213553668922,0.937804415123182
"O09159","Man2b1","Lysosomal alpha-mannosidase",0.917960088691796,24,12,24,3030.27208887837,1605.31799255368,2717.32292040939,3362.63661081702,2399.37787668852,2824.61322806388,2899.97465438316,2554.69075050364,1.33576054945967,0.590520746084532
"O09164","Sod3","Extracellular superoxide dismutase [Cu-Zn]",0.739421720733427,24,12,24,68541.4016910208,54462.9516597336,43849.914203752,66409.1590814958,70017.3032093205,66901.931764821,71584.7201360966,73649.9250891944,1.21331942507259,0.629129322901141
"O09167","Rpl21","60S ribosomal protein L21",0.753526093088858,6,18,24,239257.470042272,225936.510642515,230586.705134428,249050.645099784,254072.414878881,300265.387401963,278208.487922602,237607.368201151,1.08125600249613,0.943489988709687
"O09172","Gclm","Glutamate--cysteine ligase regulatory subunit",0.963137472283814,24,18,24,54714.8805001577,46382.4322855542,43904.5783329487,55306.3932317857,47673.9360167597,56860.8200385746,47881.9363175206,53622.0439726517,1.1867586172026,0.418599347189986
"O35074","Ptgis","Prostacyclin synthase",0.881513303769401,6,18,24,343818.715302813,349481.312160176,309222.292662317,312630.969586938,290537.06737163,283611.641151875,284668.377657544,282074.55663746,1.06813562559046,0.877236651396192
"O35126","Atn1","Atrophin-1",0.662527716186253,6,12,24,20689.3472993785,19513.9730562622,16365.2026031032,18758.1426588964,16661.7928595319,13352.0359316337,14079.9529033827,14487.3160634591,1.22683361400316,0.757566094059677
"O35129","Phb2","Prohibitin-2",0.51410437235543,24,6,24,1958.16565311832,2997.97311892621,2791.99618368944,3928.04792508518,3207.25650821481,2846.38230158554,3338.06862575113,3264.8512915542,1.39250945846854,0.444700187665436
"O35166","Gosr2","Golgi SNAP receptor complex member 2",0.405487804878049,6,18,24,49024.0958292547,51801.6319761532,45036.641506653,46971.8116362773,50130.9266859378,45782.5891491545,47063.2063312222,43761.2330631078,1.0928215055905,0.387605461659054
"O35226-2","Psmd4","26S proteasome non-ATPase regulatory subunit 4",0.750554323725055,12,6,24,111392.036130145,132313.797044112,112799.946296779,117515.466869067,127516.602829447,117895.227103023,115839.278756474,113368.248243704,1.09433988891826,0.572581983918869
"O35250","Exoc7","Exocyst complex component 7",0.750554323725055,12,12,24,52356.6012508379,53021.2422152027,47473.2177106973,53969.9126094852,52065.5036126919,55601.2513194609,55401.0350257677,47856.0408968602,1.06674663771152,0.800126933455406
"O35286","Dhx15","Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15",0.828159645232816,24,18,24,136880.131462397,130308.627250677,122077.789839727,145507.870761899,134798.339985456,143090.347790972,134299.345300681,131914.269236461,1.08208612225278,0.60112138288893
"O35295","Purb","Transcriptional activator protein Pur-beta",0.753526093088858,6,12,24,8603.09609871639,8505.05002695549,10250.6587629168,7924.45095664721,8594.70237432334,8929.16770106096,7210.60638941879,10657.5363692321,1.08048639801248,0.97021306698354
"O35343","Kpna4","Importin subunit alpha-3",0.258110014104372,6,18,24,53806.1257636872,41553.3699562931,36267.0712253683,44364.6372427075,49866.6875624895,52017.960566291,47325.713927726,39659.8610649088,1.24021245537288,0.404821098881255
"O35344","Kpna3","Importin subunit alpha-4",0.833148558758315,12,6,24,20265.324020491,15936.1149180315,13812.4909094825,19134.4908607416,15484.412634069,25140.7486298979,18667.410831095,14301.6732877079,1.26468558544349,0.801163965348041
"O35350","Capn1","Calpain-1 catalytic subunit",0.930570953436807,6,18,24,14025.5506197859,10743.8267567256,12046.0144174969,11301.4105305266,11266.8963164999,12018.6548655558,11514.7213274783,9131.06044022353,1.2378555179397,0.422536599050893
"O35375","Nrp2","Neuropilin-2",0.846614950634697,24,12,24,34634.5763288906,37224.3708405041,39401.4917655353,38389.4921693181,41437.8927033804,40207.9850520288,39489.9539579621,41649.6234127396,1.05214299733198,0.892853190305342
"O35379","Abcc1","Multidrug resistance-associated protein 1",0.753526093088858,6,6,24,7266.86238703253,6033.18943952524,6507.09417173871,6496.99482413688,6793.19800285336,8202.99190898031,7295.50832185444,8641.41479854598,1.09677936676868,0.949741301332505
"O35381","Anp32a","Acidic leucine-rich nuclear phosphoprotein 32 family member A",0.184312638580931,6,18,24,143241.414617691,136124.948271473,122221.773093233,130089.052856697,129271.843695369,131172.33692114,125744.534802592,119348.817444839,1.09899308751069,0.285287244737327
"O35387","Hax1","HCLS1-associated protein X-1",0.0440687361419069,6,12,24,89412.9669236834,75153.3286564755,69595.7907966129,81139.2894110374,82621.6826693596,68117.0510733486,68828.3903728072,72055.8587794013,1.24280778213516,0.0805201665379382
"O35405","Pld3","Phospholipase D3",0.963137472283814,6,18,24,10452.360618975,9246.98481983069,9033.1029539462,9908.52706747709,12713.6271763238,12712.0251700969,13075.5400962007,7924.69009304898,1.29903581539829,0.623753286349633
