"Leading.razor.protein","Gene.names","Protein.names","pVal","phase","peak.shape","period","S1T","S2T","S3T","S4T","S5T","S6T","S7T","S8T","FCav","anova_pval"
"O35295","Purb","Transcriptional activator protein Pur-beta",0.828159645232816,24,12,24,30490.7294483433,29978.4758004417,34545.2542955378,30621.9023529675,30220.7253235557,32145.1252256252,27922.0886100727,32528.5117842553,1.04017296858537,0.96969574742047
"O35343","Kpna4","Importin subunit alpha-3",0.258110014104372,6,18,24,78999.0859502814,63508.0281109449,57478.8161510266,70507.5020984396,75014.4548947292,77061.5077516271,73943.6170697141,62359.5622412965,1.17189689058888,0.574392677320849
"O35344","Kpna3","Importin subunit alpha-4",0.963137472283814,24,6,24,47928.6400939964,51885.219948447,39454.0930974039,61870.2614765654,47198.3055945528,58154.8142693039,61589.2385769155,48748.1518711609,1.16285046836148,0.806426108863389
"O35350","Capn1","Calpain-1 catalytic subunit",0.881513303769401,6,18,24,50007.3815297235,42344.8926075754,50347.3132280483,46553.2847776899,46562.9187973825,49635.7151624882,45334.6947727052,42399.9894610247,1.08562951902086,0.721505549229216
"O35375","Nrp2","Neuropilin-2",0.710920177383592,18,12,24,60661.3680197255,67054.3969129297,70372.6402704048,67946.8526400585,71709.9930433967,71798.4545346231,72137.5464485938,68437.8656971349,1.0765938007621,0.700506623853343
"O35379","Abcc1","Multidrug resistance-associated protein 1",0.662527716186253,6,12,24,32609.2580904154,23985.2495717002,27835.3871464391,27449.0203079627,28487.6632168477,32546.8911964807,26420.9306587375,32057.0201598749,1.12607939091351,0.803840905284506
"O35381","Anp32a","Acidic leucine-rich nuclear phosphoprotein 32 family member A",0.258110014104372,12,6,24,554957.74472576,559406.489171169,517837.421475253,544923.550345663,533165.242496077,545011.537203315,533383.953541205,501631.395696493,1.0552890992978,0.4395550387336
"O35387","Hax1","HCLS1-associated protein X-1",0.258110014104372,6,6,24,107955.803780471,93345.5865162931,87840.304905553,97042.6976072133,100559.967084592,86928.6795178602,90786.0493898707,87454.9475409796,1.16732926497624,0.117781691347924
"O35405","Pld3","Phospholipase D3",0.51410437235543,6,18,24,17703.2520851508,16343.2793587916,15030.2323702127,16918.2444576238,20964.9486438316,22283.3805400468,20960.313722095,14647.7586016401,1.22499515242346,0.678340210782816
"O35465","Fkbp8","Peptidyl-prolyl cis-trans isomerase FKBP8",0.750554323725055,6,12,24,301479.617317095,226224.203913864,240162.210331833,236636.093391674,232226.337053072,214834.430267544,200314.406883126,204012.179694347,1.21165558740593,0.448295721652403
